budget_FLOPs,context_tokens,quality_family,Q0,minimum_supported_cost_FLOPs,scientific_status,ready_for_Q3,N_params_B,D_tokens_B,Q_score,conditional_loss,cost_FLOPs,budget_utilization,interval_95_lower,interval_95_upper,kkt_relative_violation,kkt_check_pass,active_set,budget_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,Q_lower_active,Q_upper_active,support_saturated,regime,converged_starts,failure,status
1e+20,16384,exponential,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,0.7240730896706159,10.000000000000002,0.9755477354182269,2.7498694585822667,1.0000000000024448e+20,1.0000000000024447,2.653037434388252,2.857284082621983,8.312343590083442e-11,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,19,,converged_feasible
1e+22,16384,exponential,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,5.164581513182536,193.25829138864228,1.0,2.1745403504688516,1.0000000000051403e+22,1.0000000000051403,2.084351929567794,2.2789771498487257,3.746766957422162e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,16384,exponential,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,6.8926037139417266e+22,0.06892603713941726,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,16384,power,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,0.6421589356027853,10.000000000000002,0.966078720094322,2.7707294592428044,1.0000000000007743e+20,1.0000000000007743,2.673881264440422,2.8782629128735047,1.8651273632040084e-08,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,19,,converged_feasible
1e+22,16384,power,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,5.245028481305127,187.4604685171421,1.0,2.175766512603971,1.000000000002379e+22,1.000000000002379,2.085600735902129,2.28028821253062,5.817757633207732e-10,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,16384,power,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,6.9438477599999976e+22,0.06943847759999998,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,16384,logarithmic,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,0.6204679004928535,14.350850280814958,1.0,2.6947884453047384,1.0000000000008493e+20,1.0000000000008493,2.602824255488469,2.8030997500330623,2.0992612162807532e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+22,16384,logarithmic,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,4.901932824272618,214.19458046908704,1.0,2.1706052344342686,1.0000000000066413e+22,1.0000000000066414,2.079867512195634,2.274740580236635,2.0761521535662183e-11,True,Q1;budget,True,False,False,False,False,False,True,False,budget_limited_with_bounds,20,,converged_feasible
1e+24,16384,logarithmic,0.5,6.49376e+18,conditional_B7_semi_synthetic,False,11.969999999999997,600.0,1.0,2.0523920597927097,6.735334056428436e+22,0.06735334056428435,1.9576704032408743,2.1591078746310353,0.0,True,N_max;D_max;Q1,False,False,True,False,True,False,True,True,support_limited,20,,converged_feasible
1e+20,24576,exponential,0.5,7.640640000000001e+18,conditional_B7_semi_synthetic,False,0.6219645103249489,10.000000000000002,0.9720775666784197,2.772715127875617,1.0000000000040524e+20,1.0000000000040523,2.6757172302653367,2.8802262765916686,1.407199458252281e-08,True,D_min;budget,True,False,False,True,False,False,False,False,budget_limited_with_bounds,19,,converged_feasible
