budget_FLOPs,context_tokens,quality_family,joint_grid_status,independent_status,N_params_B,D_tokens_B,Q_score,loss,cost_FLOPs,budget_utilization,support_feasible,solver_success,solver_message,iterations,function_evaluations,CHM_loss,independent_minus_CHM_loss
1e+23,30000,exponential,converged_feasible,feasible,11.969999850711039,600.0,0.9999999968274953,2.0523920610603987,8.84840584184611e+22,0.884840584184611,True,True,Optimization terminated successfully.,57,1392,2.0523920597927097,1.2676890648322114e-09
1e+19,30000,power,converged_feasible,feasible,0.0833333312658712,10.00000004131551,0.5000000082711977,3.448488455297701,1e+19,1.0,True,True,Optimization terminated successfully.,78,874,3.448488452985401,2.3123001291480705e-09
1e+20,30000,power,converged_feasible,feasible,0.5086175540920262,10.000000039936696,0.9578655062941216,2.809073783993852,1e+20,1.0,True,True,Optimization terminated successfully.,53,695,2.8090737819481615,2.0456907279253755e-09
1e+22,30000,power,converged_feasible,feasible,4.580236246467245,167.6436521362353,0.9999999989731274,2.193978359627801,1e+22,1.0,True,True,Optimization terminated successfully.,36,888,2.193978359241385,3.8641578825604483e-10
1e+23,30000,power,converged_feasible,feasible,11.969999850711039,600.0,0.9999999968274953,2.0523920610603987,8.899649888704942e+22,0.8899649888704944,True,True,Optimization terminated successfully.,57,1392,2.0523920597927097,1.2676890648322114e-09
1e+19,30000,logarithmic,converged_feasible,feasible,0.08333332923262046,10.000000148107882,0.5000000103193301,3.4484884596106204,1e+19,1.0,True,True,Optimization terminated successfully.,58,710,3.448488452985368,6.625252346736943e-09
1e+20,30000,logarithmic,converged_feasible,feasible,0.5370198839423956,13.060780598655935,0.9999999973768576,2.732418100285851,1e+20,1.0,True,True,Optimization terminated successfully.,43,1046,2.732418098797096,1.488755341227943e-09
1e+22,30000,logarithmic,converged_feasible,feasible,4.311680302193375,188.84872728258676,0.9999999989726885,2.189216641573664,1e+22,1.0,True,True,Optimization terminated successfully.,40,984,2.1892166412496024,3.240616663902074e-10
1e+23,30000,logarithmic,converged_feasible,feasible,11.969999850711039,600.0,0.9999999968274953,2.0523920610603987,8.691136188594294e+22,0.8691136188594295,True,True,Optimization terminated successfully.,57,1392,2.0523920597927097,1.2676890648322114e-09
1e+19,131072,exponential,infeasible_by_supported_domain,infeasible_by_supported_domain,,,,,,,,,,,,,
1e+20,131072,exponential,converged_feasible,feasible,0.22552113884458236,10.00000006133689,0.9470265694164673,2.9593894543324586,1e+20,1.0,True,True,Optimization terminated successfully.,61,772,2.9593894536908563,6.416023268229765e-10
1e+22,131072,exponential,converged_feasible,feasible,2.7238296506462283,109.19418250895751,0.9999999966125531,2.2712271384050475,1e+22,1.0,True,True,Optimization terminated successfully.,44,1080,2.271227137155365,1.249682579640421e-09
1e+23,131072,exponential,converged_feasible,feasible,8.095686527870477,377.8845105931044,0.999999999709001,2.1002677082268053,1e+23,1.0,True,True,Optimization terminated successfully.,38,936,2.100267708095376,1.3142908983354573e-10
1e+19,131072,power,infeasible_by_supported_domain,infeasible_by_supported_domain,,,,,,,,,,,,,
1e+20,131072,power,converged_feasible,feasible,0.20704215033536041,10.000000015889478,0.9238791763889584,2.98867992011004,1e+20,1.0,True,True,Optimization terminated successfully.,53,708,2.9886799194052753,7.04764691050741e-10
1e+22,131072,power,converged_feasible,feasible,2.7481580421336065,107.27569236579795,0.9999999973256489,2.27206263014065,1e+22,1.0,True,True,Optimization terminated successfully.,42,1032,2.2720626290580466,1.0826033403077417e-09
1e+23,131072,power,converged_feasible,feasible,8.121539768290821,375.49091119401874,0.9999999974292575,2.100462715892272,1e+23,1.0,True,True,Optimization terminated successfully.,40,984,2.1004627153225495,5.697224914058552e-10
1e+19,131072,logarithmic,infeasible_by_supported_domain,infeasible_by_supported_domain,,,,,,,,,,,,,
1e+20,131072,logarithmic,converged_feasible,feasible,0.272788822666822,10.000000150105528,0.999999996609675,2.8961072886627677,1e+20,1.0,True,True,Optimization terminated successfully.,59,1146,2.89610728684338,1.819387751567092e-09
1e+22,131072,logarithmic,converged_feasible,feasible,2.6444406908558404,115.73894334995235,0.9999999819731156,2.2685963849648583,1e+22,1.0,True,True,Optimization terminated successfully.,42,1032,2.2685963794002455,5.5646127705699655e-09
1e+23,131072,logarithmic,converged_feasible,feasible,8.011187426001236,385.67172788724434,0.999999994841483,2.099663819365899,1e+23,1.0,True,True,Optimization terminated successfully.,42,1032,2.099663817182261,2.1836381591811005e-09
