N_B,D_B,Q_B,p_variant,weights,bridge_lambda,eta,loss,baseline_loss,factor,relative_A_effect,gradient_N,gradient_D,gradient_Q_B,status
0.1,100,0.5,reference,pile_cc_only,1,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,pile_cc_only,1,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0.25,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0.25,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0.25,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0.5,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0.5,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,0.5,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,1,-0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,1,0,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,reference,equal_13,1,0.5,3.0592931965585177,3.0592931965585177,1.0,0.0,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0,-0.5,3.0592931965585177,3.0592931965585177,1.0,-0.007510589596971581,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0,0,3.0592931965585177,3.0592931965585177,1.0,-0.007510589596971581,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0,0.5,3.0592931965585177,3.0592931965585177,1.0,-0.007510589596971581,-2.947088806161744,-0.0010061005339727154,-0.5071327977702973,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0.25,-0.5,3.057476697651292,3.0592931965585177,0.99940623575757,-0.007510589596971581,-2.954421424745507,-0.0010055031474513528,-0.5068316804488179,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0.25,0,3.0535489226444783,3.0592931965585177,0.9981223526007571,-0.007510589596971581,-2.9415552125295163,-0.0010042114319217246,-0.5061805811914931,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0.25,0.5,3.0411282074862624,3.0592931965585177,0.9940623575757009,-0.007510589596971581,-2.8387651012768242,-0.0010001266687590892,-0.5041216245555029,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0.5,-0.5,3.0556601987440666,3.0592931965585177,0.9988124715151402,-0.007510589596971581,-2.961754043329271,-0.0010049057609299902,-0.5065305631273385,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0.5,0,3.0478046487304384,3.0592931965585177,0.9962447052015142,-0.007510589596971581,-2.936021618897289,-0.001002322329870734,-0.5052283646126889,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,0.5,0.5,3.022963218414007,3.0592931965585177,0.9881247151514019,-0.007510589596971581,-2.7304413963919045,-0.0009941528035454627,-0.5011104513407085,conditional_scenario_only
0.1,100,0.5,transfer_freelaw_to_arxiv_one_percent,arxiv_only,1,-0.5,3.0520272009296154,3.0592931965585177,0.9976249430302804,-0.007510589596971581,-2.9764192804967973,-0.001003710987887265,-0.5059283284843795,conditional_scenario_only
