quality_domain,metric_a,metric_b,mean_domain_spearman_sample,conflict_strength_sample,min_domain_spearman_sample,max_domain_spearman_sample,n_domains_sample,mean_domain_spearman_extended,conflict_strength_extended,min_domain_spearman_extended,max_domain_spearman_extended,n_domains_extended,negative_in_both
arxiv,modernbert_reasoning,rps_lines_uppercase_letter_fraction,0.06546993208713735,0.0,0.06546993208713735,0.06546993208713735,1,0.0973272505533596,0.0,0.0973272505533596,0.0973272505533596,1,False
arxiv,modernbert_professionalism,rps_doc_num_sentences,0.0677420132696693,0.0,0.0677420132696693,0.0677420132696693,1,0.04010052352077617,0.0,0.04010052352077617,0.04010052352077617,1,False
arxiv,fluency_en,rps_doc_frac_unique_words,0.06788266267390637,0.0,0.06788266267390637,0.06788266267390637,1,0.07053064510138432,0.0,0.07053064510138432,0.07053064510138432,1,False
arxiv,rps_doc_unigram_entropy,rps_lines_uppercase_letter_fraction,0.07207599284462339,0.0,0.07207599284462339,0.07207599284462339,1,0.0743341501153059,0.0,0.0743341501153059,0.0743341501153059,1,False
arxiv,modernbert_cleanliness,rps_doc_mean_word_length,0.07354265088078414,0.0,0.07354265088078414,0.07354265088078414,1,0.08951413581678508,0.0,0.08951413581678508,0.08951413581678508,1,False
arxiv,modernbert_reasoning,rps_doc_mean_word_length,0.07388481161131602,0.0,0.07388481161131602,0.07388481161131602,1,0.046494320518127775,0.0,0.046494320518127775,0.046494320518127775,1,False
arxiv,modernbert_readability,rps_doc_frac_chars_top_3gram,0.07425869743573812,0.0,0.07425869743573812,0.07425869743573812,1,0.02726287046688836,0.0,0.02726287046688836,0.02726287046688836,1,False
arxiv,modernbert_cleanliness,rps_lines_uppercase_letter_fraction,0.07855353808997408,0.0,0.07855353808997408,0.07855353808997408,1,0.06347308704864578,0.0,0.06347308704864578,0.06347308704864578,1,False
arxiv,fineweb_edu,rps_lines_ending_with_terminal_punctution_mark,0.07890383932663862,0.0,0.07890383932663862,0.07890383932663862,1,0.07639499712249928,0.0,0.07639499712249928,0.07639499712249928,1,False
arxiv,dsir_wiki,rps_lines_numerical_chars_fraction,0.08328573489826743,0.0,0.08328573489826743,0.08328573489826743,1,0.10141716465743336,0.0,0.10141716465743336,0.10141716465743336,1,False
arxiv,dsir_math,rps_lines_numerical_chars_fraction,0.0842030618176386,0.0,0.0842030618176386,0.0842030618176386,1,0.10559834759093806,0.0,0.10559834759093806,0.10559834759093806,1,False
arxiv,modernbert_readability,modernbert_reasoning,0.08764750332265857,0.0,0.08764750332265857,0.08764750332265857,1,0.07276252434033854,0.0,0.07276252434033854,0.07276252434033854,1,False
arxiv,dsir_books,rps_lines_numerical_chars_fraction,0.08806493172257848,0.0,0.08806493172257848,0.08806493172257848,1,0.10683877446781613,0.0,0.10683877446781613,0.10683877446781613,1,False
arxiv,modernbert_reasoning,rps_doc_frac_unique_words,0.09957726515775661,0.0,0.09957726515775661,0.09957726515775661,1,0.1153168991595979,0.0,0.1153168991595979,0.1153168991595979,1,False
arxiv,modernbert_reasoning,rps_doc_num_sentences,0.0997319980832406,0.0,0.0997319980832406,0.0997319980832406,1,0.07774233660315576,0.0,0.07774233660315576,0.07774233660315576,1,False
arxiv,modernbert_reasoning,rps_doc_word_count,0.10201927461102908,0.0,0.10201927461102908,0.10201927461102908,1,0.0942714900511577,0.0,0.0942714900511577,0.0942714900511577,1,False
