metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
rps_doc_frac_chars_top_2gram,rps_doc_mean_word_length,0.018253763935606872,0.0,-0.2027441937927533,0.24461324309405524,7
ad_en,rps_lines_numerical_chars_fraction,0.01916341856012756,0.0,-0.10113247545736999,0.13069661836888508,7
rps_doc_frac_chars_top_3gram,rps_doc_mean_word_length,0.02275186281864825,0.0,-0.16527583658524572,0.22493340053279573,7
modernbert_professionalism,ad_en,0.022777605595418228,0.0,-0.2093318082113089,0.4313291890729621,7
modernbert_readability,rps_doc_frac_chars_top_2gram,0.025826402717438513,0.0,-0.14663890096289078,0.21618614061066177,7
modernbert_cleanliness,rps_lines_uppercase_letter_fraction,0.02654119663334397,0.0,-0.291881910809943,0.3340029483968407,7
rps_doc_frac_chars_top_2gram,rps_lines_uppercase_letter_fraction,0.0324330845741236,0.0,-0.09126646986824105,0.1990605739428266,7
rps_doc_word_count,rps_lines_ending_with_terminal_punctution_mark,0.03391027371767034,0.0,-0.27571219349105186,0.34208918632585306,6
qurater,rps_doc_frac_chars_top_3gram,0.037630114818426964,0.0,-0.06447541034858398,0.13546637502169773,7
rps_doc_frac_unique_words,rps_lines_ending_with_terminal_punctution_mark,0.04151660533628152,0.0,-0.25900033948732953,0.3443852449180407,6
modernbert_professionalism,rps_doc_frac_chars_top_3gram,0.042323102446666816,0.0,-0.249973390108326,0.2667865014942344,7
modernbert_reasoning,rps_lines_numerical_chars_fraction,0.04403442517009215,0.0,-0.17251514993907968,0.2306393176937244,7
ad_en,rps_lines_uppercase_letter_fraction,0.04526371006686269,0.0,-0.08281947686333035,0.2253515865642311,7
fineweb_edu,rps_lines_uppercase_letter_fraction,0.04655786315302208,0.0,-0.10363811592460004,0.18227520307616896,7
fluency_en,rps_lines_uppercase_letter_fraction,0.05046612445030908,0.0,-0.12552045256158936,0.21496668235944585,7
rps_doc_frac_unique_words,rps_lines_numerical_chars_fraction,0.05057444232036862,0.0,-0.1473182529452521,0.14551294585742217,7
dsir_books,rps_doc_frac_chars_top_3gram,0.05192764248510504,0.0,-0.34635272786468635,0.43184254245216264,7
rps_doc_word_count,rps_doc_mean_word_length,0.052307829624480995,0.0,-0.21017926801648557,0.2894676449416592,7
fluency_en,rps_doc_frac_unique_words,0.05965075406015204,0.0,-0.15643315256194254,0.2614650424944578,7
modernbert_cleanliness,rps_doc_num_sentences,0.06107188938439476,0.0,-0.192347867172502,0.7371956169793217,7
rps_doc_frac_unique_words,rps_doc_frac_chars_top_2gram,0.06140656378359759,0.0,-0.30375137907414557,0.2068615209504777,7
qurater,rps_doc_frac_chars_top_2gram,0.06156875265858036,0.0,-0.1595075239398085,0.2709469216655984,7
modernbert_reasoning,rps_doc_frac_no_alph_words,0.061570299136307065,0.0,-0.2404015870906409,0.4840701292300126,7
fluency_en,modernbert_professionalism,0.06252972882234795,0.0,-0.034814721668254923,0.22271598056653566,7
modernbert_reasoning,rps_lines_uppercase_letter_fraction,0.06340206121682591,0.0,-0.32613716581199437,0.3181183735926963,7
fineweb_edu,rps_lines_numerical_chars_fraction,0.06354295233979325,0.0,-0.09314531366986502,0.2052251753082921,7
modernbert_cleanliness,rps_doc_frac_chars_top_3gram,0.06521434942501127,0.0,-0.0444154069749916,0.18366515338140463,7
rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_3gram,0.06554802217119869,0.0,-0.0021219489214399294,0.1897382793577153,7
modernbert_reasoning,rps_lines_ending_with_terminal_punctution_mark,0.0671816150749375,0.0,-0.20280264006998658,0.4069760318188854,6
rps_doc_num_sentences,rps_lines_ending_with_terminal_punctution_mark,0.06764696173325163,0.0,-0.42439172730930697,0.5024143374352201,6
modernbert_professionalism,rps_lines_numerical_chars_fraction,0.06945374927859496,0.0,-0.10012756819477092,0.31555779120874017,7
fluency_en,rps_lines_ending_with_terminal_punctution_mark,0.07382775415211523,0.0,-0.0670917341943624,0.2944569008574042,6
rps_doc_num_sentences,rps_lines_uppercase_letter_fraction,0.07591844226002364,0.0,-0.15835032975323396,0.32130125320475683,7
rps_doc_unigram_entropy,rps_lines_uppercase_letter_fraction,0.08108224710508762,0.0,-0.3437372501019992,0.28113023529819936,7
dsir_wiki,rps_doc_frac_chars_top_3gram,0.08221915486804522,0.0,-0.34624711878565295,0.4523026898851528,7
modernbert_cleanliness,rps_doc_frac_chars_top_2gram,0.08286552341646912,0.0,-0.12492860057119543,0.39897046970858874,7
modernbert_cleanliness,rps_doc_mean_word_length,0.08339187914980731,0.0,-0.1421484628122975,0.2962530855606725,7
rps_doc_frac_unique_words,rps_lines_uppercase_letter_fraction,0.08481897392707649,0.0,-0.15531235750114,0.2916520393653374,7
qurater,ad_en,0.08558015406215388,0.0,-0.03357783482632654,0.21813202470890977,7
fineweb_edu,ad_en,0.08735772661807285,0.0,-0.13850701367334536,0.2336204184256488,7
modernbert_reasoning,rps_doc_frac_chars_top_3gram,0.08772895118717086,0.0,-0.1663633300202967,0.4053203222461012,7
fluency_en,rps_doc_mean_word_length,0.08823867581567334,0.0,-0.22385463422223548,0.3480600286308115,7
dsir_math,rps_doc_frac_chars_top_3gram,0.08875106243670058,0.0,-0.3465843893315932,0.46091383585320916,7
modernbert_readability,rps_lines_numerical_chars_fraction,0.09105295814495985,0.0,-0.09858732968675275,0.30430249593893455,7
modernbert_readability,rps_lines_ending_with_terminal_punctution_mark,0.09704833913842915,0.0,-0.12207636338820257,0.31758886469231123,6
modernbert_cleanliness,dsir_wiki,0.09823341878778827,0.0,-0.2232190071746835,0.6944749913487499,7
modernbert_professionalism,rps_lines_uppercase_letter_fraction,0.09827316446897351,0.0,-0.2069407444740442,0.3364416284804163,7
modernbert_cleanliness,rps_doc_frac_no_alph_words,0.09989613961516815,0.0,-0.13260186141556296,0.2520938875429829,7
modernbert_cleanliness,dsir_math,0.09994394452104828,0.0,-0.22357694434811085,0.6998803016308031,7
rps_doc_word_count,rps_lines_uppercase_letter_fraction,0.10194046577160677,0.0,-0.210927056669033,0.3132147037672868,7
modernbert_cleanliness,rps_doc_frac_unique_words,0.10587165426233085,0.0,-0.10717867331708635,0.5054007381640535,7
rps_doc_frac_chars_top_2gram,rps_lines_ending_with_terminal_punctution_mark,0.10700416222452958,0.0,-0.1702783427449135,0.24721962224302205,6
fineweb_edu,rps_doc_frac_no_alph_words,0.10720086467405077,0.0,-0.23570706210215941,0.2918454834050721,7
dsir_wiki,qurater,0.10790888744841617,0.0,-0.07821560236357278,0.4814963016737622,7
modernbert_cleanliness,dsir_books,0.10983694008727704,0.0,-0.2240698769405849,0.6965908326539083,7
modernbert_readability,dsir_wiki,0.11415880539688716,0.0,-0.40693525856575125,0.5256979341729794,7
dsir_math,qurater,0.11563514911595944,0.0,-0.04532837993968708,0.49338905476185096,7
fluency_en,modernbert_reasoning,0.1179647145143221,0.0,-0.035827576274197644,0.26215307939048943,7
rps_doc_word_count,rps_lines_numerical_chars_fraction,0.12403955375234683,0.0,-0.07142394314815648,0.28436710179606933,7
dsir_books,qurater,0.12415733159515321,0.0,-0.024893591454862658,0.48597303619698945,7
ad_en,rps_doc_mean_word_length,0.1251358786424226,0.0,0.04563052766698723,0.3180461171751961,7
modernbert_readability,dsir_math,0.12706084080660576,0.0,-0.3710882581945211,0.5426597292985973,7
modernbert_professionalism,rps_doc_frac_chars_top_2gram,0.12730974043791063,0.0,-0.25123479012167904,0.3330739224570656,7
qurater,rps_doc_num_sentences,0.12932073248988016,0.0,-0.10574500792208384,0.5015609798473898,7
rps_doc_word_count,rps_doc_frac_chars_top_3gram,0.13185425202336232,0.0,-0.3398410972906481,0.5369384601778012,7
qurater,rps_lines_ending_with_terminal_punctution_mark,0.1354640110202078,0.0,-0.07562339501283989,0.26115382404552545,6
modernbert_readability,dsir_books,0.14027433608773082,0.0,-0.40157004922398554,0.5366028066020281,7
rps_doc_frac_chars_top_3gram,rps_lines_ending_with_terminal_punctution_mark,0.14698394989586674,0.0,-0.007655562784668557,0.2944344445244438,6
dsir_math,rps_lines_numerical_chars_fraction,0.14780697228855758,0.0,-0.012572076094169847,0.3266048121882402,7
dsir_wiki,rps_lines_numerical_chars_fraction,0.15025347943110484,0.0,-0.004977269020235683,0.3461026718326644,7
modernbert_cleanliness,rps_doc_word_count,0.1519446022054398,0.0,-0.11647065725126947,0.7271768712852209,7
modernbert_readability,rps_doc_num_sentences,0.1531634115290171,0.0,-0.0005242041224818459,0.48151473912246157,7
fineweb_edu,dsir_wiki,0.1546708748622278,0.0,-0.2612877519573805,0.45585849714942916,7
rps_doc_num_sentences,rps_doc_frac_chars_top_3gram,0.15492008347904682,0.0,-0.20732402601847527,0.4802779948331109,7
rps_doc_num_sentences,rps_lines_numerical_chars_fraction,0.15677695549158965,0.0,-0.010611815007226135,0.23793743140771384,7
dsir_books,rps_lines_uppercase_letter_fraction,0.15929635794962319,0.0,-0.18929893992648159,0.43928240755282405,7
fineweb_edu,dsir_math,0.16016099921917584,0.0,-0.24036356005647105,0.4636178296798624,7
modernbert_cleanliness,rps_doc_unigram_entropy,0.16136175443532932,0.0,-0.15357125622738718,0.7299660493680753,7
modernbert_cleanliness,rps_lines_ending_with_terminal_punctution_mark,0.16160529610645824,0.0,-0.18628650970792235,0.47628344007745177,6
dsir_math,rps_lines_uppercase_letter_fraction,0.16989944918711847,0.0,-0.10736077882635625,0.4241150436171504,7
rps_doc_unigram_entropy,rps_lines_numerical_chars_fraction,0.17005918449228105,0.0,-0.06682761232745739,0.3242648365178747,7
rps_doc_frac_unique_words,rps_doc_mean_word_length,0.17088443801648573,0.0,0.026157390740874073,0.40942154064257374,7
modernbert_cleanliness,ad_en,0.17121643812969436,0.0,-0.17537984768487455,0.3438948852124801,7
fineweb_edu,rps_doc_num_sentences,0.171261536899282,0.0,-0.1315759827809725,0.405806836472227,7
fineweb_edu,dsir_books,0.1753523597202367,0.0,-0.2572698621969081,0.466725352406075,7
dsir_wiki,rps_lines_uppercase_letter_fraction,0.17541469159332107,0.0,-0.10633472222891442,0.4337866729858667,7
qurater,rps_doc_frac_unique_words,0.18068886853556965,0.0,0.0541531667746658,0.43675648862381194,7
dsir_books,rps_lines_numerical_chars_fraction,0.18293179303301682,0.0,0.018459021327643196,0.35497764772850143,7
fluency_en,rps_doc_frac_no_alph_words,0.2050377741227672,0.0,-0.07517979977824531,0.49429074700176656,7
modernbert_readability,modernbert_professionalism,0.20669658883684314,0.0,-0.4381960288104999,0.5713058295533636,7
qurater,rps_doc_unigram_entropy,0.20838661198307012,0.0,0.02541748757078868,0.5135315999729371,7
fineweb_edu,rps_doc_frac_unique_words,0.2089055646387181,0.0,-0.1084719322245422,0.42201838921717766,7
modernbert_readability,rps_doc_frac_unique_words,0.20943855188180807,0.0,-0.11081122012922703,0.55554304211575,7
fineweb_edu,rps_doc_unigram_entropy,0.21796869543596223,0.0,-0.10144360569529248,0.49037069975263353,7
fineweb_edu,modernbert_cleanliness,0.2190768220096657,0.0,-0.08007931602181115,0.41601324410133345,7
modernbert_reasoning,rps_doc_frac_chars_top_2gram,0.21939167885089414,0.0,0.0068789920690835735,0.4123853898663983,7
qurater,rps_doc_word_count,0.22436268477318752,0.0,0.10600561450347484,0.5412799135531281,7
modernbert_readability,rps_doc_unigram_entropy,0.22451058686421294,0.0,-0.029745274186890262,0.5146085912823024,7
