quality_domain,metric_a,metric_b,mean_domain_spearman,conflict_strength,min_domain_spearman,max_domain_spearman,n_domains
arxiv,fluency_en,rps_lines_uppercase_letter_fraction,-0.06228298192294954,0.06228298192294954,-0.06228298192294954,-0.06228298192294954,1
arxiv,modernbert_cleanliness,rps_lines_uppercase_letter_fraction,-0.06223227603801767,0.06223227603801767,-0.06223227603801767,-0.06223227603801767,1
arxiv,modernbert_cleanliness,dsir_math,-0.0592053587377244,0.0592053587377244,-0.0592053587377244,-0.0592053587377244,1
arxiv,modernbert_readability,rps_doc_word_count,-0.054910876592487494,0.054910876592487494,-0.054910876592487494,-0.054910876592487494,1
arxiv,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length,-0.0533963621572957,0.0533963621572957,-0.0533963621572957,-0.0533963621572957,1
arxiv,fluency_en,rps_doc_unigram_entropy,-0.05325462169785905,0.05325462169785905,-0.05325462169785905,-0.05325462169785905,1
arxiv,qurater,rps_lines_numerical_chars_fraction,-0.04960473717245035,0.04960473717245035,-0.04960473717245035,-0.04960473717245035,1
arxiv,modernbert_cleanliness,rps_doc_frac_chars_top_2gram,-0.04901370905028888,0.04901370905028888,-0.04901370905028888,-0.04901370905028888,1
arxiv,fluency_en,dsir_wiki,-0.0483632026972172,0.0483632026972172,-0.0483632026972172,-0.0483632026972172,1
arxiv,fluency_en,dsir_math,-0.04822533269416647,0.04822533269416647,-0.04822533269416647,-0.04822533269416647,1
arxiv,fluency_en,dsir_books,-0.04686021625645906,0.04686021625645906,-0.04686021625645906,-0.04686021625645906,1
arxiv,fluency_en,rps_lines_ending_with_terminal_punctution_mark,-0.04471369093844776,0.04471369093844776,-0.04471369093844776,-0.04471369093844776,1
arxiv,fineweb_edu,rps_doc_word_count,-0.041725504971914094,0.041725504971914094,-0.041725504971914094,-0.041725504971914094,1
arxiv,qurater,ad_en,-0.03995224952512873,0.03995224952512873,-0.03995224952512873,-0.03995224952512873,1
arxiv,rps_doc_word_count,rps_lines_uppercase_letter_fraction,-0.03866749197688294,0.03866749197688294,-0.03866749197688294,-0.03866749197688294,1
arxiv,rps_doc_frac_chars_top_3gram,rps_lines_ending_with_terminal_punctution_mark,-0.03395819781030848,0.03395819781030848,-0.03395819781030848,-0.03395819781030848,1
arxiv,qurater,rps_doc_frac_chars_top_2gram,-0.03340757553432599,0.03340757553432599,-0.03340757553432599,-0.03340757553432599,1
