N0,D0,Q0,Q1,N1,D1,N_multiplier,D_multiplier,N_status,D_status
0.1,20.0,0.5,0.79,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.8,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.8099999999999999,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.82,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.83,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.84,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.85,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.86,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.87,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.88,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.89,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.9,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.91,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.92,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.93,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.94,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.95,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.96,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.97,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.98,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,0.99,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.1,20.0,0.5,1.0,,,,,no_equal_loss_root_in_support,no_equal_loss_root_in_support
0.7,150.0,0.5,0.1,1.717288765043519,,2.4532696643478844,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.11,1.680780075860749,,2.4011143940867843,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.12000000000000001,1.644945196554314,,2.349921709363306,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.13,1.6097756881925596,,2.2996795545607993,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.14,1.575263099168727,,2.2503758559553244,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.15000000000000002,1.5413989684444682,,2.2019985263492403,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.16,1.5081748287681824,,2.1545354696688324,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.17,1.4755822098792997,,2.107974585541857,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.18,1.4436126416931514,,2.062303773847359,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.19,1.4122576574613144,,2.017510939230449,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.2,1.381508796919838,,1.9735839955997687,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.21000000000000002,1.3513576093701067,,1.930510870528724,,supported,no_equal_loss_root_in_support
0.7,150.0,0.5,0.22,1.3217956567873992,595.98958050807,1.8882795096962848,3.9732638700538003,supported,supported
0.7,150.0,0.5,0.23,1.2928145168425722,563.5899264476443,1.8468778812036748,3.7572661763176285,supported,supported
0.7,150.0,0.5,0.24000000000000002,1.2644057859109334,533.2385916887804,1.8062939798727622,3.5549239445918692,supported,supported
0.7,150.0,0.5,0.25,1.236561082035572,504.79083703866155,1.7665158314793885,3.3652722469244103,supported,supported
0.7,150.0,0.5,0.26,1.209272047847465,478.1130485381709,1.72753149692495,3.1874203235878062,supported,supported
0.7,150.0,0.5,0.27,1.1825303534396117,453.0818263238796,1.6893290763423026,3.0205455088258644,supported,supported
0.7,150.0,0.5,0.28,1.156327699192636,429.58315163050264,1.651896713132337,2.863887677536684,supported,supported
0.7,150.0,0.5,0.29000000000000004,1.1306558185517241,407.51162502845705,1.6152225979310346,2.71674416685638,supported,supported
0.7,150.0,0.5,0.30000000000000004,1.1055064807354316,386.7697696095733,1.579294972479188,2.5784651307304887,supported,supported
0.7,150.0,0.5,0.31,1.0808714934252845,367.2673933972224,1.5441021334646923,2.448449289314816,supported,supported
0.7,150.0,0.5,0.32,1.0567427053472553,348.9210057703075,1.5096324362103648,2.3261400384687168,supported,supported
0.7,150.0,0.5,0.33,1.0331120088368937,331.6532831575336,1.4758742983384197,2.211021887716891,supported,supported
0.7,150.0,0.5,0.33999999999999997,1.0099713423095427,315.3925796837856,1.4428162032993468,2.1026171978919037,supported,supported
0.7,150.0,0.5,0.35,0.9873126926930098,300.0724788373235,1.4104467038471569,2.0004831922488235,supported,supported
0.7,150.0,0.5,0.36,0.9651280977763091,285.6313825787433,1.3787544253947275,1.9042092171916218,supported,supported
0.7,150.0,0.5,0.37,0.9434096484983625,272.0121346329039,1.347728069283375,1.813414230886026,supported,supported
0.7,150.0,0.5,0.38,0.9221494911620741,259.16167499647906,1.3173564159458202,1.727744499976527,supported,supported
0.7,150.0,0.5,0.39,0.9013398295920296,247.03072295884726,1.2876283279886138,1.646871486392315,supported,supported
0.7,150.0,0.5,0.4,0.8809729271978839,235.5734861750281,1.2585327531398343,1.5704899078335208,supported,supported
0.7,150.0,0.5,0.41000000000000003,0.8610411089846656,224.74739354864266,1.2300587271209509,1.498315956990951,supported,supported
0.7,150.0,0.5,0.42000000000000004,0.8415367634790919,214.51284988218976,1.2021953763987028,1.430085665881265,supported,supported
0.7,150.0,0.5,0.43000000000000005,0.8224523445835045,204.83301043324465,1.1749319208335778,1.3655534028882976,supported,supported
0.7,150.0,0.5,0.44000000000000006,0.8037803733537537,195.67357368003846,1.1482576762196484,1.3044904912002564,supported,supported
0.7,150.0,0.5,0.45000000000000007,0.7855134397006914,187.00259074987773,1.1221620567152735,1.2466839383325181,supported,supported
0.7,150.0,0.5,0.45999999999999996,0.7676442040147461,178.79029010013113,1.096634577163923,1.1919352673342076,supported,supported
0.7,150.0,0.5,0.47,0.7501653987131169,171.00891616569834,1.0716648553044528,1.1400594411046556,supported,supported
0.7,150.0,0.5,0.48,0.7330698297094551,163.63258079964768,1.0472426138706503,1.0908838719976512,supported,supported
0.7,150.0,0.5,0.49,0.7163503778009352,156.6371264363571,1.0233576825727646,1.044247509575714,supported,supported
0.7,150.0,0.5,0.5,0.6999999999999992,150.00000000000043,0.9999999999999989,1.0000000000000029,supported,supported
0.7,150.0,0.5,0.51,0.6840117307400702,143.70013666618772,0.9771596153429575,0.9580009111079181,supported,supported
0.7,150.0,0.5,0.52,0.668378683060117,137.71785266196719,0.9548266900858816,0.9181190177464479,supported,supported
0.7,150.0,0.5,0.53,0.653094049681439,132.0347463598774,0.932991499544913,0.8802316423991827,supported,supported
0.7,150.0,0.5,0.54,0.6381511039927258,126.63360698586621,0.9116444342753226,0.8442240465724414,supported,supported
0.7,150.0,0.5,0.55,0.6235432010073308,121.49833031936413,0.8907760014390441,0.8099888687957608,supported,supported
0.7,150.0,0.5,0.56,0.6092637781966298,116.61384081699974,0.8703768259951855,0.777425605446665,supported,supported
0.7,150.0,0.5,0.5700000000000001,0.5953063562726595,111.96601963996261,0.8504376518180851,0.746440130933084,supported,supported
0.7,150.0,0.5,0.58,0.5816645398916757,107.54163810923504,0.8309493427023938,0.7169442540615669,supported,supported
0.7,150.0,0.5,0.59,0.5683320182845455,103.3282961531937,0.8119028832636365,0.688855307687958,supported,supported
0.7,150.0,0.5,0.6,0.555302565815037,99.31436534889268,0.7932893797357672,0.6620957689926179,supported,supported
0.7,150.0,0.5,0.61,0.5425700424670594,95.48893619174903,0.7751000606672278,0.6365929079449936,supported,supported
0.7,150.0,0.5,0.62,0.5301283942621039,91.84176925907848,0.7573262775172913,0.6122784617271898,supported,supported
0.7,150.0,0.5,0.63,0.5179716536080969,88.36324996073768,0.7399595051544242,0.5890883330715845,supported,supported
0.7,150.0,0.5,0.64,0.5060939395810444,85.04434659566122,0.7229913422586349,0.5669623106377415,supported,supported
0.7,150.0,0.5,0.65,0.49448945814090206,81.87657145634323,0.7064135116298601,0.5458438097089549,supported,supported
0.7,150.0,0.5,0.66,0.48315250228272116,78.85194474458653,0.6902178604038874,0.5256796316305768,supported,supported
0.7,150.0,0.5,0.67,0.4720774521258705,75.96296108123705,0.6743963601798151,0.5064197405415803,supported,supported
0.7,150.0,0.5,0.6799999999999999,0.4612587749398972,73.20255841042551,0.658941107056996,0.4880170560695034,supported,supported
0.7,150.0,0.5,0.69,0.4506910251172093,70.56408911503746,0.6438443215960133,0.47042726076691643,supported,supported
0.7,150.0,0.5,0.7,0.44036884407328714,68.0412931750041,0.6290983486761246,0.453608621166694,supported,supported
0.7,150.0,0.5,0.71,0.4302869601097413,65.62827321359012,0.6146956572996305,0.43752182142393414,supported,supported
0.7,150.0,0.5,0.72,0.4204401882084798,63.31947128930295,0.6006288402978283,0.42212980859535304,supported,supported
