repeat,policy,selected_index,frozen_selected_index,same_as_frozen,refit_regret_using_frozen_choice,frozen_regret_using_refit_choice,selected_feature_domains,chosen_alpha_13
8,minimax,125,477,False,0.005710084113140557,0.03156317656457963,stackexchange|arxiv|github|pubmed_central|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
9,unconstrained,136,136,True,0.0,0.0,stackexchange|pubmed_central|arxiv|pile_cc|github,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
9,quality_direct,84,301,False,0.01746227274042804,0.010177373071483344,stackexchange|pubmed_central|arxiv|pile_cc|github,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
9,quality_direct_and_near,84,172,False,0.007111396520985955,0.0256261008610291,stackexchange|pubmed_central|arxiv|pile_cc|github,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
9,minimax,125,477,False,0.012664470588238386,0.03156317656457963,stackexchange|pubmed_central|arxiv|pile_cc|github,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
10,unconstrained,136,136,True,0.0,0.0,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
10,quality_direct,84,301,False,0.025052574601097236,0.010177373071483344,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
10,quality_direct_and_near,84,172,False,0.009196582695823803,0.0256261008610291,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
10,minimax,367,477,False,0.02738590660550244,0.008278341016680901,stackexchange|arxiv|pubmed_central|github|pile_cc,0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.01|0.1
11,unconstrained,136,136,True,0.0,0.0,freelaw|arxiv|github|pubmed_central|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
11,quality_direct,301,301,True,0.0,0.0,freelaw|arxiv|github|pubmed_central|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
11,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|arxiv|github|pubmed_central|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
11,minimax,97,477,False,0.002242138290169615,0.0025900536515444106,freelaw|arxiv|github|pubmed_central|pile_cc,0.01|0.01|0.01|0.01|0.1|0.01|0.01|0.1|0.01|0.01|0.01|0.1|0.1
12,unconstrained,136,136,True,0.0,0.0,freelaw|pile_cc|pubmed_central|github|arxiv,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
12,quality_direct,301,301,True,0.0,0.0,freelaw|pile_cc|pubmed_central|github|arxiv,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
12,quality_direct_and_near,172,172,True,0.0,0.0,freelaw|pile_cc|pubmed_central|github|arxiv,0.01|0.01|0.01|0.1|0.1|0.01|0.01|0.01|0.01|0.01|0.01|0.01|0.1
