index,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
44,0.003,0.19,0.0,0.506,0.0,0.051,0.057,0.002,0.14,0.0,0.005,0.004,0.0,0.042,0.0,0.0,0.0
45,0.903096903096903,0.023976023976023973,0.016983016983016984,0.0,0.0,0.001998001998001998,0.0,0.000999000999000999,0.044955044955044945,0.001998001998001998,0.000999000999000999,0.004995004995004994,0.0,0.0,0.0,0.0,0.0
46,0.007992007992007994,0.02197802197802198,0.0,0.35064935064935066,0.27772227772227775,0.0019980019980019984,0.05194805194805195,0.007992007992007994,0.05194805194805195,0.0,0.027972027972027975,0.09290709290709291,0.027972027972027975,0.0,0.04095904095904097,0.03796203796203797,0.0
47,0.0,0.0,0.01898101898101898,0.0,0.5464535464535464,0.003996003996003996,0.0,0.000999000999000999,0.0,0.0,0.0,0.0,0.016983016983016984,0.0029970029970029966,0.03196803196803197,0.0,0.3776223776223776
48,0.118,0.0,0.003,0.204,0.04,0.0,0.0,0.0,0.366,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.266
49,0.708,0.164,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.044
50,0.546,0.018,0.0,0.057,0.13,0.006,0.0,0.014,0.0,0.017,0.0,0.006,0.001,0.0,0.11,0.017,0.078
51,0.0,0.0,0.0,0.0,0.0,0.0,0.6726726726726727,0.0,0.13013013013013014,0.0,0.0,0.004004004004004004,0.0,0.0,0.0,0.1931931931931932,0.0
52,0.06406406406406406,0.5815815815815816,0.011011011011011011,0.002002002002002002,0.0,0.011011011011011011,0.0,0.0,0.049049049049049054,0.0,0.027027027027027025,0.0,0.0,0.0,0.0,0.14914914914914915,0.1051051051051051
53,0.0,0.6426426426426427,0.001001001001001001,0.004004004004004004,0.001001001001001001,0.002002002002002002,0.014014014014014014,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.027027027027027025,0.0,0.016016016016016016,0.2832832832832833
54,0.09890109890109891,0.0,0.0,0.0,0.0,0.0029970029970029974,0.006993006993006994,0.0,0.0009990009990009992,0.0,0.0,0.8271728271728273,0.0,0.0,0.0,0.0,0.06293706293706294
55,0.108,0.497,0.0,0.0,0.0,0.0,0.0,0.001,0.088,0.002,0.029,0.013,0.0,0.0,0.007,0.255,0.0
