budget_FLOPs,context_tokens,quality_family,Q0_scenario,status,ready_for_Q3,feasible,minimum_supported_cost_FLOPs,global_lower_bound,global_gap,certificate_tolerance,certificate_iterations,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,loss_coordinate,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_support,restricted_axis,restricted_upper,loss_penalty
1e+24,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.0233433258788596,2.0233592579188553e-11,1e-07,0,6.9,600.0,1.0,2.023343325899093,attachment_B7_native_val_loss,2.484e+22,6.782976e+21,2.8125e+21,3.4435475999999996e+22,0.034435476,N_max;D_max;Q_max,N_params_B,6.9,0.044230367785023095
1e+19,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.3102898916016676,8.8427347222364e-08,1e-07,33,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0,D_tokens_B,300.0,0.0
1e+22,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.110245437700146,5.0561405284810235e-08,1e-07,18,8.168781816189945,149.06701261799094,1.0,2.110245488261551,attachment_B7_native_val_loss,7.306175412405609e+21,1.9950729659475582e+21,6.987516216468325e+20,1e+22,1.0,Q_max,D_tokens_B,300.0,0.0
1e+24,8192,power,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.0242277774179236,2.0242474363385554e-11,1e-07,0,11.97,300.0,1.0,2.024227777438166,attachment_B7_native_val_loss,2.1546e+22,5.8834944e+21,1.40625e+21,2.88357444e+22,0.028835744400000002,N_max;D_max;Q_max,D_tokens_B,300.0,0.045114819324096
1e+19,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.3102899257373637,5.4291651174764866e-08,1e-07,20,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0,N_params_B,6.9,0.0
1e+22,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.1057410372848846,8.56925410630538e-08,1e-07,14,6.9,185.46946313682082,1.0,2.1057411229774257,attachment_B7_native_val_loss,7.678435773864382e+21,2.096724861983234e+21,2.2483936415238393e+20,1e+22,1.0,N_max;Q_max,N_params_B,6.9,0.00028398362570492
1e+24,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.0233433258788596,2.0233592579188553e-11,1e-07,0,6.9,600.0,1.0,2.023343325899093,attachment_B7_native_val_loss,2.484e+22,6.782976e+21,7.27362964284379e+20,3.2350338964284376e+22,0.032350338964284374,N_max;D_max;Q_max,N_params_B,6.9,0.044230367785023095
1e+19,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,3.3102899257373637,5.4291651174764866e-08,1e-07,20,0.13091746962714704,10.000000000000002,0.5,3.310289980029015,attachment_B7_native_val_loss,7.855048177628824e+18,2.1449518223711772e+18,0.0,1e+19,1.0,D_min;Q0,D_tokens_B,300.0,0.0
1e+22,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.105457059681948,7.966977255691177e-08,1e-07,14,7.674199554340873,167.13777936548465,1.0,2.1054571393517207,attachment_B7_native_val_loss,7.695892031520753e+21,2.1014915840739338e+21,2.0261638440531237e+20,1e+22,1.0,Q_max,D_tokens_B,300.0,0.0
1e+24,8192,logarithmic,0.5,B7_semi_synthetic_diagnostic_only,False,True,5.346880000000001e+18,2.0242277774179236,2.0242474363385554e-11,1e-07,0,11.97,300.0,1.0,2.024227777438166,attachment_B7_native_val_loss,2.1546e+22,5.8834944e+21,3.636814821421895e+20,2.779317588214219e+22,0.027793175882142192,N_max;D_max;Q_max,D_tokens_B,300.0,0.045114819324096
1e+19,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,N_params_B,6.9,
1e+22,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.2427492682029007,7.985405758859088e-08,1e-07,17,3.7113005860074395,81.0433493804848,1.0,2.2427493480569582,attachment_B7_native_val_loss,1.8046573802867933e+21,7.884668404965019e+21,3.1067421474818654e+20,1e+22,1.0,Q_max,N_params_B,6.9,0.0
1e+24,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,True,2.2550080000000004e+19,2.0233433258788596,2.0233592579188553e-11,1e-07,0,6.9,600.0,1.0,2.023343325899093,attachment_B7_native_val_loss,2.484e+22,1.08527616e+23,2.3000595394172845e+21,1.3566767553941729e+23,0.13566767553941728,N_max;D_max;Q_max,N_params_B,6.9,0.044230367785023095
1e+19,131072,exponential,0.5,B7_semi_synthetic_diagnostic_only,False,False,2.2550080000000004e+19,,,,,,,,,,,,,,,,D_tokens_B,300.0,
