budget_FLOPs,context_tokens,quality_family,loss_gap_to_best_cost_scenario,training_share,attention_share,quality_share
3e+21,4096,power,0.011663493780614598,0.7414603103622248,0.10123404770812244,0.15730564192965268
1e+22,4096,power,0.005675226397841904,0.7917505562830499,0.10810034261784575,0.10014910109910433
3e+22,4096,power,0.0028813358945711798,0.8238456598884523,0.11248239409677001,0.06367194601477776
1e+23,4096,power,0.0,0.8320847427912752,0.11360730354910212,0.05430795365962272
3e+23,4096,power,0.0,0.8320847427912752,0.11360730354910212,0.05430795365962272
1e+24,4096,power,0.0,0.8320847427912752,0.11360730354910212,0.05430795365962272
1e+19,4096,logarithmic,0.007403937678929218,0.8798686062881276,0.12013139371187236,0.0
3e+19,4096,logarithmic,0.0,0.524322029816239,0.0715874344709105,0.4040905357128506
1e+20,4096,logarithmic,0.0,0.7092327763397059,0.09683391506291451,0.1939333085973795
3e+20,4096,logarithmic,0.0,0.7636007837130626,0.10425696033629014,0.13214225595064735
1e+21,4096,logarithmic,0.0,0.8073256039923066,0.11022685579841625,0.0824475402092772
3e+21,4096,logarithmic,0.0,0.8343780789749673,0.11392042038271556,0.05170150064231721
1e+22,4096,logarithmic,0.0,0.8533365428812735,0.11650888265472323,0.03015457446400316
3e+22,4096,logarithmic,0.0,0.8639135971738919,0.11795300313414206,0.01813339969196601
1e+23,4096,logarithmic,0.0,0.8669924081862781,0.11837336346436651,0.014634228349355419
3e+23,4096,logarithmic,0.0,0.8669924081862781,0.11837336346436651,0.014634228349355419
1e+24,4096,logarithmic,0.0,0.8669924081862781,0.11837336346436651,0.014634228349355419
1e+19,8192,exponential,0.0,0.7134380576603664,0.19481615227845736,0.09174579006117638
3e+19,8192,exponential,0.07144810174523153,0.5970156193394134,0.16302506512094916,0.23995931553963745
1e+20,8192,exponential,0.05651906403975193,0.5211649146752464,0.1423127660339873,0.3365223192907662
3e+20,8192,exponential,0.03208785660422864,0.5701158449164043,0.1556796333851728,0.2742045216984229
1e+21,8192,exponential,0.016463965934633062,0.6357593120575026,0.17360467614583536,0.19063601179666212
3e+21,8192,exponential,0.008675602454613962,0.683708984987784,0.18669813350066422,0.12959288151155177
1e+22,8192,exponential,0.0041827777495271334,0.7221226312364953,0.19718761983631233,0.08068974892719244
3e+22,8192,exponential,0.0021109732032091877,0.745813625886614,0.2036568407754381,0.0505295333379478
1e+23,8192,exponential,0.0,0.7538963865198478,0.2058639732790198,0.04023964020113239
3e+23,8192,exponential,0.0,0.7538963865198478,0.2058639732790198,0.04023964020113239
1e+24,8192,exponential,0.0,0.7538963865198478,0.2058639732790198,0.04023964020113239
1e+19,8192,power,0.00691830864224352,0.7855048177628822,0.21449518223711772,0.0
3e+19,8192,power,0.10901392033147284,0.6242468782789906,0.1704610142287164,0.205292107492293
1e+20,8192,power,0.07619609365508584,0.45938384658947556,0.12544241570869946,0.415173737701825
3e+20,8192,power,0.041074471879136265,0.5450792930731428,0.14884298562850623,0.3060777212983508
1e+21,8192,power,0.021274085101429918,0.6145727955488982,0.16781934470455245,0.21760785974654934
3e+21,8192,power,0.011295029304382531,0.6670938911617379,0.1821611052132319,0.15074500362503032
1e+22,8192,power,0.005481122962291973,0.7105107065459412,0.19401679026747834,0.09547250318658056
3e+22,8192,power,0.0027779251804167515,0.73799770282568,0.2015225727182657,0.06047972445605427
1e+23,8192,power,0.0,0.7471976343360845,0.20403476734937354,0.048767598314541874
3e+23,8192,power,0.0,0.7471976343360845,0.20403476734937354,0.048767598314541874
1e+24,8192,power,0.0,0.7471976343360845,0.20403476734937354,0.048767598314541874
1e+19,8192,logarithmic,0.006918308642873683,0.7855048177628823,0.21449518223711775,0.0
3e+19,8192,logarithmic,0.0,0.468089755147603,0.12781970913897214,0.40409053571342485
1e+20,8192,logarithmic,0.0,0.6390707683883993,0.17450892448792554,0.1864203071236752
3e+20,8192,logarithmic,0.0,0.6862576198113851,0.18739408071649558,0.12634829947211917
1e+21,8192,logarithmic,0.0,0.7238724430992903,0.19766543512897955,0.07846212177173009
3e+21,8192,logarithmic,0.0,0.7469768681187964,0.20397448345430597,0.04904864842689772
1e+22,8192,logarithmic,0.0,0.7630852131442569,0.2083731355359251,0.028541651319818107
3e+22,8192,logarithmic,0.0,0.7720406428038928,0.21081856486164963,0.017140792334457564
1e+23,8192,logarithmic,0.0,0.7752262674609937,0.21168845276801534,0.01308527977099098
3e+23,8192,logarithmic,0.0,0.7752262674609937,0.21168845276801534,0.01308527977099098
1e+24,8192,logarithmic,0.0,0.7752262674609937,0.21168845276801534,0.01308527977099098
1e+19,16384,exponential,0.0,0.5927669687363387,0.32372980052587247,0.08350323073778891
3e+19,16384,exponential,0.07109463134505134,0.49670097666487445,0.2712649600559101,0.23203406327921544
1e+20,16384,exponential,0.055081013277528346,0.43444385380130746,0.23726427002268743,0.32829187617600514
3e+20,16384,exponential,0.030667290915987966,0.47933908441163603,0.26178305196667484,0.25887786362168924
1e+21,16384,exponential,0.01563065337611036,0.5316416451595788,0.290347223809818,0.17801113103060318
3e+21,16384,exponential,0.00819536547995714,0.5692094736648343,0.3108642672174882,0.11992625911767736
1e+22,16384,exponential,0.003935116034583075,0.598858919381937,0.3270568178384552,0.07408426277960783
3e+22,16384,exponential,0.0019809155883270257,0.6169244610532708,0.33692301232989297,0.046152526616836206
1e+23,16384,exponential,0.0,0.625191898278403,0.3414381353797785,0.03336996634181846
3e+23,16384,exponential,0.0,0.625191898278403,0.3414381353797785,0.03336996634181848
1e+24,16384,exponential,0.0,0.625191898278403,0.3414381353797785,0.03336996634181848
1e+19,16384,power,0.006081555898297175,0.6467747499137632,0.35322525008623656,2.98023223876729e-16
3e+19,16384,power,0.10923080175267019,0.5200340926194277,0.28400795244922344,0.1959579549313489
1e+20,16384,power,0.07594101393819574,0.38529535441539253,0.21042263622472632,0.4042820093598811
3e+20,16384,power,0.03932097039037963,0.45915713641602013,0.2507610174346691,0.29008184614931076
1e+21,16384,power,0.020227822982795907,0.5148641006698292,0.2811844475124828,0.20395145181768803
3e+21,16384,power,0.010683127124532454,0.556258323744173,0.3037912125408177,0.13995046371500927
1e+22,16384,power,0.005161278169702577,0.5899412978933245,0.3221866074894743,0.0878720946172013
3e+22,16384,power,0.0026084124813738896,0.6109840113562781,0.3336787347353754,0.05533725390834653
1e+23,16384,power,0.0,0.6205781216608931,0.3389183981764024,0.04050348016270446
3e+23,16384,power,0.0,0.620578121660893,0.33891839817640246,0.0405034801627045
1e+24,16384,power,0.0,0.620578121660893,0.33891839817640246,0.0405034801627045
1e+19,16384,logarithmic,0.006081555898369118,0.6467747499137233,0.35322525008621475,6.198883056637351e-14
3e+19,16384,logarithmic,0.0,0.38541919473524017,0.21049026955140582,0.404090535713354
1e+20,16384,logarithmic,0.0,0.5342545166410183,0.29177420002154814,0.17397128333743359
3e+20,16384,logarithmic,0.0,0.5711895421612042,0.311945648625639,0.11686480921315681
1e+21,16384,logarithmic,0.0,0.6001992207420197,0.32778880108790837,0.0720119781700719
3e+21,16384,logarithmic,0.0,0.617806886985145,0.33740493454548715,0.04478817846936786
1e+22,16384,logarithmic,0.0,0.6299804668654483,0.34405333230411683,0.025966200830434903
3e+22,16384,logarithmic,0.0,0.636710190432219,0.3477286586680492,0.015561150899731872
1e+23,16384,logarithmic,0.0,0.6397900926513287,0.3494106959333123,0.010799211415358941
3e+23,16384,logarithmic,0.0,0.6397900926513287,0.34941069593331237,0.010799211415358953
1e+24,16384,logarithmic,0.0,0.6397900926513287,0.34941069593331237,0.010799211415358953
1e+19,24576,exponential,0.0,0.5075751803846112,0.4158055877710735,0.07661923184431525
3e+19,24576,exponential,0.07056506990334244,0.42579724845993905,0.34881310593838205,0.22538964560167898
1e+20,24576,exponential,0.054363923321727015,0.37317870274700105,0.30570799329034326,0.3211133039626557
3e+20,24576,exponential,0.029499504502567664,0.4142764133357023,0.33937523780460727,0.24634834885969045
1e+21,24576,exponential,0.014953918362968555,0.4574216134276588,0.3747197857199381,0.16785860085240312
3e+21,24576,exponential,0.007809101512833205,0.48798265982107036,0.3997553949254209,0.11226194525350881
1e+22,24576,exponential,0.0037375412678821718,0.5118105995901183,0.41927524318422493,0.06891415722565676
3e+22,24576,exponential,0.0018777063071704347,0.5261892659475839,0.4310542466642608,0.04275648738815529
1e+23,24576,exponential,0.0,0.5340238452868605,0.4374723340589962,0.028503820654143322
3e+23,24576,exponential,0.0,0.5340238452868605,0.4374723340589962,0.028503820654143322
1e+24,24576,exponential,0.0,0.5340238452868605,0.4374723340589962,0.028503820654143322
1e+19,24576,power,0.005382749551407606,0.549692172383465,0.45030782761653465,2.9802322387684205e-16
3e+19,24576,power,0.10914384723236115,0.4462859560986922,0.3655974552360487,0.1881165886652591
1e+20,24576,power,0.07624395855597044,0.3325099354663251,0.2723921391340135,0.3950979253996614
3e+20,24576,power,0.03787567574358963,0.3974642303071086,0.3256026974675834,0.27693307222530794
1e+21,24576,power,0.01937590386014776,0.4436525949198952,0.36344020575837815,0.19290719932172667
3e+21,24576,power,0.010189810671798583,0.4774913134681182,0.39116088399308246,0.1313478025387994
