budget_FLOPs,context_tokens,quality_family,Q0_scenario,context_role,ready_for_Q3,feasible,N_params_B,D_tokens_B,Q_score,B7_diagnostic_loss,cost_FLOPs,budget_utilization,active_support,kkt_relative_violation,kkt_check_pass,solver,global_lower_bound,feasible_upper_bound,global_gap,certificate_tolerance,interval_splits
1e+20,30000,logarithmic,0.5,CYJ_external_sensitivity,False,True,0.5370672508834842,13.05981105749605,1.0,2.732418098797096,1.0000000000010931e+20,1.0000000000010931,Q1;budget,3.784395356472297e-11,True,SLSQP,2.732418018163765,2.732418098797291,8.063352563425497e-08,1e-07,18
1e+22,30000,exponential,0.5,CYJ_external_sensitivity,False,True,4.517267002734136,172.29307922959376,1.0,2.192843064872647,1.0000000000002298e+22,1.0000000000002298,Q1;budget,9.030373831677998e-11,True,SLSQP,2.1928430029024186,2.1928430648726653,6.197024671195095e-08,1e-07,18
1e+22,30000,power,0.5,CYJ_external_sensitivity,False,True,4.580567138595504,167.63249339406073,0.9999999999999999,2.193978359241385,1.000000000000461e+22,1.000000000000461,Q1;budget,9.955908716826377e-11,True,SLSQP,2.193978308979587,2.1939783592414215,5.026183469425405e-08,1e-07,18
1e+22,30000,logarithmic,0.5,CYJ_external_sensitivity,False,True,4.311865281763926,188.84081110943447,1.0,2.1892166412496024,1.0000000000012294e+22,1.0000000000012295,Q1;budget,1.5017877231020582e-10,True,SLSQP,2.18921656198778,2.189216641249695,7.926191525342574e-08,1e-07,14
1e+19,131072,exponential,0.5,C7_candidate,False,False,,,,,,,infeasible,,,,,,,,
1e+19,131072,power,0.5,C7_candidate,False,False,,,,,,,infeasible,,,,,,,,
1e+19,131072,logarithmic,0.5,C7_candidate,False,False,,,,,,,infeasible,,,,,,,,
1e+20,131072,exponential,0.5,C7_candidate,False,True,0.22552508405977845,10.000000000000002,0.9470193576985909,2.9593894536908074,1.0000000000009801e+20,1.00000000000098,D_min;budget,2.7060613789278954e-11,True,SLSQP,2.9593893537471216,2.9593894536910836,9.994396199530797e-08,1e-07,5013
1e+20,131072,power,0.5,C7_candidate,False,True,0.20703299444669568,10.000000000000002,0.9238978782689447,2.988679919404859,1.0000000000026128e+20,1.0000000000026128,D_min;budget,2.3540550393942645e-10,True,SLSQP,2.988679819420437,2.988679919405689,9.998525163368299e-08,1e-07,6139
1e+20,131072,logarithmic,0.5,C7_candidate,False,True,0.2727888271371839,10.000000000000002,1.0,2.89610728684338,1.000000000006873e+20,1.000000000006873,D_min;Q1;budget,0.0,True,SLSQP,2.8961072124258997,2.8961072868448543,7.441895455428948e-08,1e-07,18
1e+22,131072,exponential,0.5,C7_candidate,False,True,2.7235636877478906,109.20439911358481,1.0,2.271227137155365,1.000000000000958e+22,1.000000000000958,Q1;budget,9.656604247162676e-10,True,SLSQP,2.27122704625105,2.271227137155451,9.090440089565277e-08,1e-07,17
1e+22,131072,power,0.5,C7_candidate,False,True,2.7484373182085435,107.26533982154922,0.9999999999999999,2.2720626290580372,1.0000000000010412e+22,1.0000000000010412,Q1;budget,1.2311024200623487e-10,True,SLSQP,2.272062554852673,2.272062629058132,7.420545866665407e-08,1e-07,17
1e+22,131072,logarithmic,0.5,C7_candidate,False,True,2.6443930593087948,115.74099877849608,1.0,2.2685963794002455,1.0000000000076462e+22,1.000000000007646,Q1;budget,1.621438680614276e-11,True,SLSQP,2.2685963225643486,2.268596379400922,5.6836573225638176e-08,1e-07,14
