scenario,domain,p,reference_p,delta_p,qa_mapping_type,quality_Q_A,target_absolute_changes_json
convex_hull__equal_13,pubmed_central,0.05905905905905905,0.11375419105058357,-0.054695131991524516,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,wikipedia_en,0.0,0.07507775607983627,-0.07507775607983627,near_direct,-0.2944371095837085,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,dm_mathematics,0.22522522522522523,0.0254628540970504,0.19976237112817483,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,github,0.15915915915915915,0.11070066007050916,0.04845849908864999,direct,-0.505484640415014,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,philpapers,0.008008008008008008,0.005487697351193036,0.0025203106568149718,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,stackexchange,0.0,0.09943242344413017,-0.09943242344413017,direct,0.2516700815385636,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,enron_emails,0.0,0.002211033043406226,-0.002211033043406226,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,gutenberg_pg_19,0.0850850850850851,0.04691494424753537,0.03817014083754973,near_direct,2.918312769566993,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,pile_cc,0.1871871871871872,0.11948759779188561,0.06769958939530157,near_direct,0.4367240822461798,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
convex_hull__equal_13,ubuntu_irc,0.16216216216216217,0.019599998284005892,0.1425621638781563,inferred,,"{""arxiv"":0.21620491013111723,""dm_mathematics"":-4.267329933527658,""freelaw"":-0.25538242483396306,""github"":-0.8272169877836238,""gutenberg_pg_19"":-0.25042589577647506,""hackernews"":-0.5110515777313204,""pile_cc"":-0.22804448869321708,""pubmed_abstracts"":0.0023539682992979607,""pubmed_central"":-0.06676136167969676,""stackexchange"":-0.33227784047227304,""ubuntu_irc"":-2.8237052296428784,""uspto_backgrounds"":0.20141552340998006,""wikipedia_en"":0.05610790356610918}"
