bridge_lambda,eta,weights,p_policy,N_params_B,D_tokens_B,Q_score,status,loss,factor
0.25,0,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.092076007128304,1.0107158119420083
0.25,0,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.5949084657644796,1.0107158119420083
0.25,0,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.3297445385006412,1.0107158119420083
0.25,0,arxiv_only,QA_direct,0.1,100,0.5,valid,3.0274036685082093,0.9895761778942332
0.25,0,arxiv_only,QA_direct,1,100,0.5,valid,2.5406346385366914,0.9895761778942332
0.25,0,arxiv_only,QA_direct,10,100,0.5,valid,2.281016749356751,0.9895761778942332
0.25,0,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,0,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,0,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.25,0,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0288427740725195,0.9900465824850483
0.25,0,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.5418423537427044,0.9900465824850483
0.25,0,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.2821010526924543,0.9900465824850483
0.25,0,pile_cc_only,QA_direct,0.1,100,0.5,valid,3.0415367198435663,0.9941958891893964
0.25,0,pile_cc_only,QA_direct,1,100,0.5,valid,2.552495270187613,0.9941958891893964
0.25,0,pile_cc_only,QA_direct,10,100,0.5,valid,2.2916653877100743,0.9941958891893964
0.25,0.5,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,0.5,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,0.5,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.25,0.5,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,2.7064305785140457,0.8846587772491317
0.25,0.5,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.4737532475668162,0.9635259027998424
0.25,0.5,equal_13,ridge_hull_optimum,10,100,0.5,valid,2.2784574584809114,0.9884658777249131
0.25,0.5,equal_13,QA_direct,0.1,100,0.5,valid,2.7734346664433756,0.9065605969258806
0.25,0.5,equal_13,QA_direct,1,100,0.5,valid,2.491534943596846,0.9704518663079243
0.25,0.5,equal_13,QA_direct,10,100,0.5,valid,2.283505924545481,0.9906560596925881
0.25,0.5,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,0.5,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,0.5,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.25,0.5,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.162961546060885,1.0338863727147782
0.25,0.5,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.5949084657644796,1.0107158119420083
0.25,0.5,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.3128550776159744,1.0033886372714778
0.25,0.5,arxiv_only,QA_direct,0.1,100,0.5,valid,2.9584496544117145,0.9670369802213645
0.25,0.5,arxiv_only,QA_direct,1,100,0.5,valid,2.5406346385366914,0.9895761778942332
0.25,0.5,arxiv_only,QA_direct,10,100,0.5,valid,2.2974459977120625,0.9967036980221364
0.25,0.5,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.25,0.5,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.25,0.5,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.25,0.5,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,2.9630005057883566,0.9685245301501394
0.25,0.5,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.5418423537427044,0.9900465824850483
0.25,0.5,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.2977888845335968,0.9968524530150139
0.25,0.5,pile_cc_only,QA_direct,0.1,100,0.5,valid,3.0031422869195272,0.9816457900464864
0.25,0.5,pile_cc_only,QA_direct,1,100,0.5,valid,2.552495270187613,0.9941958891893964
0.25,0.5,pile_cc_only,QA_direct,10,100,0.5,valid,2.3008133928296552,0.9981645790046486
0.5,-0.5,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,-0.5,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,-0.5,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,-0.5,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,2.9887206729496234,0.9769317554498264
0.5,-0.5,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.3801097698577367,0.9270518055996848
0.5,-0.5,equal_13,ridge_hull_optimum,10,100,0.5,valid,1.773310904794508,0.7693175544982633
0.5,-0.5,equal_13,QA_direct,0.1,100,0.5,valid,3.0021214905354894,0.9813121193851762
0.5,-0.5,equal_13,QA_direct,1,100,0.5,valid,2.415673161917797,0.9409037326158488
0.5,-0.5,equal_13,QA_direct,10,100,0.5,valid,1.8742802260859008,0.8131211938517613
0.5,-0.5,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,-0.5,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,-0.5,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,-0.5,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0800268664589914,1.0067772745429557
0.5,-0.5,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.622420206253064,1.0214316238840164
0.5,-0.5,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.4612632874957705,1.0677727454295562
0.5,-0.5,arxiv_only,QA_direct,0.1,100,0.5,valid,3.039124488129157,0.9934073960442729
0.5,-0.5,arxiv_only,QA_direct,1,100,0.5,valid,2.5138725517974874,0.9791523557884665
0.5,-0.5,arxiv_only,QA_direct,10,100,0.5,valid,2.153081689417532,0.9340739604427291
0.5,-0.5,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,-0.5,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,-0.5,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,-0.5,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,3.0400346584044855,0.9937049060300279
0.5,-0.5,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.5162879822095134,0.9800931649700965
0.5,-0.5,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.1599394258482136,0.9370490603002788
0.5,-0.5,pile_cc_only,QA_direct,0.1,100,0.5,valid,3.0480630146307197,0.9963291580092973
0.5,-0.5,pile_cc_only,QA_direct,1,100,0.5,valid,2.537593815099331,0.9883917783787928
0.5,-0.5,pile_cc_only,QA_direct,10,100,0.5,valid,2.2204295917693857,0.9632915800929729
0.5,0,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,0,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,0,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,0,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,2.836123281728405,0.9270518055996848
0.5,0,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.3801097698577367,0.9270518055996848
0.5,0,equal_13,ridge_hull_optimum,10,100,0.5,valid,2.1368953126924524,0.9270518055996848
0.5,0,equal_13,QA_direct,0.1,100,0.5,valid,2.878500387808181,0.9409037326158488
0.5,0,equal_13,QA_direct,1,100,0.5,valid,2.415673161917797,0.9409037326158488
0.5,0,equal_13,QA_direct,10,100,0.5,valid,2.1688246156006663,0.9409037326158488
0.5,0,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,0,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,0,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,0,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.1248588176980903,1.0214316238840164
0.5,0,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.622420206253064,1.0214316238840164
0.5,0,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.3544449578000335,1.0214316238840164
0.5,0,arxiv_only,QA_direct,0.1,100,0.5,valid,2.995514140457901,0.9791523557884665
0.5,0,arxiv_only,QA_direct,1,100,0.5,valid,2.5138725517974874,0.9791523557884665
0.5,0,arxiv_only,QA_direct,10,100,0.5,valid,2.256989379512253,0.9791523557884665
0.5,0,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,0,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,0,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,0,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,2.998392351586521,0.9800931649700965
0.5,0,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.5162879822095134,0.9800931649700965
0.5,0,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.25915798618366,0.9800931649700965
0.5,0,pile_cc_only,QA_direct,0.1,100,0.5,valid,3.023780243128615,0.9883917783787928
0.5,0,pile_cc_only,QA_direct,1,100,0.5,valid,2.537593815099331,0.9883917783787928
0.5,0,pile_cc_only,QA_direct,10,100,0.5,valid,2.2782866562189,0.9883917783787928
0.5,0.5,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,0.5,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,0.5,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,0.5,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,2.3535679604695736,0.7693175544982633
0.5,0.5,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.3801097698577367,0.9270518055996848
0.5,0.5,equal_13,ridge_hull_optimum,10,100,0.5,valid,2.2518707977605743,0.9769317554498264
0.5,0.5,equal_13,QA_direct,0.1,100,0.5,valid,2.4875761363282334,0.8131211938517614
0.5,0.5,equal_13,QA_direct,1,100,0.5,valid,2.415673161917797,0.9409037326158488
0.5,0.5,equal_13,QA_direct,10,100,0.5,valid,2.261967729889714,0.9813121193851762
0.5,0.5,arxiv_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,0.5,arxiv_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,0.5,arxiv_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,0.5,arxiv_only,ridge_hull_optimum,0.1,100,0.5,valid,3.2666298955632516,1.0677727454295562
0.5,0.5,arxiv_only,ridge_hull_optimum,1,100,0.5,valid,2.622420206253064,1.0214316238840164
0.5,0.5,arxiv_only,ridge_hull_optimum,10,100,0.5,valid,2.3206660360307008,1.0067772745429557
0.5,0.5,arxiv_only,QA_direct,0.1,100,0.5,valid,2.857606112264911,0.9340739604427291
0.5,0.5,arxiv_only,QA_direct,1,100,0.5,valid,2.5138725517974874,0.9791523557884665
0.5,0.5,arxiv_only,QA_direct,10,100,0.5,valid,2.289847876222877,0.9934073960442729
0.5,0.5,pile_cc_only,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
0.5,0.5,pile_cc_only,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
0.5,0.5,pile_cc_only,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
0.5,0.5,pile_cc_only,ridge_hull_optimum,0.1,100,0.5,valid,2.866707815018195,0.9370490603002788
0.5,0.5,pile_cc_only,ridge_hull_optimum,1,100,0.5,valid,2.5162879822095134,0.9800931649700965
0.5,0.5,pile_cc_only,ridge_hull_optimum,10,100,0.5,valid,2.290533649865945,0.9937049060300279
0.5,0.5,pile_cc_only,QA_direct,0.1,100,0.5,valid,2.9469913772805363,0.9632915800929729
0.5,0.5,pile_cc_only,QA_direct,1,100,0.5,valid,2.537593815099331,0.9883917783787928
0.5,0.5,pile_cc_only,QA_direct,10,100,0.5,valid,2.2965826664580624,0.9963291580092973
1,-0.5,equal_13,Q1_reference,0.1,100,0.5,valid,3.0592931965585177,1.0
1,-0.5,equal_13,Q1_reference,1,100,0.5,valid,2.5673967252758954,1.0
1,-0.5,equal_13,Q1_reference,10,100,0.5,valid,2.3050441192012485,1.0
1,-0.5,equal_13,ridge_hull_optimum,0.1,100,0.5,valid,2.918148149340729,0.9538635108996527
1,-0.5,equal_13,ridge_hull_optimum,1,100,0.5,valid,2.1928228144395785,0.8541036111993697
1,-0.5,equal_13,ridge_hull_optimum,10,100,0.5,valid,1.2415776903877673,0.5386351089965267
1,-0.5,equal_13,QA_direct,0.1,100,0.5,valid,2.944949784512461,0.9626242387703523
