policy,support,N_params_B,D_tokens_B,Q_score,lambda,eta,bridge_model,status,Loss,difference_from_baseline
equal_13,observed_512,1.0,100.0,0.5,0.75,0.2,exp_bridge,valid,2.3551241772346962,0.0667831160046708
equal_13,observed_512,1.0,100.0,0.5,0.75,0.2,linear_bridge,valid,2.3458329991816984,0.057491937951672956
equal_13,observed_512,1.0,100.0,0.5,0.75,0.4,exp_bridge,valid,2.3551241772346962,0.0667831160046708
equal_13,observed_512,1.0,100.0,0.5,0.75,0.4,linear_bridge,valid,2.3458329991816984,0.057491937951672956
equal_13,observed_512,1.0,100.0,0.5,1.0,0.0,exp_bridge,valid,2.2883410612300255,0.0
equal_13,observed_512,1.0,100.0,0.5,1.0,0.0,linear_bridge,valid,2.271978423816966,-0.016362637413059655
equal_13,observed_512,1.0,100.0,0.5,1.0,0.1,exp_bridge,valid,2.2883410612300255,0.0
equal_13,observed_512,1.0,100.0,0.5,1.0,0.1,linear_bridge,valid,2.271978423816966,-0.016362637413059655
equal_13,observed_512,1.0,100.0,0.5,1.0,0.2,exp_bridge,valid,2.2883410612300255,0.0
equal_13,observed_512,1.0,100.0,0.5,1.0,0.2,linear_bridge,valid,2.271978423816966,-0.016362637413059655
equal_13,observed_512,1.0,100.0,0.5,1.0,0.4,exp_bridge,valid,2.2883410612300255,0.0
equal_13,observed_512,1.0,100.0,0.5,1.0,0.4,linear_bridge,valid,2.271978423816966,-0.016362637413059655
equal_13,observed_512,1.0,100.0,0.5,1.25,0.0,exp_bridge,valid,2.2234516817112713,-0.06488937951875418
equal_13,observed_512,1.0,100.0,0.5,1.25,0.0,linear_bridge,valid,2.1981238484522336,-0.09021721277779182
equal_13,observed_512,1.0,100.0,0.5,1.25,0.1,exp_bridge,valid,2.2234516817112713,-0.06488937951875418
equal_13,observed_512,1.0,100.0,0.5,1.25,0.1,linear_bridge,valid,2.1981238484522336,-0.09021721277779182
equal_13,observed_512,1.0,100.0,0.5,1.25,0.2,exp_bridge,valid,2.2234516817112713,-0.06488937951875418
equal_13,observed_512,1.0,100.0,0.5,1.25,0.2,linear_bridge,valid,2.1981238484522336,-0.09021721277779182
equal_13,observed_512,1.0,100.0,0.5,1.25,0.4,exp_bridge,valid,2.2234516817112713,-0.06488937951875418
equal_13,observed_512,1.0,100.0,0.5,1.25,0.4,linear_bridge,valid,2.1981238484522336,-0.09021721277779182
equal_13,observed_512,1.0,100.0,0.5,1.5,0.0,exp_bridge,valid,2.1604023389098,-0.1279387223202253
equal_13,observed_512,1.0,100.0,0.5,1.5,0.0,linear_bridge,valid,2.124269273087501,-0.16407178814252443
equal_13,observed_512,1.0,100.0,0.5,1.5,0.1,exp_bridge,valid,2.1604023389098,-0.1279387223202253
equal_13,observed_512,1.0,100.0,0.5,1.5,0.1,linear_bridge,valid,2.124269273087501,-0.16407178814252443
equal_13,observed_512,1.0,100.0,0.5,1.5,0.2,exp_bridge,valid,2.1604023389098,-0.1279387223202253
equal_13,observed_512,1.0,100.0,0.5,1.5,0.2,linear_bridge,valid,2.124269273087501,-0.16407178814252443
equal_13,observed_512,1.0,100.0,0.5,1.5,0.4,exp_bridge,valid,2.1604023389098,-0.1279387223202253
equal_13,observed_512,1.0,100.0,0.5,1.5,0.4,linear_bridge,valid,2.124269273087501,-0.16407178814252443
equal_13,observed_512,10.0,100.0,0.5,0,0.0,exp_bridge,valid,2.3050441192012485,0.2505400162764517
equal_13,observed_512,10.0,100.0,0.5,0,0.0,linear_bridge,valid,2.3050441192012485,0.2505400162764517
equal_13,observed_512,10.0,100.0,0.5,0,0.1,exp_bridge,valid,2.3050441192012485,0.2505400162764517
equal_13,observed_512,10.0,100.0,0.5,0,0.1,linear_bridge,valid,2.3050441192012485,0.2505400162764517
equal_13,observed_512,10.0,100.0,0.5,0,0.2,exp_bridge,valid,2.3050441192012485,0.2505400162764517
equal_13,observed_512,10.0,100.0,0.5,0,0.2,linear_bridge,valid,2.3050441192012485,0.2505400162764517
equal_13,observed_512,10.0,100.0,0.5,0,0.4,exp_bridge,valid,2.3050441192012485,0.2505400162764517
equal_13,observed_512,10.0,100.0,0.5,0,0.4,linear_bridge,valid,2.3050441192012485,0.2505400162764517
equal_13,observed_512,10.0,100.0,0.5,0.5,0.0,exp_bridge,valid,2.176171546620725,0.12166744369592841
equal_13,observed_512,10.0,100.0,0.5,0.5,0.0,linear_bridge,valid,2.1724288105155307,0.11792470759073392
equal_13,observed_512,10.0,100.0,0.5,0.5,0.1,exp_bridge,valid,2.202074794663921,0.14757069173912418
equal_13,observed_512,10.0,100.0,0.5,0.5,0.1,linear_bridge,valid,2.1997040351555066,0.14519993223070982
equal_13,observed_512,10.0,100.0,0.5,0.5,0.2,exp_bridge,valid,2.2228700262043866,0.16836592327958977
equal_13,observed_512,10.0,100.0,0.5,0.5,0.2,linear_bridge,valid,2.221369516195487,0.16686541327069015
equal_13,observed_512,10.0,100.0,0.5,0.5,0.4,exp_bridge,valid,2.252849037979888,0.1983449350550912
equal_13,observed_512,10.0,100.0,0.5,0.5,0.4,linear_bridge,valid,2.252249013888299,0.1977449109635021
