scope,candidate_set,weight_scenario,model,n_candidates,selected_index,selected_hull_status,actual_best_index,realized_rank,realized_top_decile,realized_relative_regret
test_1m,all_heldout,dirichlet_sparse_027,interaction_candidate,256,201,OUT_OF_TRAINING_SUPPORT,102,23,True,0.05930869748178645
test_1m,all_heldout,dirichlet_sparse_028,ridge_v1.3,256,23,OUT_OF_TRAINING_SUPPORT,23,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_028,interaction_candidate,256,23,OUT_OF_TRAINING_SUPPORT,23,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_029,ridge_v1.3,256,53,OUT_OF_TRAINING_SUPPORT,45,7,True,0.05351702549307276
test_1m,all_heldout,dirichlet_sparse_029,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,45,7,True,0.05351702549307276
test_1m,all_heldout,dirichlet_sparse_030,ridge_v1.3,256,157,OUT_OF_TRAINING_SUPPORT,157,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_030,interaction_candidate,256,157,OUT_OF_TRAINING_SUPPORT,157,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_031,ridge_v1.3,256,53,OUT_OF_TRAINING_SUPPORT,239,5,True,0.022028072016720378
test_1m,all_heldout,dirichlet_sparse_031,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,239,5,True,0.022028072016720378
test_1m,all_heldout,dirichlet_sparse_032,ridge_v1.3,256,7,OUT_OF_TRAINING_SUPPORT,130,29,False,0.06701038310781324
test_1m,all_heldout,dirichlet_sparse_032,interaction_candidate,256,237,OUT_OF_TRAINING_SUPPORT,130,40,False,0.08449456605350614
test_1m,all_heldout,dirichlet_sparse_033,ridge_v1.3,256,153,OUT_OF_TRAINING_SUPPORT,108,19,True,0.07885863972491688
test_1m,all_heldout,dirichlet_sparse_033,interaction_candidate,256,153,OUT_OF_TRAINING_SUPPORT,108,19,True,0.07885863972491688
test_1m,all_heldout,dirichlet_sparse_034,ridge_v1.3,256,59,OUT_OF_TRAINING_SUPPORT,72,2,True,0.046404628447121926
test_1m,all_heldout,dirichlet_sparse_034,interaction_candidate,256,167,OUT_OF_TRAINING_SUPPORT,72,9,True,0.08341015034032559
test_1m,all_heldout,dirichlet_sparse_035,ridge_v1.3,256,161,OUT_OF_TRAINING_SUPPORT,161,1,True,0.0
test_1m,all_heldout,dirichlet_sparse_035,interaction_candidate,256,53,OUT_OF_TRAINING_SUPPORT,161,4,True,0.08652981078603306
test_1m,all_heldout,dirichlet_sparse_036,ridge_v1.3,256,26,OUT_OF_TRAINING_SUPPORT,91,150,False,0.3692279028245754
test_1m,all_heldout,dirichlet_sparse_036,interaction_candidate,256,228,OUT_OF_TRAINING_SUPPORT,91,6,True,0.03310964194929642
test_1m,all_heldout,dirichlet_sparse_037,ridge_v1.3,256,192,OUT_OF_TRAINING_SUPPORT,199,2,True,0.006855111446707563
test_1m,all_heldout,dirichlet_sparse_037,interaction_candidate,256,192,OUT_OF_TRAINING_SUPPORT,199,2,True,0.006855111446707563
test_1m,all_heldout,dirichlet_sparse_038,ridge_v1.3,256,59,OUT_OF_TRAINING_SUPPORT,199,9,True,0.0705119620694993
