weight_scenario,quality_score_scope,quality_policy,model,n_feasible_observed_recipes,selected_index,objective_relative,max_domain_share,unknown_QA_share
only_ubuntu_irc,A1_sample_primary,quality_direct,ridge_v1.3,91,301,-0.4248218033402343,0.36063936063936064,0.2727272727272727
only_ubuntu_irc,A1_sample_primary,quality_direct,interaction_candidate,91,301,-0.4062173454238135,0.36063936063936064,0.2727272727272727
only_ubuntu_irc,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,384,-0.4715013785479701,0.234,0.413
only_ubuntu_irc,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,384,-0.44388167739410866,0.234,0.413
only_ubuntu_irc,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,365,-0.4897592951107118,0.518,0.31800000000000006
only_ubuntu_irc,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,365,-0.46522379760733595,0.518,0.31800000000000006
only_ubuntu_irc,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,301,-0.4248218033402343,0.36063936063936064,0.2727272727272727
only_ubuntu_irc,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,301,-0.4062173454238135,0.36063936063936064,0.2727272727272727
only_ubuntu_irc,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,384,-0.4715013785479701,0.234,0.413
only_ubuntu_irc,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,384,-0.44388167739410866,0.234,0.413
only_hackernews,A1_sample_primary,unconstrained,ridge_v1.3,512,163,-0.16841265829325755,0.35435435435435436,0.5185185185185186
only_hackernews,A1_sample_primary,unconstrained,interaction_candidate,512,163,-0.157375319026565,0.35435435435435436,0.5185185185185186
only_hackernews,A1_sample_primary,quality_direct,ridge_v1.3,91,129,-0.13693318756297132,0.3853853853853854,0.3283283283283283
only_hackernews,A1_sample_primary,quality_direct,interaction_candidate,91,477,-0.1375338903631783,0.35535535535535534,0.3693693693693694
only_hackernews,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,97,-0.1482309909365746,0.3413173652694611,0.3992015968063872
only_hackernews,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,477,-0.1375338903631783,0.35535535535535534,0.3693693693693694
only_hackernews,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,163,-0.16841265829325755,0.35435435435435436,0.5185185185185186
only_hackernews,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,163,-0.157375319026565,0.35435435435435436,0.5185185185185186
only_hackernews,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,129,-0.13693318756297132,0.3853853853853854,0.3283283283283283
only_hackernews,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,477,-0.1375338903631783,0.35535535535535534,0.3693693693693694
only_hackernews,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,97,-0.1482309909365746,0.3413173652694611,0.3992015968063872
only_hackernews,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,477,-0.1375338903631783,0.35535535535535534,0.3693693693693694
only_pubmed_abstracts,A1_sample_primary,unconstrained,ridge_v1.3,512,288,-0.3133727189947817,0.5754245754245755,0.8191808191808192
only_pubmed_abstracts,A1_sample_primary,unconstrained,interaction_candidate,512,173,-0.2979665496165215,0.5638722554890219,0.9510978043912175
only_pubmed_abstracts,A1_sample_primary,quality_direct,ridge_v1.3,91,339,-0.23499645833229438,0.5314685314685315,0.6093906093906094
only_pubmed_abstracts,A1_sample_primary,quality_direct,interaction_candidate,91,339,-0.2265761585592374,0.5314685314685315,0.6093906093906094
only_pubmed_abstracts,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,511,-0.09108563361905773,0.3783783783783784,0.3823823823823824
only_pubmed_abstracts,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,511,-0.08386364982461064,0.3783783783783784,0.3823823823823824
only_pubmed_abstracts,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,288,-0.3133727189947817,0.5754245754245755,0.8191808191808192
only_pubmed_abstracts,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,173,-0.2979665496165215,0.5638722554890219,0.9510978043912175
only_pubmed_abstracts,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,339,-0.23499645833229438,0.5314685314685315,0.6093906093906094
only_pubmed_abstracts,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,339,-0.2265761585592374,0.5314685314685315,0.6093906093906094
only_pubmed_abstracts,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,511,-0.09108563361905773,0.3783783783783784,0.3823823823823824
only_pubmed_abstracts,A2_A3_extended_sensitivity,quality_direct_and_near,interaction_candidate,108,511,-0.08386364982461064,0.3783783783783784,0.3823823823823824
only_uspto_backgrounds,A1_sample_primary,unconstrained,ridge_v1.3,512,29,-0.3461756523775259,0.6723276723276723,0.6863136863136863
only_uspto_backgrounds,A1_sample_primary,unconstrained,interaction_candidate,512,29,-0.33989407675244443,0.6723276723276723,0.6863136863136863
only_uspto_backgrounds,A1_sample_primary,quality_direct,ridge_v1.3,91,264,-0.18646341535037397,0.4181636726546906,0.6227544910179641
only_uspto_backgrounds,A1_sample_primary,quality_direct,interaction_candidate,91,264,-0.1833382342992142,0.4181636726546906,0.6227544910179641
only_uspto_backgrounds,A1_sample_primary,quality_direct_and_near,ridge_v1.3,108,30,-0.18671905205153125,0.4215784215784216,0.4285714285714286
only_uspto_backgrounds,A1_sample_primary,quality_direct_and_near,interaction_candidate,108,30,-0.17877413948337464,0.4215784215784216,0.4285714285714286
only_uspto_backgrounds,A2_A3_extended_sensitivity,unconstrained,ridge_v1.3,512,29,-0.3461756523775259,0.6723276723276723,0.6863136863136863
only_uspto_backgrounds,A2_A3_extended_sensitivity,unconstrained,interaction_candidate,512,29,-0.33989407675244443,0.6723276723276723,0.6863136863136863
only_uspto_backgrounds,A2_A3_extended_sensitivity,quality_direct,ridge_v1.3,92,264,-0.18646341535037397,0.4181636726546906,0.6227544910179641
only_uspto_backgrounds,A2_A3_extended_sensitivity,quality_direct,interaction_candidate,92,264,-0.1833382342992142,0.4181636726546906,0.6227544910179641
only_uspto_backgrounds,A2_A3_extended_sensitivity,quality_direct_and_near,ridge_v1.3,108,30,-0.18671905205153125,0.4215784215784216,0.4285714285714286
