grid_id,w_rps,w_dsir,w_model,quality_domain,Q_raw_median,rank_high_is_good
19,0.0,0.95,0.05,c4,-0.4949699192815578,7.0
19,0.0,0.95,0.05,commoncrawl,0.4146549798512847,3.0
19,0.0,0.95,0.05,github,0.007802184390810661,4.0
19,0.0,0.95,0.05,stackexchange,0.0003816053807455585,5.0
19,0.0,0.95,0.05,wikipedia,-0.41226601456486756,6.0
20,0.0,1.0,0.0,arxiv,2.974102184915186,2.0
20,0.0,1.0,0.0,book,3.855807427365475,1.0
20,0.0,1.0,0.0,c4,-0.4969024678812394,7.0
20,0.0,1.0,0.0,commoncrawl,0.4415175956426949,3.0
20,0.0,1.0,0.0,github,0.043942775668296186,4.0
20,0.0,1.0,0.0,stackexchange,-0.014209983374868859,5.0
20,0.0,1.0,0.0,wikipedia,-0.417923335428098,6.0
21,0.05,0.0,0.95,arxiv,1.5533638771742164,1.0
21,0.05,0.0,0.95,book,0.19088692698355098,3.0
21,0.05,0.0,0.95,c4,-0.3961067548094134,6.0
21,0.05,0.0,0.95,commoncrawl,-0.061320251683372934,4.0
21,0.05,0.0,0.95,github,-0.6738480527741808,7.0
21,0.05,0.0,0.95,stackexchange,0.26573732736184397,2.0
21,0.05,0.0,0.95,wikipedia,-0.3673968415666765,5.0
22,0.05,0.05,0.9,arxiv,1.623617714803052,1.0
22,0.05,0.05,0.9,book,0.3466483150098436,2.0
22,0.05,0.05,0.9,c4,-0.3986244701468653,6.0
22,0.05,0.05,0.9,commoncrawl,-0.0422032374092818,4.0
22,0.05,0.05,0.9,github,-0.6420207468151599,7.0
22,0.05,0.05,0.9,stackexchange,0.24906169961524477,3.0
22,0.05,0.05,0.9,wikipedia,-0.3792175714967586,5.0
23,0.05,0.1,0.85,arxiv,1.6977440584664085,1.0
23,0.05,0.1,0.85,book,0.5419977947392063,2.0
23,0.05,0.1,0.85,c4,-0.40128164538014366,6.0
23,0.05,0.1,0.85,commoncrawl,-0.02351525027836872,4.0
23,0.05,0.1,0.85,github,-0.6085780629547055,7.0
23,0.05,0.1,0.85,stackexchange,0.230096563884444,3.0
23,0.05,0.1,0.85,wikipedia,-0.39143711450765256,5.0
24,0.05,0.15,0.8,arxiv,1.7655373225760282,1.0
24,0.05,0.15,0.8,book,0.7232713823669616,2.0
24,0.05,0.15,0.8,c4,-0.40342184033856654,6.0
24,0.05,0.15,0.8,commoncrawl,0.0002247375519874653,4.0
24,0.05,0.15,0.8,github,-0.5706318561158893,7.0
24,0.05,0.15,0.8,stackexchange,0.2098763883225207,3.0
24,0.05,0.15,0.8,wikipedia,-0.40133343770239205,5.0
25,0.05,0.2,0.75,arxiv,1.835957372768667,1.0
25,0.05,0.2,0.75,book,0.9246683219871245,2.0
25,0.05,0.2,0.75,c4,-0.4089478830381506,6.0
25,0.05,0.2,0.75,commoncrawl,0.019283473219972896,4.0
25,0.05,0.2,0.75,github,-0.5293947241526747,7.0
25,0.05,0.2,0.75,stackexchange,0.19151259322958641,3.0
25,0.05,0.2,0.75,wikipedia,-0.4051963954819695,5.0
26,0.05,0.25,0.7,arxiv,1.8989109111301263,1.0
26,0.05,0.25,0.7,book,1.0870832660747423,2.0
26,0.05,0.25,0.7,c4,-0.4135164243117572,6.0
26,0.05,0.25,0.7,commoncrawl,0.04335065320106043,4.0
26,0.05,0.25,0.7,github,-0.498350614016308,7.0
26,0.05,0.25,0.7,stackexchange,0.1750215595714813,3.0
26,0.05,0.25,0.7,wikipedia,-0.40706467887513814,5.0
27,0.05,0.3,0.65,arxiv,1.968909759853847,1.0
27,0.05,0.3,0.65,book,1.2722451734494198,2.0
27,0.05,0.3,0.65,c4,-0.41900726923284004,6.0
27,0.05,0.3,0.65,commoncrawl,0.06829385892562051,4.0
27,0.05,0.3,0.65,github,-0.46146790375747043,7.0
27,0.05,0.3,0.65,stackexchange,0.1595180765302234,3.0
27,0.05,0.3,0.65,wikipedia,-0.4074790422894782,5.0
28,0.05,0.35,0.6,arxiv,2.0354343045002006,1.0
28,0.05,0.35,0.6,book,1.463392940791571,2.0
28,0.05,0.35,0.6,c4,-0.42352659232128415,7.0
28,0.05,0.35,0.6,commoncrawl,0.09383931806803834,4.0
28,0.05,0.35,0.6,github,-0.4217137340760073,6.0
28,0.05,0.35,0.6,stackexchange,0.14499844441220483,3.0
28,0.05,0.35,0.6,wikipedia,-0.4097410758786719,5.0
29,0.05,0.4,0.55,arxiv,2.106651775846717,1.0
29,0.05,0.4,0.55,book,1.6647539213589206,2.0
29,0.05,0.4,0.55,c4,-0.4306813747897673,7.0
29,0.05,0.4,0.55,commoncrawl,0.120981098368882,4.0
29,0.05,0.4,0.55,github,-0.3836853508277953,5.0
29,0.05,0.4,0.55,stackexchange,0.13198371189440516,3.0
29,0.05,0.4,0.55,wikipedia,-0.4090402789288288,6.0
30,0.05,0.45,0.5,arxiv,2.1752543357356293,1.0
30,0.05,0.45,0.5,book,1.883187097434124,2.0
30,0.05,0.45,0.5,c4,-0.435254255490502,7.0
30,0.05,0.45,0.5,commoncrawl,0.1450188676571593,3.0
30,0.05,0.45,0.5,github,-0.3454509015423258,5.0
30,0.05,0.45,0.5,stackexchange,0.12004543364067251,4.0
30,0.05,0.45,0.5,wikipedia,-0.40526737586973427,6.0
31,0.05,0.5,0.45,arxiv,2.2423953196414543,1.0
31,0.05,0.5,0.45,book,2.078747285529858,2.0
31,0.05,0.5,0.45,c4,-0.4435431438945209,7.0
31,0.05,0.5,0.45,commoncrawl,0.17805405203594887,3.0
31,0.05,0.5,0.45,github,-0.30311271124721195,5.0
31,0.05,0.5,0.45,stackexchange,0.10932952826013519,4.0
31,0.05,0.5,0.45,wikipedia,-0.4022012402639602,6.0
32,0.05,0.55,0.4,arxiv,2.311615276623565,1.0
32,0.05,0.55,0.4,book,2.25635488278535,2.0
32,0.05,0.55,0.4,c4,-0.4463334000170503,7.0
32,0.05,0.55,0.4,commoncrawl,0.2087403219722919,3.0
32,0.05,0.55,0.4,github,-0.26804632498316555,5.0
32,0.05,0.55,0.4,stackexchange,0.09740940092123553,4.0
32,0.05,0.55,0.4,wikipedia,-0.4049063069185378,6.0
33,0.05,0.6,0.35,arxiv,2.3859227397882194,2.0
33,0.05,0.6,0.35,book,2.4468870895979697,1.0
33,0.05,0.6,0.35,c4,-0.4464391959203098,7.0
33,0.05,0.6,0.35,commoncrawl,0.23343330111239433,3.0
33,0.05,0.6,0.35,github,-0.23229671043373798,5.0
33,0.05,0.6,0.35,stackexchange,0.08472048397275271,4.0
33,0.05,0.6,0.35,wikipedia,-0.4083280847785611,6.0
34,0.05,0.65,0.3,arxiv,2.4472851504457234,2.0
34,0.05,0.65,0.3,book,2.6374442663492865,1.0
34,0.05,0.65,0.3,c4,-0.44775812826610684,7.0
34,0.05,0.65,0.3,commoncrawl,0.26348007635977366,3.0
34,0.05,0.65,0.3,github,-0.2020103126100458,5.0
34,0.05,0.65,0.3,stackexchange,0.0706206368389482,4.0
34,0.05,0.65,0.3,wikipedia,-0.409421448336326,6.0
35,0.05,0.7,0.25,arxiv,2.5176223474002186,2.0
35,0.05,0.7,0.25,book,2.8478616415081555,1.0
35,0.05,0.7,0.25,c4,-0.4472053316441308,7.0
35,0.05,0.7,0.25,commoncrawl,0.29547403981090925,3.0
35,0.05,0.7,0.25,github,-0.17377644301467868,5.0
35,0.05,0.7,0.25,stackexchange,0.055713343397602574,4.0
35,0.05,0.7,0.25,wikipedia,-0.4072412824484143,6.0
36,0.05,0.75,0.2,arxiv,2.578616007787842,2.0
36,0.05,0.75,0.2,book,3.026520404345433,1.0
36,0.05,0.75,0.2,c4,-0.44897455584829105,7.0
36,0.05,0.75,0.2,commoncrawl,0.32419370359387667,3.0
36,0.05,0.75,0.2,github,-0.14012213951736302,5.0
36,0.05,0.75,0.2,stackexchange,0.04312973538519614,4.0
36,0.05,0.75,0.2,wikipedia,-0.40297280042269756,6.0
37,0.05,0.8,0.15,arxiv,2.6522798406819934,2.0
37,0.05,0.8,0.15,book,3.212590663910793,1.0
37,0.05,0.8,0.15,c4,-0.4553000343507263,7.0
37,0.05,0.8,0.15,commoncrawl,0.350629093191658,3.0
37,0.05,0.8,0.15,github,-0.10071949230929574,5.0
37,0.05,0.8,0.15,stackexchange,0.024400885977814965,4.0
37,0.05,0.8,0.15,wikipedia,-0.40111874550397314,6.0
38,0.05,0.85,0.1,arxiv,2.7312109988170863,2.0
38,0.05,0.85,0.1,book,3.3937961312940326,1.0
38,0.05,0.85,0.1,c4,-0.4625848787079103,7.0
