observed,predicted,residual
2.6713,2.67162834559616,0.00032834559615979586
2.6702,2.670049698862676,-0.00015030113732406036
2.6683,2.668505506994701,0.00020550699470112122
2.6669,2.6669944528856244,9.445288562437426e-05
2.6657,2.6655152906685506,-0.0001847093314495396
2.6641,2.664066840769776,-3.3159230223844816e-05
2.6625,2.6626473156561197,0.0001473156561195843
2.6611,2.661257007936552,0.00015700793655204492
2.66,2.659894227652484,-0.00010577234751618647
2.6584,2.6585580187100293,0.00015801871002940615
2.6573,2.6572474720718633,-5.2527928136925084e-05
2.656,2.6559617227797334,-3.8277220266724754e-05
2.6546,2.6546999472060047,9.994720600481344e-05
2.6538,2.653460775277876,-0.00033922472212388755
2.6523,2.6522446395982566,-5.536040174325407e-05
2.6507,2.6510502299370695,0.00035022993706945726
2.6499,2.6498768644203787,-2.3135579621413882e-05
2.6486,2.648723891543937,0.0001238915439367716
2.6477,2.6475906884317917,-0.00010931156820825905
2.6464,2.646476132449634,7.61324496343363e-05
2.6454,2.645380715503131,-1.9284496869165224e-05
2.6444,2.6443033555584305,-9.664444156953778e-05
2.6434,2.6432435291365857,-0.0001564708634145262
2.642,2.6422007343169547,0.00020073431695477595
2.6411,2.6411744895930367,7.448959303690827e-05
2.6401,2.6401643328023052,6.433280230533356e-05
2.6391,2.639169349532834,6.93495328341065e-05
2.6385,2.638190061708879,-0.00030993829112091476
2.6373,2.637225581496259,-7.441850374112491e-05
2.6361,2.6362755147070107,0.0001755147070108265
2.6355,2.6353394820752336,-0.00016051792476634574
2.6347,2.6344171185283916,-0.0002828814716084871
2.6337,2.6335076421261925,-0.00019235787380766922
2.6324,2.632611581029382,0.00021158102938212409
2.6317,2.631728172153342,2.8172153342165274e-05
2.6311,2.630857100741385,-0.00024289925861520345
2.6299,2.6299980631802344,9.806318023430904e-05
2.6292,2.629150766490727,-4.9233509272994525e-05
2.6284,2.6283149278469193,-8.507215308073413e-05
2.6274,2.6274898834935354,8.988349353522551e-05
2.6267,2.6266761559757326,-2.3844024267472008e-05
2.6254,2.625873094404688,0.00047309440468801256
2.6249,2.625080452268244,0.0001804522682440357
2.6243,2.6242979911684237,-2.0088315761945807e-06
2.6234,2.623525480476377,0.00012548047637661597
2.623,2.622762335541157,-0.000237664458843323
2.6218,2.622009067720932,0.00020906772093187698
2.6212,2.6212651017502844,6.510175028440202e-05
2.6206,2.6205302349718487,-6.976502815136953e-05
2.62,2.619804271020025,-0.0001957289799752182
2.6189,2.6190870195684774,0.00018701956847744228
2.6186,2.6183782960900164,-0.00022170390998343947
2.6177,2.617677589603204,-2.241039679606871e-05
2.6169,2.616985394412722,8.539441272237269e-05
2.6164,2.6163012060993855,-9.879390061451332e-05
2.6157,2.6156248611573427,-7.513884265719639e-05
2.6149,2.61495620084152,5.62008415201376e-05
2.6143,2.614295070988335,-4.929011665044669e-06
2.6136,2.613641321844658,4.132184465799327e-05
2.613,2.612994501303673,-5.4986963271552725e-06
2.6125,2.6123550845024273,-0.00014491549757256195
2.612,2.6117226239536793,-0.0002773760463208319
2.6109,2.6110969859875763,0.0001969859875763369
2.6108,2.6104780405985872,-0.00032195940141255264
2.6096,2.6098656613155113,0.0002656613155114229
2.6092,2.609259437641078,5.943764107785299e-05
2.6088,2.6086598276644857,-0.0001401723355143325
2.6081,2.608066424314332,-3.357568566775271e-05
2.6074,2.6074791140668747,7.911406687455269e-05
2.6069,2.606897786361798,-2.2136382020754297e-06
2.6063,2.60632233350207,2.233350206992668e-05
2.6057,2.605752650557937,5.265055793701734e-05
2.6053,2.605188367647983,-0.00011163235201738786
2.6047,2.6046299229901653,-7.007700983452381e-05
2.604,2.6040769491145292,7.694911452915676e-05
2.6037,2.603529351277535,-0.00017064872246486118
2.603,2.6029870370783086,-1.2962921691617169e-05
2.6026,2.6024499163836188,-0.00015008361638102485
2.602,2.601917648757026,-8.235124297373275e-05
2.6013,2.601390655758337,9.065575833666628e-05
2.6008,2.6008685987239977,6.859872399767042e-05
2.6005,2.6003513958989126,-0.0001486041010871908
2.5999,2.599838967462002,-6.103253799771835e-05
2.5993,2.5993312354669342,3.123546693428736e-05
2.5989,2.5988281237850708,-7.187621492921181e-05
2.5985,2.5983293213714598,-0.00017067862854025506
2.5978,2.5978352310444257,3.523104442582081e-05
4.3461,4.3464189464072644,0.00031894640726459755
3.9625,3.962531257391671,3.1257391670980184e-05
3.6458,3.64557098944484,-0.000229010555159892
3.3856,3.3852761502145228,-0.0003238497854773925
3.1777,3.1776410822499273,-5.891775007293987e-05
2.9999,2.9998645555229877,-3.544447701209208e-05
2.9109,2.9107839267506224,-0.00011607324937745744
2.8533,2.85341567247032,0.00011567247031996075
2.8125,2.812014054961261,-0.00048594503873911066
2.7799,2.7800534360772753,0.00015343607727524855
2.754,2.754274402386545,0.00027440238654508065
2.733,2.7328249131379225,-0.00017508686207756696
2.7147,2.7145590353422735,-0.0001409646577266166
2.6988,2.6987149741799157,-8.502582008418358e-05
2.6849,2.6847862138230516,-0.00011378617694823845
2.6724,2.672390533484839,-9.46651516109398e-06
2.6611,2.6612510524762985,0.00015105247629865204
2.6512,2.651157570317532,-4.2429682467926e-05
2.6418,2.641947040271373,0.00014704027137302234
2.6336,2.63349064685417,-0.00010935314583004896
2.6256,2.625681409081481,8.140908148090986e-05
2.6183,2.61844258414098,0.00014258414097989558
2.6116,2.6117009703303,0.00010097033029987657
2.6055,2.6053988220301245,-0.0001011779698756321
2.5994,2.599487575370273,8.757537027292983e-05
2.5938,2.593926031036247,0.00012603103624719836
2.5887,2.588678961194426,-2.1038805573692088e-05
2.5837,2.583713724545619,1.3724545619098194e-05
2.5789,2.5790087467036042,0.00010874670360427885
2.5745,2.5745386641925103,3.866419251030706e-05
2.5703,2.570283369873665,-1.6630126335126505e-05
2.566,2.56622514331046,0.00022514331046030733
2.5621,2.5623482939791193,0.0002482939791192962
2.5585,2.5586371370440246,0.00013713704402462668
2.555,2.5550827459050005,8.274590500034762e-05
2.5517,2.5516721454764175,-2.7854523582337976e-05
2.5486,2.548395290821077,-0.0002047091789227906
