scope,metric_a,metric_b,n,rho,p,q_bh,significant_negative,n_domain_negative,n_domain_significant_negative,n_domain_valid,arxiv_rho,arxiv_q,arxiv_replicated,github_rho,github_q,github_replicated,replicated,stable_conflict,cause_pattern
A1_pooled,modernbert_cleanliness,rps_doc_mean_word_length,51230,0.4252959790616429,0.0,0.0,False,2,1,7,0.09098875010097841,9.478035280853148e-31,False,0.30404606634239284,0.0,False,False,False,domain_specific
A1_pooled,modernbert_readability,modernbert_reasoning,51217,0.30070852124820496,0.0,0.0,False,0,0,7,0.0719506402920998,9.038193767512314e-20,False,0.2924856721371333,0.0,False,False,False,pooled_only
A1_pooled,modernbert_readability,modernbert_professionalism,51225,-0.12000474094046815,1.3180533320194586e-163,1.8123233315267555e-163,True,1,1,7,-0.43189968404704987,0.0,True,0.12780691213133835,0.0,False,True,True,domain_specific
A1_pooled,modernbert_readability,dsir_books,51230,0.28674046240051654,0.0,0.0,False,1,1,7,-0.38115865240739616,0.0,True,0.07234366621135234,4.983110450640887e-223,False,True,False,domain_specific
A1_pooled,modernbert_readability,dsir_wiki,51230,0.279286875843115,0.0,0.0,False,2,1,7,-0.3857855149405322,0.0,True,0.0737549959891397,9.422933906829442e-232,False,True,False,domain_specific
A1_pooled,modernbert_readability,dsir_math,51230,0.3087480186114628,0.0,0.0,False,2,1,7,-0.35051317193247755,0.0,True,0.07326972454346034,9.836996590597293e-229,False,True,False,domain_specific
A1_pooled,modernbert_readability,qurater,51230,0.5998698056496596,0.0,0.0,False,0,0,7,0.29032192532997286,1.259242714073446e-309,False,0.5675502569796342,0.0,False,False,False,pooled_only
A1_pooled,modernbert_readability,ad_en,51230,-0.019886954064545326,6.745732070304331e-06,7.455809130336365e-06,True,3,1,7,-0.331829536294735,0.0,True,-0.003527963749832494,0.12202989056488758,False,True,True,domain_specific
A1_pooled,modernbert_readability,rps_doc_word_count,51230,0.471110442308213,0.0,0.0,False,1,1,7,-0.054910876592487494,4.1669241597084025e-12,True,0.22762522205113314,0.0,False,True,False,domain_specific
A1_pooled,modernbert_readability,rps_doc_num_sentences,51230,0.24620587535111663,0.0,0.0,False,1,0,7,0.0002569561848729701,0.973989100784925,False,0.11021498180656637,0.0,False,False,False,pooled_only
A1_pooled,modernbert_readability,rps_doc_unigram_entropy,51230,0.482650068724424,0.0,0.0,False,1,0,7,-0.029538076387363464,0.00020509734475668878,True,0.22230977487214468,0.0,False,True,False,pooled_only
A1_pooled,modernbert_readability,rps_doc_frac_unique_words,51230,0.33601368160042205,0.0,0.0,False,1,1,7,-0.10470273965396301,3.0654730095652732e-40,True,0.21084112411012265,0.0,False,True,False,domain_specific
A1_pooled,modernbert_readability,rps_doc_frac_no_alph_words,51230,0.3786509524257635,0.0,0.0,False,1,1,7,0.5545770128042025,0.0,False,0.12773577486082702,0.0,False,False,False,domain_specific
A1_pooled,modernbert_readability,rps_doc_frac_chars_top_2gram,51230,0.09576422644878226,1.1978382876523436e-104,1.5811465397010936e-104,False,3,2,7,-0.08636912748344433,7.5420236728531895e-28,True,-0.15349834683194122,0.0,True,True,False,domain_specific
A1_pooled,modernbert_readability,rps_doc_frac_chars_top_3gram,51230,0.013046969099365247,0.003145893299747983,0.0033334924414760735,False,4,3,7,-0.023157634119046446,0.003640445882179083,True,0.17730000532507867,0.0,False,True,False,domain_specific
A1_pooled,modernbert_readability,rps_lines_uppercase_letter_fraction,51230,-0.17580179572390672,0.0,0.0,True,4,4,7,0.354673466531087,0.0,False,0.14237438769618752,0.0,False,False,False,multi_domain
A1_pooled,modernbert_readability,rps_lines_ending_with_terminal_punctution_mark,51230,0.21175139300015225,0.0,0.0,False,2,1,6,0.3209128620743767,0.0,False,0.21988202590547914,0.0,False,False,False,domain_specific
A1_pooled,modernbert_readability,rps_lines_numerical_chars_fraction,51230,0.19952627375818818,0.0,0.0,False,2,2,7,0.0029065975575569055,0.7248098507490636,False,-0.03209297788813811,2.6293889697189933e-45,True,True,False,domain_specific
A1_pooled,modernbert_readability,rps_doc_mean_word_length,51230,0.2675209162497883,0.0,0.0,False,4,3,7,-0.03226495221637905,4.970826429707703e-05,True,0.3498124302561077,0.0,False,True,False,domain_specific
A1_pooled,modernbert_reasoning,modernbert_professionalism,51212,0.5245716638356553,0.0,0.0,False,0,0,7,0.17390216709915557,3.9230877282096953e-109,False,0.5720007607018475,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,dsir_books,51217,0.5525352495349414,0.0,0.0,False,0,0,7,0.10055983225835732,3.1070747811574675e-37,False,0.5528543984124579,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,dsir_wiki,51217,0.5623352672709813,0.0,0.0,False,0,0,7,0.10060761432537399,2.8936661156221802e-37,False,0.5529883065655119,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,dsir_math,51217,0.5444503933110943,0.0,0.0,False,1,0,7,0.09777059854478032,2.786690585048578e-35,False,0.5485337757267132,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,qurater,51217,0.4968282123178216,0.0,0.0,False,0,0,7,0.153078389339687,1.1335027167509733e-84,False,0.5111142610476012,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,ad_en,51217,0.023776172479249312,7.388571717122608e-08,8.245217713310736e-08,False,4,4,7,-0.027452864456329364,0.0005617012329548015,True,-0.054715575301421654,2.5949747147900307e-128,True,True,False,multi_domain
A1_pooled,modernbert_reasoning,rps_doc_word_count,51217,0.5885860158675784,0.0,0.0,False,0,0,7,0.09423980168428285,6.982773812994395e-33,False,0.6418682502720197,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,rps_doc_num_sentences,51217,0.5369044740061075,0.0,0.0,False,0,0,7,0.07667299326580788,3.048615506431793e-22,False,0.5389403306163378,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,rps_doc_unigram_entropy,51217,0.5701856998384469,0.0,0.0,False,0,0,7,0.07442149877568886,4.80367480934044e-21,False,0.6454284855166159,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,rps_doc_frac_unique_words,51217,0.5283348293764374,0.0,0.0,False,0,0,7,0.11675810413200623,1.0381807724860993e-49,False,0.518081459834462,0.0,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,rps_doc_frac_no_alph_words,51217,-0.0437205131981595,4.206403600559224e-23,4.907470867319095e-23,True,3,2,7,-0.06454197966748422,3.410818118857425e-16,True,-0.1991348030912449,0.0,True,True,True,domain_specific
A1_pooled,modernbert_reasoning,rps_doc_frac_chars_top_2gram,51217,0.21941036429030436,0.0,0.0,False,0,0,7,0.026925272260862335,0.0007163925523490911,False,0.002858786013837906,0.21008266033579828,False,False,False,pooled_only
A1_pooled,modernbert_reasoning,rps_doc_frac_chars_top_3gram,51217,0.017595214836130964,6.827608789979311e-05,7.439517124930286e-05,False,6,3,7,0.02416943012330884,0.002410071301197954,False,0.15925443732242975,0.0,False,False,False,domain_specific
A1_pooled,modernbert_reasoning,rps_lines_uppercase_letter_fraction,51217,0.00038562512537465923,0.9304574056580884,0.9304574056580884,False,5,5,7,-0.09983433175524875,1.0132765762124092e-36,True,-0.12438979117529934,0.0,True,True,False,multi_domain
A1_pooled,modernbert_reasoning,rps_lines_ending_with_terminal_punctution_mark,51217,0.0004812697548155208,0.9132704328073122,0.917241173819518,False,3,2,6,-0.06647544888476173,4.380241846547555e-17,True,-0.07539908403599521,3.929443454613537e-242,True,True,False,domain_specific
A1_pooled,modernbert_reasoning,rps_lines_numerical_chars_fraction,51217,0.09363319143913015,4.4001683576445775e-100,5.742592602349703e-100,False,3,3,7,0.016312960729745845,0.04130216142086397,False,0.17162802502090002,0.0,False,False,False,domain_specific
A1_pooled,modernbert_reasoning,rps_doc_mean_word_length,51217,0.15885297282416905,1.2857610273438314e-286,1.9800719821095005e-286,False,4,2,7,0.04487497359736358,1.546435295243168e-08,False,0.22174544744841077,0.0,False,False,False,domain_specific
A1_pooled,modernbert_professionalism,dsir_books,51225,0.47963960249677345,0.0,0.0,False,0,0,7,0.4990157206520857,0.0,False,0.7692434546611273,0.0,False,False,False,pooled_only
A1_pooled,modernbert_professionalism,dsir_wiki,51225,0.478329927585662,0.0,0.0,False,1,0,7,0.5033748365459929,0.0,False,0.7680555928203773,0.0,False,False,False,pooled_only
