scope,metric_a,metric_b,n,rho,p,q_bh,significant_negative
A1_pooled,dsir_books,rps_lines_numerical_chars_fraction,51230,0.25107446188204174,0.0,0.0,False
A1_pooled,dsir_books,rps_doc_mean_word_length,51230,-0.06356152022034131,5.118181327310253e-47,6.390810197884694e-47,True
A1_pooled,dsir_wiki,dsir_math,51230,0.9967937032797749,0.0,0.0,False
A1_pooled,dsir_wiki,qurater,51230,0.25425899114354605,0.0,0.0,False
A1_pooled,dsir_wiki,ad_en,51230,-0.16371124057518857,1.3357696528358057e-304,2.1134437657881584e-304,True
A1_pooled,dsir_wiki,rps_doc_word_count,51230,0.8925818093423279,0.0,0.0,False
A1_pooled,dsir_wiki,rps_doc_num_sentences,51230,0.8955849297218695,0.0,0.0,False
A1_pooled,dsir_wiki,rps_doc_unigram_entropy,51230,0.807615002566721,0.0,0.0,False
A1_pooled,dsir_wiki,rps_doc_frac_unique_words,51230,0.8225918267351926,0.0,0.0,False
A1_pooled,dsir_wiki,rps_doc_frac_no_alph_words,51230,-0.17883856243243645,0.0,0.0,True
A1_pooled,dsir_wiki,rps_doc_frac_chars_top_2gram,51230,0.29340430061402173,0.0,0.0,False
A1_pooled,dsir_wiki,rps_doc_frac_chars_top_3gram,51230,0.025310041606791622,1.0074834253713264e-08,1.1297508313629922e-08,False
A1_pooled,dsir_wiki,rps_lines_uppercase_letter_fraction,51230,-0.1317489824312906,4.3962634069802024e-197,6.26874596921251e-197,True
A1_pooled,dsir_wiki,rps_lines_ending_with_terminal_punctution_mark,51230,-0.25145154621995736,0.0,0.0,True
A1_pooled,dsir_wiki,rps_lines_numerical_chars_fraction,51230,0.23825554076238467,0.0,0.0,False
A1_pooled,dsir_wiki,rps_doc_mean_word_length,51230,-0.046951838626346894,2.099341897801422e-26,2.486912709703223e-26,True
A1_pooled,dsir_math,qurater,51230,0.2639846073153818,0.0,0.0,False
A1_pooled,dsir_math,ad_en,51230,-0.17583002352433275,0.0,0.0,True
A1_pooled,dsir_math,rps_doc_word_count,51230,0.9125154770604915,0.0,0.0,False
A1_pooled,dsir_math,rps_doc_num_sentences,51230,0.8962723605571937,0.0,0.0,False
A1_pooled,dsir_math,rps_doc_unigram_entropy,51230,0.831076051208206,0.0,0.0,False
A1_pooled,dsir_math,rps_doc_frac_unique_words,51230,0.8257121160197686,0.0,0.0,False
A1_pooled,dsir_math,rps_doc_frac_no_alph_words,51230,-0.13644663523304712,2.270614953766407e-211,3.2988179516983646e-211,True
A1_pooled,dsir_math,rps_doc_frac_chars_top_2gram,51230,0.2984779756039105,0.0,0.0,False
A1_pooled,dsir_math,rps_doc_frac_chars_top_3gram,51230,0.01868889277635382,2.333605205039165e-05,2.5548000112040148e-05,False
A1_pooled,dsir_math,rps_lines_uppercase_letter_fraction,51230,-0.15101524357539667,5.499340212831415e-259,8.143253776692672e-259,True
A1_pooled,dsir_math,rps_lines_ending_with_terminal_punctution_mark,51230,-0.22607020614106163,0.0,0.0,True
A1_pooled,dsir_math,rps_lines_numerical_chars_fraction,51230,0.2427800185833012,0.0,0.0,False
A1_pooled,dsir_math,rps_doc_mean_word_length,51230,-0.028644407737571438,8.899083641443921e-11,1.007690353516444e-10,True
A1_pooled,qurater,ad_en,51230,0.07030159413276191,3.835513393348056e-57,4.841549693242627e-57,False
A1_pooled,qurater,rps_doc_word_count,51230,0.3889447160606218,0.0,0.0,False
A1_pooled,qurater,rps_doc_num_sentences,51230,0.2501469621432162,0.0,0.0,False
