budget_FLOPs,context_tokens,quality_family,Q0_scenario,minimum_cost_FLOPs,model_scope,cross_source_empirical_calibration_complete,status,N_params_B,D_tokens_B,Q_score,B_native_loss,C_train_FLOPs,C_quality_FLOPs,C_attention_FLOPs,C_total_FLOPs,budget_residual_FLOPs,budget_utilization,active_set,kkt_check_pass,kkt_relative_violation,global_lower_bound,global_upper_bound,global_gap,certificate_kind
2.5482967479793463e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.3058152906149628,10.0,0.7280298731007793,3.00471304463891,1.834891743689777e+19,5.881430612536804e+18,1.2526194303588877e+18,2.548296747979346e+19,-4096.0,0.9999999999999999,D_min;budget,True,5.745025389367449e-07,3.004712046130683,3.00471304463891,9.98508227212369e-07,floating_point_B7_reduction
2.6416483203860922e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.3154918922625508,10.0,0.7345196289842136,2.9955060751653138,1.892951353575305e+19,6.194714877400462e+18,1.2922547907074081e+18,2.641648320386092e+19,-4096.0,0.9999999999999999,D_min;budget,True,1.9326804512345816e-06,2.9955050754536257,2.9955060751653138,9.9971168809887e-07,floating_point_B7_reduction
2.7384196342643614e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.32549555290527377,10.0,0.7410249153996334,2.9863625113469117,1.9529733174316425e+19,6.521233383627188e+18,1.3332297847000013e+18,2.7384196342643614e+19,0.0,1.0,D_min;budget,True,1.1867927022396502e-06,2.986361511716416,2.9863625113469117,9.996304957127222e-07,floating_point_B7_reduction
2.838735964758755e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.33583615252323124,9.999999999999998,0.747546308240802,2.9772829999241357,2.015016915139387e+19,6.861605615458523e+18,1.375584880735155e+18,2.838735964758755e+19,0.0,1.0,D_min;budget,True,1.6370493619920005e-06,2.97728200164345,2.9772829999241357,9.982806856712045e-07,floating_point_B7_reduction
2.942727176209282e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.3465250206821784,10.0,0.7540829501104374,2.968268142036808,2.0791501240930705e+19,7.216404036447916e+18,1.4193664847142026e+18,2.9427271762092823e+19,4096.0,1.0000000000000002,D_min;budget,True,1.5179636063096274e-06,2.968267145327355,2.968268142036808,9.967094531937448e-07,floating_point_B7_reduction
3.0505278902670254e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.3575737915492765,10.0,0.7606340984685203,2.95931849469433,2.145442749295659e+19,7.586229159527832e+18,1.4646222501858365e+18,3.0505278902670262e+19,8192.0,1.0000000000000002,D_min;budget,True,5.158074113995761e-07,2.9593174978539825,2.95931849469433,9.968403476001697e-07,floating_point_B7_reduction
3.162277660168379e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.3689928138298281,10.0,0.7672008243408428,2.950434572230976,2.2139568829789688e+19,7.97181320644713e+18,1.511394565446976e+18,3.162277660168379e+19,0.0,1.0,D_min;budget,True,1.9877123364993788e-06,2.950433573259834,2.950434572230976,9.98971141807914e-07,floating_point_B7_reduction
3.2781211513934586e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.380795738477602,10.0,0.7737809582254311,2.9416168477426106,2.284774430865612e+19,8.373727860474207e+18,1.5597393448042578e+18,3.2781211513934586e+19,0.0,1.0,D_min;budget,True,1.3838871273327404e-06,2.9416158483356827,2.9416168477426106,9.994069278818074e-07,floating_point_B7_reduction
3.3982083289425592e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.39299508658169546,10.0,0.7803740909845797,2.9328657545128403,2.357970519490173e+19,8.792670219885237e+18,1.6097078746386248e+18,3.398208328942559e+19,-4096.0,0.9999999999999999,D_min;budget,True,2.427120356236006e-06,2.932864754733608,2.9328657545128403,9.997792322913313e-07,floating_point_B7_reduction
3.5226946514731012e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.40560180197846574,10.0,0.7869816962457241,2.9241816874093947,2.433610811870794e+19,9.229493415119274e+18,1.6613449809037955e+18,3.5226946514731012e+19,0.0,1.0,D_min;budget,True,1.3775389151934413e-06,2.9241806931581156,2.9241816874093947,9.942512790850344e-07,floating_point_B7_reduction
3.651741272548377e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.4186306393681645,9.999999999999998,0.793601853864873,2.915565004269647,2.5117838362089865e+19,9.684863264541897e+18,1.7147110988520015e+18,3.651741272548376e+19,-8192.0,0.9999999999999998,D_min;budget,True,2.247920225408965e-06,2.915564007960791,2.915565004269647,9.963088558606614e-07,floating_point_B7_reduction
3.7855152492586295e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.43209494746371396,10.0,0.8002344744087464,2.9070160272519914,2.592569684782284e+19,1.0159594739952087e+19,1.7698609048113725e+18,3.78551524925863e+19,8192.0,1.0000000000000002,D_min;budget,True,3.902259271108279e-06,2.9070150279882423,2.9070160272519914,9.992637490796596e-07,floating_point_B7_reduction
3.924189758484536e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.44600614250328185,9.999999999999998,0.806881420817217,2.898535044166318,2.6760368550196904e+19,1.0654687874955004e+19,1.8268411596934423e+18,3.924189758484535e+19,-8192.0,0.9999999999999998,D_min;budget,True,3.342983467014993e-06,2.8985340494402263,2.898535044166318,9.947260917186895e-07,floating_point_B7_reduction
4.067944321083047e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.4603846478989935,10.0,0.8135372658690385,2.890122309784722,2.7623078873939608e+19,1.1170628819096582e+19,1.8857355177942774e+18,4.067944321083047e+19,0.0,1.0,D_min;budget,True,2.9569647681811184e-06,2.8901213135773496,2.890122309784722,9.962073725944265e-07,floating_point_B7_reduction
4.216965034285823e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.47523796680536706,10.0,0.8202077739665021,2.881778047114,2.8514278008322023e+19,1.1708797622501423e+19,1.9465747120347832e+18,4.216965034285823e+19,0.0,1.0,D_min;budget,True,3.98072789190016e-06,2.8817770496914537,2.881778047114,9.97422546333837e-07,floating_point_B7_reduction
4.37144481261109e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.4905882997812232,10.000000000000002,0.8268871307373047,2.873502448641207,2.9435297986873397e+19,1.2269700463333616e+19,2.0094496759038907e+18,4.37144481261109e+19,0.0,1.0,D_min;budget,True,1.940954966200568e-07,2.873501453379637,2.873502448641207,9.952615700470346e-07,floating_point_B7_reduction
4.531583637600818e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.5064475368229786,10.0,0.8335781097412109,2.8652956775650327,3.0386852209378718e+19,1.2854575055802546e+19,2.0744091108269204e+18,4.531583637600819e+19,8192.0,1.0000000000000002,D_min;budget,True,1.9514503085134604e-06,2.8652946801901007,2.8652956775650327,9.973749319769354e-07,floating_point_B7_reduction
4.697588816706492e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.5228316605675707,10.0,0.8402805328369141,2.8571578689710027,3.1369899634054242e+19,1.3464470051325911e+19,2.1415184816847695e+18,4.697588816706493e+19,8192.0,1.0000000000000002,D_min;budget,True,8.330308063250296e-07,2.857156870004101,2.8571578689710027,9.989669016441383e-07,floating_point_B7_reduction
4.869675251658631e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.5397597237248,10.0,0.8469924926757812,2.8490891310033364,3.2385583423488e+19,1.410031326472153e+19,2.2108558283767808e+18,4.869675251658631e+19,0.0,1.0,D_min;budget,True,4.1547994162165e-06,2.8490881318636054,2.8490891310033364,9.9913973095056e-07,floating_point_B7_reduction
5.048065716667471e+19,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.5572456933435748,10.0,0.8537158966064453,2.841089545980994,3.3434741600614486e+19,1.476343720612494e+19,2.2824783599352822e+18,5.048065716667471e+19,0.0,1.0,D_min;budget,True,2.269521009396085e-06,2.8410885490378748,2.841089545980994,9.969431191692024e-07,floating_point_B7_reduction
