budget_FLOPs,context_tokens,quality_family,Q0_scenario,minimum_cost_FLOPs,model_scope,cross_source_empirical_calibration_complete,status,N_params_B,D_tokens_B,Q_score,B_native_loss,C_train_FLOPs,C_quality_FLOPs,C_attention_FLOPs,C_total_FLOPs,budget_residual_FLOPs,budget_utilization,active_set,kkt_check_pass,kkt_relative_violation,global_lower_bound,global_upper_bound,global_gap,certificate_kind
1e+20,131072,exponential,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.22552509449794936,10.0,0.9470193386077881,2.9593894536910836,1.3531505669876961e+19,2.7348443958052598e+19,5.912005037207044e+19,1e+20,0.0,1.0,D_min;budget,True,8.261036086189499e-08,2.9593893537471216,2.9593894536910836,9.994396199530797e-08,floating_point_B7_reduction
1e+20,131072,power,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.2070330021986703,10.0,0.9238978624343872,2.988679919405689,1.2421980131920218e+19,3.3305560539711545e+19,5.427245932836823e+19,1e+20,0.0,1.0,D_min;budget,True,4.6427646997381345e-08,2.988679819420437,2.988679919405689,9.998525163368299e-08,floating_point_B7_reduction
1e+20,131072,logarithmic,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,0.2727888271350504,10.0,1.0,2.8961072868448543,1.6367329628103025e+19,1.2122716071406318e+19,7.150995430049066e+19,1.0000000000000002e+20,16384.0,1.0000000000000002,D_min;Q1;budget,True,0.0,2.8961072124258997,2.8961072868448543,7.441895455428948e-08,floating_point_B7_reduction
1e+22,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,6.271047652351538,227.12643927201458,1.0,2.1496697720433353,8.545924342702388e+21,8.706738888357962e+20,5.8340176846181637e+20,1e+22,0.0,1.0,Q1;budget,True,0.0,2.1496696972768397,2.1496697720433353,7.476649566129367e-08,floating_point_B7_reduction
1e+22,2048,power,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,6.384209755862958,219.26107292271575,1.0,2.1510359090444138,8.398852085005088e+21,1.0277862793252302e+21,5.733616356696808e+20,1e+22,0.0,1.0,Q1;budget,True,2.603954878410134e-17,2.1510358487262753,2.1510359090444138,6.031813848395018e-08,floating_point_B7_reduction
1e+22,2048,logarithmic,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,5.8980064364443985,256.30422754304834,1.0,2.1452523714334606,9.070103902420853e+21,3.107103378405494e+20,6.19185759738597e+20,9.999999999999998e+21,-2097152.0,0.9999999999999998,Q1;budget,True,2.7422815025031626e-18,2.145252273890342,2.1452523714334606,9.754311847132158e-08,floating_point_B7_reduction
1e+22,8192,exponential,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,5.717802757993295,210.48954812949012,1.0,2.1612640378655703,7.221226312941366e+21,8.068974885381122e+20,1.9718761985205223e+21,1e+22,0.0,1.0,Q1;budget,True,2.939867855221829e-17,2.161263966864955,2.1612640378655703,7.100061516496226e-08,floating_point_B7_reduction
1e+22,8192,power,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,5.814098086168818,203.674670620439,1.0,2.162562383078324,7.105107075932153e+21,9.547250185333077e+20,1.94016790553454e+21,1e+22,0.0,1.0,Q1;budget,True,2.354801212723772e-17,2.1625623257072846,2.162562383078324,5.7371039474674035e-08,floating_point_B7_reduction
1e+22,8192,logarithmic,0.5,5.346880000000001e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,5.4018512850932945,235.43941166668955,1.0,2.157081260116185,7.630852130839897e+21,2.854165139654225e+20,2.0837313551946812e+21,1.0000000000000002e+22,2097152.0,1.0000000000000002,Q1;budget,True,4.908925136974151e-18,2.157081168041277,2.157081260116185,9.207490769824744e-08,floating_point_B7_reduction
1e+22,131072,exponential,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,2.7235637869391254,109.2043953027904,1.0,2.271227137155451,1.7845508185275905e+21,4.186276852707986e+20,7.79682149620161e+21,1e+22,0.0,1.0,Q1;budget,True,0.0,2.27122704625105,2.271227137155451,9.090440089565277e-08,floating_point_B7_reduction
1e+22,131072,power,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,2.7484373336994836,107.2653392472594,1.0,2.272062629058132,1.7688723779946493e+21,5.028062777215285e+20,7.728321344283823e+21,1.0000000000000002e+22,2097152.0,1.0000000000000002,Q1;budget,True,2.0410123382614193e-17,2.272062554852673,2.272062629058132,7.420545866665407e-08,floating_point_B7_reduction
1e+22,131072,logarithmic,0.5,2.2550080000000004e+19,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,2.6443930806366365,115.74099785722213,1.0,2.268596379400922,1.8363881632777078e+21,1.4030952548443506e+20,8.023302311237857e+21,1e+22,0.0,1.0,Q1;budget,True,9.975059682271848e-19,2.2685963225643486,2.268596379400922,5.6836573225638176e-08,floating_point_B7_reduction
1e+24,2048,exponential,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,11.970000000000002,600.0,1.0,2.0523920597927097,4.309200000000001e+22,2.3000595394172845e+21,2.9417472000000005e+21,4.83338067394173e+22,-9.516661932605826e+23,0.0483338067394173,D_max;N_max;Q1,True,0.0,2.0523920597721856,2.0523920597927097,2.0524026922430494e-11,floating_point_B7_reduction
1e+24,2048,power,0.5,4.4867200000000005e+18,B7_semi_synthetic_conditional,False,conditional_B_native_feasible,11.970000000000002,600.0,1.0,2.0523920597927097,4.309200000000001e+22,2.8125e+21,2.9417472000000005e+21,4.884624720000001e+22,-9.511537528e+23,0.04884624720000001,D_max;N_max;Q1,True,0.0,2.0523920597721856,2.0523920597927097,2.0524026922430494e-11,floating_point_B7_reduction
