rep,metric,orientation,global_rho
10,fineweb_edu,1,
10,fluency_en,1,
10,modernbert_cleanliness,1,
10,modernbert_readability,1,
10,modernbert_reasoning,1,
10,modernbert_professionalism,1,
10,dsir_books,-1,-0.30751500816996286
10,dsir_wiki,-1,-0.3080899475648604
10,dsir_math,-1,-0.3043982854603726
10,qurater,1,
10,ad_en,1,
10,rps_doc_word_count,1,0.39098384854983026
10,rps_doc_num_sentences,1,0.2840033677860455
10,rps_doc_unigram_entropy,1,0.359637777491136
10,rps_doc_frac_unique_words,-1,-0.3837564432935617
10,rps_doc_frac_no_alph_words,-1,-0.10882273981152518
10,rps_doc_frac_chars_top_2gram,-1,-0.10192528838966329
10,rps_doc_frac_chars_top_3gram,1,0.04439584862430836
10,rps_lines_uppercase_letter_fraction,1,0.02973991618724718
10,rps_lines_ending_with_terminal_punctution_mark,1,0.05751848467251504
10,rps_lines_numerical_chars_fraction,1,0.09945365781057544
10,rps_doc_mean_word_length,-1,-0.19639832904714505
11,fineweb_edu,1,
11,fluency_en,1,
11,modernbert_cleanliness,1,
11,modernbert_readability,1,
11,modernbert_reasoning,1,
11,modernbert_professionalism,1,
11,dsir_books,-1,-0.30402479454890774
11,dsir_wiki,-1,-0.3046314305277263
11,dsir_math,-1,-0.30017149358790085
11,qurater,1,
11,ad_en,1,
11,rps_doc_word_count,1,0.3837485554126356
11,rps_doc_num_sentences,1,0.27968887452740704
11,rps_doc_unigram_entropy,1,0.35330296184934956
11,rps_doc_frac_unique_words,-1,-0.3809204554619168
11,rps_doc_frac_no_alph_words,-1,-0.10475271518571184
11,rps_doc_frac_chars_top_2gram,-1,-0.09806232639313389
11,rps_doc_frac_chars_top_3gram,1,0.05019396784949103
11,rps_lines_uppercase_letter_fraction,1,0.025487260155525323
11,rps_lines_ending_with_terminal_punctution_mark,1,0.053271665591881893
11,rps_lines_numerical_chars_fraction,1,0.10222599241917772
11,rps_doc_mean_word_length,-1,-0.19704945850775876
12,fineweb_edu,1,
12,fluency_en,1,
12,modernbert_cleanliness,1,
12,modernbert_readability,1,
12,modernbert_reasoning,1,
12,modernbert_professionalism,1,
12,dsir_books,-1,-0.30571978541008465
12,dsir_wiki,-1,-0.3064394397647928
12,dsir_math,-1,-0.3018277572044608
12,qurater,1,
12,ad_en,1,
12,rps_doc_word_count,1,0.3827120590645473
12,rps_doc_num_sentences,1,0.28010308361656583
12,rps_doc_unigram_entropy,1,0.3514192977142834
12,rps_doc_frac_unique_words,-1,-0.38060438258440266
12,rps_doc_frac_no_alph_words,-1,-0.09684969392170699
12,rps_doc_frac_chars_top_2gram,-1,-0.08810366580353972
12,rps_doc_frac_chars_top_3gram,1,0.057022970386340556
12,rps_lines_uppercase_letter_fraction,1,0.027860854940237607
12,rps_lines_ending_with_terminal_punctution_mark,1,0.0431739146772826
12,rps_lines_numerical_chars_fraction,1,0.10939081407057576
12,rps_doc_mean_word_length,-1,-0.19312472810443704
13,fineweb_edu,1,
13,fluency_en,1,
13,modernbert_cleanliness,1,
13,modernbert_readability,1,
13,modernbert_reasoning,1,
13,modernbert_professionalism,1,
13,dsir_books,-1,-0.31360345917468424
13,dsir_wiki,-1,-0.313820431343269
13,dsir_math,-1,-0.3102512187034233
13,qurater,1,
13,ad_en,1,
13,rps_doc_word_count,1,0.39665632826474795
13,rps_doc_num_sentences,1,0.2858100571323217
13,rps_doc_unigram_entropy,1,0.36715095841805917
13,rps_doc_frac_unique_words,-1,-0.3866646426371653
13,rps_doc_frac_no_alph_words,-1,-0.10452236129506635
13,rps_doc_frac_chars_top_2gram,-1,-0.10224838666065393
13,rps_doc_frac_chars_top_3gram,1,0.03986574083382795
13,rps_lines_uppercase_letter_fraction,1,0.029793298469591164
13,rps_lines_ending_with_terminal_punctution_mark,1,0.045120183332774975
13,rps_lines_numerical_chars_fraction,1,0.11536986593404576
13,rps_doc_mean_word_length,-1,-0.1884507887193256
14,fineweb_edu,1,
14,fluency_en,1,
14,modernbert_cleanliness,1,
14,modernbert_readability,1,
14,modernbert_reasoning,1,
14,modernbert_professionalism,1,
14,dsir_books,-1,-0.2988409317726402
14,dsir_wiki,-1,-0.2998153681650962
14,dsir_math,-1,-0.2955604105332638
14,qurater,1,
14,ad_en,1,
14,rps_doc_word_count,1,0.3821987078528096
14,rps_doc_num_sentences,1,0.27478628774160285
14,rps_doc_unigram_entropy,1,0.3513015847227634
14,rps_doc_frac_unique_words,-1,-0.37718289339281064
14,rps_doc_frac_no_alph_words,-1,-0.1057751090955423
14,rps_doc_frac_chars_top_2gram,-1,-0.09931947685763139
14,rps_doc_frac_chars_top_3gram,1,0.04049327852432423
14,rps_lines_uppercase_letter_fraction,1,0.03839563660254182
14,rps_lines_ending_with_terminal_punctution_mark,1,0.050762438349570324
14,rps_lines_numerical_chars_fraction,1,0.10641738525601262
14,rps_doc_mean_word_length,-1,-0.19325646585979245
15,fineweb_edu,1,
15,fluency_en,1,
15,modernbert_cleanliness,1,
15,modernbert_readability,1,
15,modernbert_reasoning,1,
15,modernbert_professionalism,1,
15,dsir_books,-1,-0.3015040501979129
15,dsir_wiki,-1,-0.301896468260051
15,dsir_math,-1,-0.29805871729732425
15,qurater,1,
15,ad_en,1,
15,rps_doc_word_count,1,0.3820065827470417
15,rps_doc_num_sentences,1,0.28401052303084634
15,rps_doc_unigram_entropy,1,0.35339360943877407
