rep,domain,Q_median,rank,rank_primary_holdout
48,wikipedia,-0.30821765824042896,6,6
49,arxiv,2.712768617790758,2,2
49,book,2.9879670704504906,1,1
49,c4,-0.29590092032712717,5,5
49,commoncrawl,0.42585338816519613,3,3
49,github,-0.5068606203647346,7,7
49,stackexchange,0.26201177345066695,4,4
49,wikipedia,-0.30821765824042896,6,6
50,arxiv,2.712768617790758,2,2
50,book,2.9879670704504906,1,1
50,c4,-0.29590092032712717,5,5
50,commoncrawl,0.42585338816519613,3,3
50,github,-0.5068606203647346,7,7
50,stackexchange,0.26201177345066695,4,4
50,wikipedia,-0.30821765824042896,6,6
51,arxiv,2.712768617790758,2,2
51,book,2.9879670704504906,1,1
51,c4,-0.29590092032712717,5,5
51,commoncrawl,0.42585338816519613,3,3
51,github,-0.5068606203647346,7,7
51,stackexchange,0.26201177345066695,4,4
51,wikipedia,-0.30821765824042896,6,6
52,arxiv,2.712768617790758,2,2
52,book,2.9879670704504906,1,1
52,c4,-0.29590092032712717,5,5
52,commoncrawl,0.42585338816519613,3,3
52,github,-0.5068606203647346,7,7
52,stackexchange,0.26201177345066695,4,4
52,wikipedia,-0.30821765824042896,6,6
53,arxiv,2.712768617790758,2,2
53,book,2.9879670704504906,1,1
53,c4,-0.29590092032712717,5,5
53,commoncrawl,0.42585338816519613,3,3
53,github,-0.5068606203647346,7,7
53,stackexchange,0.26201177345066695,4,4
53,wikipedia,-0.30821765824042896,6,6
54,arxiv,2.712768617790758,2,2
54,book,2.9879670704504906,1,1
54,c4,-0.29590092032712717,5,5
54,commoncrawl,0.42585338816519613,3,3
54,github,-0.5068606203647346,7,7
54,stackexchange,0.26201177345066695,4,4
54,wikipedia,-0.30821765824042896,6,6
55,arxiv,2.712768617790758,2,2
55,book,2.9879670704504906,1,1
55,c4,-0.29590092032712717,5,5
55,commoncrawl,0.42585338816519613,3,3
55,github,-0.5068606203647346,7,7
55,stackexchange,0.26201177345066695,4,4
55,wikipedia,-0.30821765824042896,6,6
