type,resource_gate,model,origin,test_start,test_end,train_n,test_n,actual_q90,predicted_q90,gC_visible,horizon_months,forecast_window_months,target_window_months,drift_retention_assumed,developer_overlap_fraction,same_model_overlap_fraction
non_pretrained,primary,quantile_resource,2024-10-30,2024-11-01,2024-12-31,815,308,39.43323061814671,36.36213297692283,0.5514419708475456,2.0369609856262834,2,2,0.5,0.41233766233766234,0.00974025974025974
non_pretrained,primary,mean_resource,2024-10-30,2024-11-01,2024-12-31,815,308,39.43323061814671,36.167522487869654,0.5514419708475456,2.0369609856262834,2,2,0.5,0.41233766233766234,0.00974025974025974
non_pretrained,wide_ratio,constant,2024-10-30,2024-11-01,2024-12-31,815,308,39.43323061814671,33.268432085917915,0.46596707548169825,2.0369609856262834,2,2,0.0,0.41233766233766234,0.00974025974025974
non_pretrained,wide_ratio,frontier_trend,2024-10-30,2024-11-01,2024-12-31,815,308,39.43323061814671,37.085283697713244,0.46596707548169825,2.0369609856262834,2,2,1.0,0.41233766233766234,0.00974025974025974
non_pretrained,wide_ratio,quantile_resource,2024-10-30,2024-11-01,2024-12-31,815,308,39.43323061814671,36.21963770758924,0.46596707548169825,2.0369609856262834,2,2,0.5,0.41233766233766234,0.00974025974025974
non_pretrained,wide_ratio,mean_resource,2024-10-30,2024-11-01,2024-12-31,815,308,39.43323061814671,36.00471790866021,0.46596707548169825,2.0369609856262834,2,2,0.5,0.41233766233766234,0.00974025974025974
non_pretrained,primary,constant,2024-11-30,2024-12-01,2025-01-31,946,416,39.90178926021848,35.927936359933575,0.5514419708475456,2.0369609856262834,2,2,0.0,0.3701923076923077,0.0
non_pretrained,primary,frontier_trend,2024-11-30,2024-12-01,2025-01-31,946,416,39.90178926021848,39.467956905036786,0.5514419708475456,2.0369609856262834,2,2,1.0,0.3701923076923077,0.0
non_pretrained,primary,quantile_resource,2024-11-30,2024-12-01,2025-01-31,946,416,39.90178926021848,38.973200248413896,0.5514419708475456,2.0369609856262834,2,2,0.5,0.3701923076923077,0.0
non_pretrained,primary,mean_resource,2024-11-30,2024-12-01,2025-01-31,946,416,39.90178926021848,38.4444615824015,0.5514419708475456,2.0369609856262834,2,2,0.5,0.3701923076923077,0.0
non_pretrained,wide_ratio,constant,2024-11-30,2024-12-01,2025-01-31,946,416,39.90178926021848,35.927936359933575,0.46596707548169825,2.0369609856262834,2,2,0.0,0.3701923076923077,0.0
non_pretrained,wide_ratio,frontier_trend,2024-11-30,2024-12-01,2025-01-31,946,416,39.90178926021848,39.467956905036786,0.46596707548169825,2.0369609856262834,2,2,1.0,0.3701923076923077,0.0
non_pretrained,wide_ratio,quantile_resource,2024-11-30,2024-12-01,2025-01-31,946,416,39.90178926021848,38.81977106044561,0.46596707548169825,2.0369609856262834,2,2,0.5,0.3701923076923077,0.0
non_pretrained,wide_ratio,mean_resource,2024-11-30,2024-12-01,2025-01-31,946,416,39.90178926021848,38.27651400741836,0.46596707548169825,2.0369609856262834,2,2,0.5,0.3701923076923077,0.0
non_pretrained,primary,constant,2024-12-31,2025-01-01,2025-02-28,1120,404,39.891660974761905,39.43323061814671,0.5514419708475456,1.9383983572895278,2,2,0.0,0.4405940594059406,0.0
non_pretrained,primary,frontier_trend,2024-12-31,2025-01-01,2025-02-28,1120,404,39.891660974761905,43.13304001645582,0.5514419708475456,1.9383983572895278,2,2,1.0,0.4405940594059406,0.0
non_pretrained,primary,quantile_resource,2024-12-31,2025-01-01,2025-02-28,1120,404,39.891660974761905,42.207618995502,0.5514419708475456,1.9383983572895278,2,2,0.5,0.4405940594059406,0.0
non_pretrained,primary,mean_resource,2024-12-31,2025-01-01,2025-02-28,1120,404,39.891660974761905,42.000996477448545,0.5514419708475456,1.9383983572895278,2,2,0.5,0.4405940594059406,0.0
non_pretrained,wide_ratio,constant,2024-12-31,2025-01-01,2025-02-28,1120,404,39.891660974761905,39.43323061814671,0.46596707548169825,1.9383983572895278,2,2,0.0,0.4405940594059406,0.0
non_pretrained,wide_ratio,frontier_trend,2024-12-31,2025-01-01,2025-02-28,1120,404,39.891660974761905,43.13304001645582,0.46596707548169825,1.9383983572895278,2,2,1.0,0.4405940594059406,0.0
non_pretrained,wide_ratio,quantile_resource,2024-12-31,2025-01-01,2025-02-28,1120,404,39.891660974761905,42.03780007209945,0.46596707548169825,1.9383983572895278,2,2,0.5,0.4405940594059406,0.0
