coordinate_id,policy_mode,budget_FLOPs,context_tokens,coordinate_scale_assumed,coordinate_offset_assumed,upstream_loss_stress_delta_assumed,feasible_policies,all_feasible_policies_supported,best_quality_families,unique_winner,policy_score_spread
Gemma2 report,fixed_recipe,1e+22,8192,1.0,-0.1,0.05,3,True,exponential,True,0.028057705374003206
Gemma2 report,fixed_recipe,1e+22,8192,1.0,0.0,-0.05,3,True,exponential,True,0.0280577053739961
Gemma2 report,fixed_recipe,1e+22,8192,1.0,0.0,0.0,3,True,exponential,True,0.026818265127698027
Gemma2 report,fixed_recipe,1e+22,8192,1.0,0.0,0.05,3,True,exponential,True,0.02547621382010945
Gemma2 report,fixed_recipe,1e+22,8192,1.0,0.1,-0.05,3,True,exponential,True,0.025476213820105897
Gemma2 report,fixed_recipe,1e+22,8192,1.0,0.1,0.0,3,True,exponential,True,0.024060153876309442
Gemma2 report,fixed_recipe,1e+22,8192,1.0,0.1,0.05,3,True,exponential,True,0.02259759660349303
Gemma2 report,fixed_recipe,1e+22,8192,1.1,-0.1,-0.05,3,True,exponential,True,0.027889093266651344
Gemma2 report,fixed_recipe,1e+22,8192,1.1,-0.1,0.0,3,True,exponential,True,0.02616622896194798
Gemma2 report,fixed_recipe,1e+22,8192,1.1,-0.1,0.05,3,True,exponential,True,0.02438805890494322
Gemma2 report,fixed_recipe,1e+22,8192,1.1,0.0,-0.05,3,True,exponential,True,0.024713775487335
Gemma2 report,fixed_recipe,1e+22,8192,1.1,0.0,0.0,3,True,exponential,True,0.0229177099367206
Gemma2 report,fixed_recipe,1e+22,8192,1.1,0.0,0.05,3,True,exponential,True,0.021129468281042563
Gemma2 report,fixed_recipe,1e+22,8192,1.1,0.1,-0.05,3,True,exponential,True,0.021452690909050887
Gemma2 report,fixed_recipe,1e+22,8192,1.1,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+22,8192,1.1,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,0.9,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,0.9,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,0.9,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,0.9,0.0,-0.05,3,True,exponential,True,0.016049354393601334
Gemma2 report,fixed_recipe,1e+22,131072,0.9,0.0,0.0,3,True,exponential,True,0.015584813696271738
Gemma2 report,fixed_recipe,1e+22,131072,0.9,0.0,0.05,3,True,exponential,True,0.015051959206125787
Gemma2 report,fixed_recipe,1e+22,131072,0.9,0.1,-0.05,3,True,exponential,True,0.014925331169180822
Gemma2 report,fixed_recipe,1e+22,131072,0.9,0.1,0.0,3,True,exponential,True,0.014323526576713874
Gemma2 report,fixed_recipe,1e+22,131072,0.9,0.1,0.05,3,True,exponential,True,0.013677712558028077
Gemma2 report,fixed_recipe,1e+22,131072,1.0,-0.1,-0.05,3,True,exponential,True,0.016340896349944956
Gemma2 report,fixed_recipe,1e+22,131072,1.0,-0.1,0.0,3,True,exponential,True,0.015573086960838367
Gemma2 report,fixed_recipe,1e+22,131072,1.0,-0.1,0.05,3,True,exponential,True,0.01475235178547507
Gemma2 report,fixed_recipe,1e+22,131072,1.0,0.0,-0.05,3,True,exponential,True,0.01475235178547507
Gemma2 report,fixed_recipe,1e+22,131072,1.0,0.0,0.0,3,True,exponential,True,0.013895462489010413
Gemma2 report,fixed_recipe,1e+22,131072,1.0,0.0,0.05,3,True,exponential,True,0.013018276854197097
Gemma2 report,fixed_recipe,1e+22,131072,1.0,0.1,-0.05,3,True,exponential,True,0.013018276854204203
Gemma2 report,fixed_recipe,1e+22,131072,1.0,0.1,0.0,3,True,exponential,True,0.012135278070655175
Gemma2 report,fixed_recipe,1e+22,131072,1.0,0.1,0.05,3,True,exponential,True,0.011259255475490448
Gemma2 report,fixed_recipe,1e+22,131072,1.1,-0.1,-0.05,3,True,exponential,True,0.01399414385113218
Gemma2 report,fixed_recipe,1e+22,131072,1.1,-0.1,0.0,3,True,exponential,True,0.012927385938350966
Gemma2 report,fixed_recipe,1e+22,131072,1.1,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,1.1,0.0,-0.05,3,True,exponential,True,0.012065697246924856
Gemma2 report,fixed_recipe,1e+22,131072,1.1,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,1.1,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,1.1,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,1.1,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+22,131072,1.1,0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,0.9,0.1,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.0,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,1.0,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+24,2048,1.0,-0.1,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.0,0.0,-0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.0,0.0,0.0,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.0,0.0,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.0,0.1,-0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.0,0.1,0.0,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.0,0.1,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,-0.1,-0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,-0.1,0.0,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,-0.1,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,0.0,-0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,0.0,0.0,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,0.0,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,0.1,-0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,0.1,0.0,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,2048,1.1,0.1,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,0.9,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,0.9,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,0.9,-0.1,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,0.9,0.0,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,0.9,0.0,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,0.9,0.0,0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,0.9,0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,0.9,0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,0.9,0.1,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,1.0,-0.1,-0.05,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,1.0,-0.1,0.0,3,False,,,
Gemma2 report,fixed_recipe,1e+24,8192,1.0,-0.1,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,1.0,0.0,-0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,1.0,0.0,0.0,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,1.0,0.0,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,1.0,0.1,-0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,1.0,0.1,0.0,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,1.0,0.1,0.05,3,True,exponential;power;logarithmic,False,0.0
Gemma2 report,fixed_recipe,1e+24,8192,1.1,-0.1,-0.05,3,True,exponential;power;logarithmic,False,0.0
