target,domain_i,domain_j,gamma_full,fold_gamma_json,fold_min,fold_max,same_sign_fold_count,fold_count,alpha
freelaw,freelaw,github,-6.54780916283261,"[-6.040722545064381,-6.719606447464643,-6.222945771682899,-6.198581863150329,-7.384849834623062]",-7.384849834623062,-6.040722545064381,5,5,0.01
freelaw,freelaw,pile_cc,-3.307231608948535,"[-4.171774615929666,-3.3498939057786723,-3.3064462099115346,-2.4289627916986003,-3.2576636893697843]",-4.171774615929666,-2.4289627916986003,5,5,0.01
freelaw,arxiv,pubmed_central,-0.7842090859438946,"[-0.8933546641642571,-0.6345907154918831,-2.229849231476459,-0.36803920139423957,-0.03753574925706663]",-2.229849231476459,-0.03753574925706663,5,5,0.01
freelaw,arxiv,github,-4.060425300232969,"[-4.629193315070572,-3.9775750685496107,-3.856652753483247,-3.8435128066208115,-3.170525988570577]",-4.629193315070572,-3.170525988570577,5,5,0.01
freelaw,arxiv,pile_cc,-2.6086592604929555,"[-2.694957744661252,-2.20745660591247,-2.9468060466907287,-2.5301368339173735,-2.3026178602378256]",-2.9468060466907287,-2.20745660591247,5,5,0.01
freelaw,pubmed_central,github,-2.667501840796344,"[-1.7155516514453388,-2.951614242844299,-3.1881777682526695,-3.024245636206995,-2.4254135221549644]",-3.1881777682526695,-1.7155516514453388,5,5,0.01
freelaw,pubmed_central,pile_cc,-1.9424072389767495,"[-1.5324668847308942,-1.6359446986590422,-2.0183106615452813,-2.447246222073165,-2.1104907318500152]",-2.447246222073165,-1.5324668847308942,5,5,0.01
freelaw,github,pile_cc,-0.8495032594034855,"[-0.9349311898788322,-0.674939530635595,-0.5504136820875531,-1.1610515376117374,-0.9080314647394893]",-1.1610515376117374,-0.5504136820875531,5,5,0.01
pubmed_central,freelaw,arxiv,-1.1648763085748455,"[-1.115102805653969,-1.3837874795954221,-0.9949139142269732,-0.7027615834852529,-1.3357365664130734]",-1.3837874795954221,-0.7027615834852529,5,5,0.01
pubmed_central,freelaw,pubmed_central,-6.629738839579291,"[-5.848173599859973,-7.576118705684809,-6.3192303236354945,-6.446378902243056,-6.15102825117285]",-7.576118705684809,-5.848173599859973,5,5,0.01
pubmed_central,freelaw,github,-1.8814381975805066,"[-1.7184081992513447,-2.5615737500151337,-1.2187439157894355,-0.7918996782608277,-4.0998088044138115]",-4.0998088044138115,-0.7918996782608277,5,5,0.01
pubmed_central,freelaw,pile_cc,-1.9551822193218384,"[-4.856066356639166,-2.4244388259191196,-0.2653399966669274,-0.9581419925180137,-1.9402681023480122]",-4.856066356639166,-0.2653399966669274,5,5,0.01
pubmed_central,arxiv,pubmed_central,-4.055768640741156,"[-4.021403810240639,-4.282160437796331,-4.610871084156646,-3.5573362388484275,-3.4218990628263404]",-4.610871084156646,-3.4218990628263404,5,5,0.01
pubmed_central,arxiv,github,-4.520797953546275,"[-4.922128173622978,-4.294173662432584,-4.307742893367257,-4.025698535482393,-4.48720095818342]",-4.922128173622978,-4.025698535482393,5,5,0.01
pubmed_central,arxiv,pile_cc,-2.336381974491756,"[-1.587201242129898,-2.0826267882203777,-2.820109830120024,-2.446775719298319,-2.3274333805948593]",-2.820109830120024,-1.587201242129898,5,5,0.01
pubmed_central,pubmed_central,github,-6.377519628856951,"[-5.820596879791004,-5.9875807608879565,-6.430342093220832,-8.645264836476201,-5.244067029350493]",-8.645264836476201,-5.244067029350493,5,5,0.01
pubmed_central,pubmed_central,pile_cc,-6.106033135354223,"[-5.715079740806921,-6.161863205026739,-5.569891791909533,-7.149982857775847,-5.459857426005361]",-7.149982857775847,-5.459857426005361,5,5,0.01
pubmed_central,github,pile_cc,-0.2270198390472547,"[-0.39732012049396687,-1.2026704538838078,-0.2172434513409039,-0.46052407398299644,1.040919351662216]",-1.2026704538838078,1.040919351662216,4,5,0.01
wikipedia_en,freelaw,arxiv,-0.0364601748157183,"[-0.023872282803657822,0.027925488743597255,-0.31817948395482465,0.295271737975366,-0.09377333368329889]",-0.31817948395482465,0.295271737975366,3,5,0.1
wikipedia_en,freelaw,pubmed_central,-0.2564583378697045,"[-0.2473820570382867,-0.30033570198137616,-0.14594359070886317,-0.2549220005399545,-0.19437174540072397]",-0.30033570198137616,-0.14594359070886317,5,5,0.1
wikipedia_en,freelaw,github,-0.3279391759318555,"[-0.22812277822694232,-0.5903717685137074,-0.07773834794624018,-0.08880541997423105,-0.526856747512027]",-0.5903717685137074,-0.07773834794624018,5,5,0.1
wikipedia_en,freelaw,pile_cc,-1.0599743777663484,"[-1.141449897191849,-0.9708211879565172,-0.8330889196299583,-0.8852454335458847,-0.923687211749571]",-1.141449897191849,-0.8330889196299583,5,5,0.1
wikipedia_en,arxiv,pubmed_central,-0.12548074088820854,"[-0.049526441864516414,-0.15804235731462027,-0.5314881608071651,0.09149652933845427,0.0731669871692597]",-0.5314881608071651,0.09149652933845427,3,5,0.1
wikipedia_en,arxiv,github,-0.46731279065293874,"[-0.22382926604620323,-0.8351127708124947,-0.25108501009873824,-0.37464615854524963,-0.3663593577010413]",-0.8351127708124947,-0.22382926604620323,5,5,0.1
wikipedia_en,arxiv,pile_cc,-1.046057520546807,"[-0.9962015268676963,-0.8769974811520713,-1.06416786258072,-0.9179295653745426,-0.8698051236375464]",-1.06416786258072,-0.8698051236375464,5,5,0.1
wikipedia_en,pubmed_central,github,-1.2939441622203263,"[-1.2337539789754057,-1.1406269467924353,-0.9587532856345116,-1.1595994812120032,-1.265875524772579]",-1.265875524772579,-0.9587532856345116,5,5,0.1
wikipedia_en,pubmed_central,pile_cc,-1.0497858396170534,"[-0.724627335798495,-1.010454974883883,-0.9091310331958157,-1.2592423697614699,-0.9205551284983153]",-1.2592423697614699,-0.724627335798495,5,5,0.1
wikipedia_en,github,pile_cc,-1.0305380157647521,"[-0.8673235026718507,-1.1605256763113425,-0.8166951185496546,-0.7536242105221692,-1.1539360583827958]",-1.1605256763113425,-0.7536242105221692,5,5,0.1
dm_mathematics,freelaw,arxiv,-3.47799603058849,"[-2.8169311816817664,-3.425708246526163,-3.1811580562028987,-2.2642291198712807,-4.0874197927781]",-4.0874197927781,-2.2642291198712807,5,5,0.1
dm_mathematics,freelaw,pubmed_central,-3.235711488545686,"[-3.463955656021095,-0.9651223761388464,-2.632874159194852,-4.680008088588875,-2.7612561113260146]",-4.680008088588875,-0.9651223761388464,5,5,0.1
dm_mathematics,freelaw,github,0.7102307119054898,"[0.8934112217756854,0.8021168213171107,1.0581957918383411,1.0950405440352615,-1.1094822022382969]",-1.1094822022382969,1.0950405440352615,4,5,0.1
dm_mathematics,freelaw,pile_cc,-1.4255576603664541,"[-2.3404904356696585,-2.258457124217925,-0.11447011585619252,-0.20348821194718095,-1.5404578706670256]",-2.3404904356696585,-0.11447011585619252,5,5,0.1
dm_mathematics,arxiv,pubmed_central,-0.4543669484349372,"[-0.7670234196348145,-0.12824316307607972,-0.6970133344838124,-0.4006074076749967,-0.1139265432849073]",-0.7670234196348145,-0.1139265432849073,5,5,0.1
dm_mathematics,arxiv,github,-2.5217378566944917,"[-4.314709958174788,-3.2119221049907827,-1.2740382867749078,-1.8086219663926686,-0.1822392590958269]",-4.314709958174788,-0.1822392590958269,5,5,0.1
dm_mathematics,arxiv,pile_cc,-2.82743424338472,"[-2.5739646526836757,-1.7412976458460396,-3.159496668635825,-2.289624241350146,-2.6636273361117286]",-3.159496668635825,-1.7412976458460396,5,5,0.1
dm_mathematics,pubmed_central,github,0.8829562235401491,"[1.4453255749219427,2.2570526330155367,0.7651760509122598,-0.9463597433385598,0.7574986870765391]",-0.9463597433385598,2.2570526330155367,4,5,0.1
dm_mathematics,pubmed_central,pile_cc,0.12856500199597104,"[1.441406572421718,1.0277916117815482,0.04775151588608975,-1.204371577540577,-0.4993865571175478]",-1.204371577540577,1.441406572421718,3,5,0.1
