scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
mixture_lambda_0,0.5,1.0,0.0,2.5118864315095718e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.3103800901771088,18.39411068703267,0.9433218962823675,2.583256189789566,2.5118864315095718e+20
mixture_lambda_0,0.5,1.0,0.0,2.585234839562199e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.3235700694261958,18.792581014298563,0.9433218962823675,2.5788225970330387,2.585234839562199e+20
mixture_lambda_0,0.5,1.0,0.0,2.660725059798814e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.336916696493295,19.19905547940469,0.9433218962823675,2.574415353794937,2.6607250597988142e+20
mixture_lambda_0,0.5,1.0,0.0,2.7384196342643612e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.3504220493252412,19.61367989587596,0.9433218962823675,2.5700342627161814,2.7384196342643612e+20
mixture_lambda_0,0.5,1.0,0.0,2.818382931264449e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.3640882347482721,20.03660242579371,0.9433218962823675,2.565679128066768,2.818382931264449e+20
mixture_lambda_0,0.5,1.0,0.0,2.9006811986931443e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.3779173888664042,20.467973612940465,0.9433218962823675,2.5613497557331937,2.9006811986931443e+20
mixture_lambda_0,0.5,1.0,0.0,2.9853826189179696e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.3919116774650866,20.90794641639641,0.9433218962823675,2.5570459532059715,2.9853826189179696e+20
mixture_lambda_0,0.5,1.0,0.0,3.072557365267452e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.4060732964201796,21.35667624459484,0.9433218962823675,2.552767529567252,3.072557365267452e+20
mixture_lambda_0,0.5,1.0,0.0,3.1622776601683794e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.4204044721123845,21.814320989846795,0.9433218962823675,2.5485142954785123,3.1622776601683794e+20
mixture_lambda_0,0.5,1.0,0.0,3.254617834980453e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.4349074618471218,22.2810410633405,0.9433218962823675,2.544286063168356,3.254617834980454e+20
mixture_lambda_0,0.5,1.0,0.0,3.3496543915782655e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.4495845542799868,22.756999430626273,0.9433218962823675,2.540082646420393,3.3496543915782655e+20
mixture_lambda_0,0.5,1.0,0.0,3.4474660657315054e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.464438069847835,23.242361647594834,0.9433218962823675,2.5359038605612048,3.4474660657315054e+20
mixture_lambda_0,0.5,1.0,0.0,3.54813389233576e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.479470361205552,23.73729589695725,0.9433218962823675,2.5317495224484086,3.54813389233576e+20
mixture_lambda_0,0.5,1.0,0.0,3.651741272548377e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.4946838136686456,24.24197302523777,0.9433218962823675,2.5276194504587886,3.651741272548377e+20
mixture_lambda_0,0.5,1.0,0.0,3.7583740428844355e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.510080845661651,24.756566580285924,0.9433218962823675,2.5235134644765336,3.758374042884436e+20
mixture_lambda_0,0.5,1.0,0.0,3.868120546330509e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.5256639091724966,25.28125284931954,0.9433218962823675,2.5194313858815427,3.868120546330509e+20
mixture_lambda_0,0.5,1.0,0.0,3.9810717055349857e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.5414354902128726,25.81621089750768,0.9433218962823675,2.515373037537825,3.9810717055349857e+20
mixture_lambda_0,0.5,1.0,0.0,4.0973210981354216e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.5573981092846847,26.3616226071024,0.9433218962823675,2.5113382437819785,4.0973210981354216e+20
mixture_lambda_0,0.5,1.0,0.0,4.216965034285823e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.5735543218527124,26.91767271713198,0.9433218962823675,2.507326830411748,4.216965034285822e+20
mixture_lambda_0,0.5,1.0,0.0,4.3401026364474314e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.5899067188234934,27.484548863662468,0.9433218962823675,2.503338624674669,4.340102636447432e+20
mixture_lambda_0,0.5,1.0,0.0,4.466835921509617e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.60645792703056,28.062441620640676,0.9433218962823675,2.4993734552567908,4.4668359215096175e+20
mixture_lambda_0,0.5,1.0,0.0,4.5972698853087366e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.623210609726109,28.651544541328143,0.9433218962823675,2.4954311522714745,4.5972698853087366e+20
mixture_lambda_0,0.5,1.0,0.0,4.7315125896148124e+20,8192,power,conditional_v8_fixed_policy_feasible,87,87,88,1.6401674670791553,29.252054200336453,0.9433218962823675,2.4915115472482814,4.731512589614813e+20
