scenario,mode,quality_policy,selected_index,objective_relative,n_feasible,quality_covered_mass,quality_slack,unknown_QA_mass,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
only_freelaw,weighted,quality_direct,78,-0.2877453057503021,91,0.471,0.8653014373584331,0.49100000000000005,0.471,0.401,0.0,0.079,0.007,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.003,0.002,0.0,0.005,0.001
only_freelaw,weighted,quality_direct_and_near,76,-0.2573718705345064,108,0.5845845845845845,1.1167809829981947,0.4154154154154153,0.5615615615615616,0.37837837837837834,0.0,0.0,0.0,0.025025025025025023,0.0,0.0,0.0,0.0,0.02202202202202202,0.001001001001001001,0.0,0.0,0.0,0.01101101101101101,0.001001001001001001
only_pubmed_central,weighted,unconstrained,382,-0.3602628954956206,512,,,0.995995995995996,0.0,0.2802802802802803,0.0,0.7127127127127126,0.0,0.0,0.0,0.0,0.0,0.0,0.004004004004004004,0.0,0.0,0.0,0.003003003003003003,0.0,0.0
only_pubmed_central,weighted,quality_direct,26,-0.23212593750959654,91,0.38338338338338335,0.6889613296948616,0.5635635635635636,0.37737737737737737,0.003003003003003003,0.002002002002002002,0.5145145145145146,0.05205205205205205,0.0,0.001001001001001001,0.0,0.005005005005005005,0.0,0.0,0.001001001001001001,0.02002002002002002,0.0,0.0,0.014014014014014014,0.01001001001001001
only_pubmed_central,weighted,quality_direct_and_near,307,-0.19226593638780365,108,0.6020000000000001,1.0576009872247185,0.398,0.55,0.0,0.008,0.388,0.021,0.0,0.01,0.0,0.0,0.0,0.021,0.0,0.002,0.0,0.0,0.0,0.0
only_wikipedia_en,weighted,unconstrained,171,-0.2921572267900199,512,,,0.13813813813813813,0.0,0.0,0.0,0.0,0.7087087087087087,0.0,0.0,0.0,0.0,0.0,0.0,0.15315315315315314,0.1081081081081081,0.0,0.0,0.0,0.03003003003003003
only_wikipedia_en,weighted,quality_direct,399,-0.13063856208096236,91,0.37462537462537465,0.6760730750737038,0.18381618381618386,0.36963036963036966,0.0,0.0,0.1288711288711289,0.4255744255744256,0.0,0.0,0.0,0.004995004995004996,0.0029970029970029974,0.015984015984015987,0.0,0.0,0.0,0.0,0.05194805194805195,0.0
only_wikipedia_en,weighted,quality_direct_and_near,302,-0.15941443481891537,108,0.8398398398398398,0.08320776248056298,0.16016016016016016,0.013013013013013013,0.0,0.0,0.022022022022022022,0.3843843843843844,0.0,0.0,0.0,0.1081081081081081,0.0,0.2602602602602603,0.07407407407407407,0.0,0.08308308308308308,0.0,0.0,0.055055055055055056
only_dm_mathematics,weighted,unconstrained,136,-1.0279422380219967,512,,,0.5685685685685684,0.0,0.018018018018018018,0.05405405405405405,0.05905905905905905,0.0,0.22522522522522523,0.15915915915915915,0.008008008008008008,0.0,0.0,0.0850850850850851,0.1871871871871872,0.16216216216216217,0.0,0.03903903903903904,0.001001001001001001,0.002002002002002002
only_dm_mathematics,weighted,quality_direct,318,-0.6410835069372125,91,0.74,1.3594969504145233,0.232,0.74,0.0,0.0,0.007,0.0,0.21,0.0,0.0,0.0,0.003,0.025,0.003,0.0,0.0,0.009,0.003,0.0
only_dm_mathematics,weighted,quality_direct_and_near,68,-0.8557977978789371,108,0.67,0.09060019115846152,0.33,0.0,0.003,0.019,0.0,0.0,0.221,0.005,0.0,0.082,0.021,0.138,0.445,0.0,0.0,0.0,0.066,0.0
only_github,weighted,unconstrained,423,-0.37534308163366736,512,,,0.224,0.0,0.062,0.0,0.095,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.006,0.0,0.067,0.0,0.0,0.0
only_github,weighted,quality_direct,437,-0.3273287484490195,91,0.754,0.39712646189488104,0.154,0.442,0.017,0.0,0.117,0.047,0.001,0.309,0.019,0.003,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0
only_github,weighted,quality_direct_and_near,437,-0.3273287484490195,108,0.846,0.4941641472658427,0.154,0.442,0.017,0.0,0.117,0.047,0.001,0.309,0.019,0.003,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0
only_stackexchange,weighted,unconstrained,389,-0.4203632976656998,512,,,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
only_stackexchange,weighted,quality_direct,183,-0.1558797232883682,91,0.7382617382617381,0.12927070146198566,0.02697302697302697,0.23476523476523473,0.0,0.0,0.0,0.000999000999000999,0.022977022977022973,0.0,0.0,0.5034965034965034,0.001998001998001998,0.0,0.23376623376623376,0.0,0.000999000999000999,0.000999000999000999,0.0,0.0
only_stackexchange,weighted,quality_direct_and_near,356,-0.18935059319473568,108,0.7052947052947052,0.018430082064554897,0.2947052947052947,0.14685314685314685,0.0,0.003996003996003997,0.0029970029970029974,0.016983016983016987,0.02197802197802198,0.02497502497502498,0.0,0.47052947052947053,0.0009990009990009992,0.02197802197802198,0.02397602397602398,0.13486513486513488,0.04595404595404596,0.0,0.0,0.08391608391608393
