budget_FLOPs,context_tokens,quality_family,Q0_scenario,minimum_cost_FLOPs,model_scope,cross_source_empirical_calibration_complete,status,N_params_B,D_tokens_B,Q_score,C_train_FLOPs,C_quality_FLOPs,C_attention_FLOPs,C_total_FLOPs,budget_residual_FLOPs,budget_utilization,active_set,kkt_check_pass,kkt_relative_violation,global_lower_bound,global_upper_bound,global_gap,certificate_kind,recipe_index,p_policy,v8_NDQ_native_loss,conditional_bridge_loss,bridge_factor
1e+22,131072,power,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,2.57458164761317,114.12124531779477,1.0,1.762886782787729e+21,5.3494333742716296e+20,7.702169879785107e+21,1e+22,0.0,1.0,Q1;budget,True,2.1502962256272938e-17,2.275845652546956,2.2758457328339454,8.028698950113267e-08,floating_point_B7_reduction,172,observed_512,2.2758457328339454,2.127569549847081,0.9348478761773423
1e+22,131072,logarithmic,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,2.4582937277680776,124.3707940508769,1.0,1.834439657596836e+21,1.5077118238541303e+20,8.01478916001775e+21,9.999999999999998e+21,-2097152.0,0.9999999999999998,Q1;budget,True,1.0599649635472993e-18,2.272076491990231,2.272076554117757,6.212752623468987e-08,floating_point_B7_reduction,172,observed_512,2.272076554117757,2.1240459411293195,0.9348478761773423
1e+24,2048,exponential,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,1.1496195924241128e+21,1.4698361473945601e+21,2.4150258680168677e+22,-9.758497413198313e+23,0.024150258680168676,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
1e+24,2048,power,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,1.4057484375e+21,1.4698361473945601e+21,2.4406387525244567e+22,-9.755936124747554e+23,0.024406387525244568,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
1e+24,2048,logarithmic,0.5,4.5214600319999995e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,3.6355176908022546e+20,1.4698361473945601e+21,2.336419085682479e+22,-9.766358091431752e+23,0.02336419085682479,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
1e+24,8192,exponential,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,1.1496195924241128e+21,5.879344589578241e+21,2.8559767122352355e+22,-9.714402328776476e+23,0.028559767122352357,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
1e+24,8192,power,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,1.4057484375e+21,5.879344589578241e+21,2.8815895967428245e+22,-9.711841040325718e+23,0.028815895967428246,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
1e+24,8192,logarithmic,0.5,5.388280127999999e+18,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,3.6355176908022546e+20,5.879344589578241e+21,2.777369929900847e+22,-9.722263007009916e+23,0.02777369929900847,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
1e+24,131072,exponential,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,1.1496195924241128e+21,9.406951343325185e+22,1.1674993596602597e+23,-8.832500640339741e+23,0.11674993596602598,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
1e+24,131072,power,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,1.4057484375e+21,9.406951343325185e+22,1.1700606481110185e+23,-8.829939351888982e+23,0.11700606481110186,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
1e+24,131072,logarithmic,0.5,2.2724682047999996e+19,CYJ_v8_native_QB_sensitivity,False,conditional_v8_native_Q_sensitivity_feasible,11.965825,299.893,1.0,2.1530802940350004e+22,3.6355176908022546e+20,9.406951343325185e+22,1.1596386814268208e+23,-8.84036131857318e+23,0.11596386814268209,D_max;N_max;Q1,True,0.0,2.093384524574713,2.093384524595647,2.0933921263122102e-11,floating_point_B7_reduction,172,observed_512,2.093384524595647,1.956996076840756,0.9348478761773423
