budget_FLOPs,context_tokens,quality_family,Q0_scenario,eligible_observed_recipes,feasible_observed_recipes,candidate_set,cross_source_empirical_calibration_complete,claim_scope,status,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,Q_A_mapped,mapped_coverage,B1_backbone_loss,v8_NDQ_proxy_loss,conditional_bridge_loss,Q1_weighted_effect,bridge_factor,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_total_FLOPs,budget_utilization,active_set,fixed_p_convex_gap,fixed_Q2_recipe_172_status,fixed_Q2_recipe_172_loss,fixed_policy_regret
1e+22,8192,power,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,6.660655431364221,193.8735311891349,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.1595711163108247,2.240387131039481,2.094421151267308,-0.06737146220598264,0.9348478761773423,7.747948731076033e+21,2.115706533499162e+21,1.363447354248054e+20,1e+22,1.0,budget,0.0,conditional_v8_fixed_policy_feasible,2.094421151267308,0.0
1e+22,8192,logarithmic,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,6.624569551985024,195.68106406170244,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.1591779403964284,2.240057437276611,2.0941129377533003,-0.06737146220598264,0.9348478761773423,7.777816913299109e+21,2.1238625384582102e+21,9.832054824267956e+19,1e+22,1.0,budget,0.0,conditional_v8_fixed_policy_feasible,2.0941129377533003,0.0
1e+22,131072,exponential,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,3.199313927343033,96.68870141198036,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.2732141009822535,2.3721785523353134,2.2176260815641102,-0.06737146220598264,0.9348478761773423,1.8560250542643644e+21,8.109097197084626e+21,3.4877748651009425e+19,1e+22,1.0,budget,0.0,conditional_v8_fixed_policy_feasible,2.2176260815641102,0.0
1e+22,131072,power,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,3.213619683761294,95.94341980261542,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.273600817617065,2.372513705791497,2.2179393990608167,-0.06737146220598264,0.9348478761773423,1.8499539744303483e+21,8.082572244551153e+21,6.747378101849803e+19,1e+22,1.0,budget,0.0,conditional_v8_fixed_policy_feasible,2.2179393990608167,0.0
1e+22,131072,logarithmic,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,3.2052463047632447,96.37853824588281,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.2733744150660162,2.372317456157099,2.2177559355068994,-0.06737146220598264,0.9348478761773423,1.8535017214265933e+21,8.098072587694214e+21,4.842569087919143e+19,1.0000000000000002e+22,1.0000000000000002,budget,0.0,conditional_v8_fixed_policy_feasible,2.2177559355068994,0.0
1e+24,2048,exponential,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,1.46983614739456e+21,1.0817802414813648e+20,2.3108817111892697e+22,0.023108817111892697,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
1e+24,2048,power,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,1.46983614739456e+21,2.1090466290038188e+20,2.3211543750644943e+22,0.023211543750644943,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
1e+24,2048,logarithmic,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,1.46983614739456e+21,1.5068215371541748e+20,2.315132124145998e+22,0.02315132124145998,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
1e+24,8192,exponential,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,5.87934458957824e+21,1.0817802414813648e+20,2.7518325554076375e+22,0.027518325554076375,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
1e+24,8192,power,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,5.87934458957824e+21,2.1090466290038188e+20,2.762105219282862e+22,0.02762105219282862,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
1e+24,8192,logarithmic,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,5.87934458957824e+21,1.5068215371541748e+20,2.7560829683643657e+22,0.027560829683643658,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
1e+24,131072,exponential,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,9.406951343325183e+22,1.0817802414813648e+20,1.1570849439774997e+23,0.11570849439774997,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
1e+24,131072,power,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,9.406951343325183e+22,2.1090466290038188e+20,1.1581122103650222e+23,0.11581122103650222,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
1e+24,131072,logarithmic,0.5,87,87,A4_observed_512_Q1_direct_and_near_Qproxy_at_least_Q0,False,conditional_finite_recipe_optimum_not_continuous_hull_or_empirical_bridge,conditional_v8_fixed_policy_feasible,172,11.965825,299.893,0.6713607648391644,1.6754490814383751,0.5814185814185814,2.093384524595647,2.1602893513304946,2.0195419120198412,-0.06737146220598264,0.9348478761773423,2.1530802940349996e+22,9.406951343325183e+22,1.5068215371541748e+20,1.1575099852731725e+23,0.11575099852731725,N_max;D_max,0.0,conditional_v8_fixed_policy_feasible,2.0195419120198412,0.0
