scenario,Q0,quality_bridge_scale,mixture_bridge_lambda,budget_FLOPs,context_tokens,quality_family,status,eligible_observed_recipes,feasible_observed_recipes,recipe_index,N_params_B,D_tokens_B,Q_B_proxy,conditional_bridge_loss,C_total_FLOPs
Q0_0p45,0.45,1.0,1.0,1e+24,2048,power,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.324377287648869e+22
Q0_0p45,0.45,1.0,1.0,1e+24,2048,logarithmic,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.320350944721908e+22
Q0_0p45,0.45,1.0,1.0,1e+24,8192,exponential,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.753393739945976e+22
Q0_0p45,0.45,1.0,1.0,1e+24,8192,power,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.765328131867237e+22
Q0_0p45,0.45,1.0,1.0,1e+24,8192,logarithmic,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.761301788940276e+22
Q0_0p45,0.45,1.0,1.0,1e+24,131072,exponential,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1572410624313335e+23
Q0_0p45,0.45,1.0,1.0,1e+24,131072,power,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1584345016234597e+23
Q0_0p45,0.45,1.0,1.0,1e+24,131072,logarithmic,conditional_v8_fixed_policy_feasible,101,101,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1580318673307636e+23
Q0_0p55,0.55,1.0,1.0,1e+19,2048,exponential,conditional_v8_fixed_policy_feasible,82,44,172,0.11070097176248024,10.0,0.6713607648391644,3.0538227360172376,1e+19
Q0_0p55,0.55,1.0,1.0,1e+19,2048,power,conditional_v8_fixed_policy_feasible,82,25,477,0.12662600935389975,10.0,0.5995154272811548,3.103589453420075,1e+19
Q0_0p55,0.55,1.0,1.0,1e+19,2048,logarithmic,conditional_v8_fixed_policy_feasible,82,47,172,0.10260115473244771,10.000000000000002,0.6713607648391644,3.0735506883586283,1e+19
Q0_0p55,0.55,1.0,1.0,1e+19,8192,exponential,conditional_v8_fixed_policy_feasible,82,41,172,0.09289235292846583,10.0,0.6713607648391644,3.1000855513357446,1e+19
Q0_0p55,0.55,1.0,1.0,1e+19,8192,power,conditional_v8_fixed_policy_feasible,82,23,477,0.10625550763965697,10.000000000000002,0.5995154272811548,3.1493572516721278,1.0000000000000002e+19
Q0_0p55,0.55,1.0,1.0,1e+19,8192,logarithmic,conditional_v8_fixed_policy_feasible,82,41,172,0.0860955646958914,10.000000000000002,0.6713607648391644,3.12093801172867,1e+19
Q0_0p55,0.55,1.0,1.0,1e+19,131072,exponential,infeasible_within_v8_support,82,0,,,,,,
Q0_0p55,0.55,1.0,1.0,1e+19,131072,power,infeasible_within_v8_support,82,0,,,,,,
Q0_0p55,0.55,1.0,1.0,1e+19,131072,logarithmic,infeasible_within_v8_support,82,0,,,,,,
Q0_0p55,0.55,1.0,1.0,1e+22,2048,exponential,conditional_v8_fixed_policy_feasible,82,82,172,7.202376738668771,215.2629851950776,0.6713607648391644,2.08025278475557,1e+22
Q0_0p55,0.55,1.0,1.0,1e+22,2048,power,conditional_v8_fixed_policy_feasible,82,82,172,7.2603667171360335,212.34000504647665,0.6713607648391644,2.080692984780757,1.0000000000000002e+22
Q0_0p55,0.55,1.0,1.0,1e+22,2048,logarithmic,conditional_v8_fixed_policy_feasible,82,82,172,7.213680368264749,214.6882240649655,0.6713607648391644,2.0803384760970176,1e+22
Q0_0p55,0.55,1.0,1.0,1e+22,8192,exponential,conditional_v8_fixed_policy_feasible,82,82,172,6.586113663451004,197.6369668151619,0.6713607648391644,2.0937852401436676,1e+22
Q0_0p55,0.55,1.0,1.0,1e+22,8192,power,conditional_v8_fixed_policy_feasible,82,82,172,6.634626309047314,195.17463990379414,0.6713607648391644,2.09419876515113,1.0000000000000002e+22
Q0_0p55,0.55,1.0,1.0,1e+22,8192,logarithmic,conditional_v8_fixed_policy_feasible,82,82,172,6.595565754802838,197.15335359259657,0.6713607648391644,2.0938657114727524,1e+22
Q0_0p55,0.55,1.0,1.0,1e+22,131072,exponential,conditional_v8_fixed_policy_feasible,82,82,172,3.196365626399461,96.84343483630194,0.6713607648391644,2.217561585461242,1e+22
Q0_0p55,0.55,1.0,1.0,1e+22,131072,power,conditional_v8_fixed_policy_feasible,82,82,172,3.2075760123199664,96.25716358049799,0.6713607648391644,2.217806959286382,1e+22
Q0_0p55,0.55,1.0,1.0,1e+22,131072,logarithmic,conditional_v8_fixed_policy_feasible,82,82,172,3.198544295252399,96.72905572995016,0.6713607648391644,2.2176092428088174,1e+22
Q0_0p55,0.55,1.0,1.0,1e+24,2048,exponential,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3087743324899424e+22
Q0_0p55,0.55,1.0,1.0,1e+24,2048,power,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3168049893988693e+22
Q0_0p55,0.55,1.0,1.0,1e+24,2048,logarithmic,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.3103312745995298e+22
Q0_0p55,0.55,1.0,1.0,1e+24,8192,exponential,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.7497251767083103e+22
Q0_0p55,0.55,1.0,1.0,1e+24,8192,power,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.757755833617237e+22
Q0_0p55,0.55,1.0,1.0,1e+24,8192,logarithmic,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,2.7512821188178976e+22
Q0_0p55,0.55,1.0,1.0,1e+24,131072,exponential,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.156874206107567e+23
Q0_0p55,0.55,1.0,1.0,1e+24,131072,power,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1576772717984596e+23
Q0_0p55,0.55,1.0,1.0,1e+24,131072,logarithmic,conditional_v8_fixed_policy_feasible,82,82,172,11.965825,299.893,0.6713607648391644,2.0195419120198412,1.1570299003185257e+23
Q0_0p60,0.6,1.0,1.0,1e+19,2048,exponential,conditional_v8_fixed_policy_feasible,73,37,172,0.12550001620054205,10.0,0.6713607648391644,3.022261534442204,1e+19
Q0_0p60,0.6,1.0,1.0,1e+19,2048,power,conditional_v8_fixed_policy_feasible,73,26,172,0.09863854613783904,10.0,0.6713607648391644,3.0839646413739343,1e+19
Q0_0p60,0.6,1.0,1.0,1e+19,2048,logarithmic,conditional_v8_fixed_policy_feasible,73,44,172,0.12572520994766304,10.0,0.6713607648391644,3.021819549122806,1e+19
