filter,type,horizon_months,scenario,eta,drift_retention,frontier_quantile,anchor_window_months,score
base_chat_domain_latest,pretrained,12,historical_growth,0.5,1.0,0.9,2,39.8557855107194
base_chat_domain_latest,pretrained,12,historical_growth,0.75,0.0,0.9,2,28.696942106024306
base_chat_domain_latest,pretrained,12,historical_growth,0.75,0.5,0.9,2,35.45154698036361
base_chat_domain_latest,pretrained,12,historical_growth,0.75,1.0,0.9,2,42.84078921550847
base_chat_domain_latest,pretrained,12,historical_growth,0.5,0.5,0.85,2,27.03675641459131
base_chat_domain_latest,pretrained,12,historical_growth,0.5,0.5,0.95,2,35.564846659393375
base_chat_domain_latest,pretrained,12,historical_growth,0.5,0.5,0.9,1,25.932028662194515
base_chat_domain_latest,pretrained,12,historical_growth,0.5,0.5,0.9,3,31.355660344368385
base_chat_domain_latest,pretrained,12,half_growth,0.25,0.0,0.9,2,22.829421795941904
base_chat_domain_latest,pretrained,12,half_growth,0.25,0.5,0.9,2,28.760003466793524
base_chat_domain_latest,pretrained,12,half_growth,0.25,1.0,0.9,2,35.5220568955711
base_chat_domain_latest,pretrained,12,half_growth,0.5,0.0,0.9,2,23.93212672808262
base_chat_domain_latest,pretrained,12,half_growth,0.5,0.5,0.9,2,30.037666562232165
base_chat_domain_latest,pretrained,12,half_growth,0.5,1.0,0.9,2,36.944337632965265
base_chat_domain_latest,pretrained,12,half_growth,0.75,0.0,0.9,2,25.070790686228722
base_chat_domain_latest,pretrained,12,half_growth,0.75,0.5,0.9,2,31.3471141510928
base_chat_domain_latest,pretrained,12,half_growth,0.75,1.0,0.9,2,38.38965966515807
base_chat_domain_latest,pretrained,12,half_growth,0.5,0.5,0.85,2,24.67751276191909
base_chat_domain_latest,pretrained,12,half_growth,0.5,0.5,0.95,2,32.795928761454604
base_chat_domain_latest,pretrained,12,half_growth,0.5,0.5,0.9,1,23.637953698647422
base_chat_domain_latest,pretrained,12,half_growth,0.5,0.5,0.9,3,28.768139891930474
base_chat_domain_latest,pretrained,12,quarter_growth,0.25,0.0,0.9,2,22.291657941680864
base_chat_domain_latest,pretrained,12,quarter_growth,0.25,0.5,0.9,2,28.133469434958094
base_chat_domain_latest,pretrained,12,quarter_growth,0.25,1.0,0.9,2,34.82021370577034
base_chat_domain_latest,pretrained,12,quarter_growth,0.5,0.0,0.9,2,22.829421795941904
base_chat_domain_latest,pretrained,12,quarter_growth,0.5,0.5,0.9,2,28.760003466793524
base_chat_domain_latest,pretrained,12,quarter_growth,0.5,1.0,0.9,2,35.5220568955711
base_chat_domain_latest,pretrained,12,quarter_growth,0.75,0.0,0.9,2,23.376256115813387
base_chat_domain_latest,pretrained,12,quarter_growth,0.75,0.5,0.9,2,29.394783425636135
base_chat_domain_latest,pretrained,12,quarter_growth,0.75,1.0,0.9,2,36.230183249854974
base_chat_domain_latest,pretrained,12,quarter_growth,0.5,0.5,0.85,2,23.551096491662204
base_chat_domain_latest,pretrained,12,quarter_growth,0.5,0.5,0.95,2,31.453688399462273
base_chat_domain_latest,pretrained,12,quarter_growth,0.5,0.5,0.9,1,22.544785963609975
base_chat_domain_latest,pretrained,12,quarter_growth,0.5,0.5,0.9,3,27.523233023420957
base_chat_domain_latest,pretrained,12,no_growth,0.25,0.0,0.9,2,21.762989152317935
base_chat_domain_latest,pretrained,12,no_growth,0.25,0.5,0.9,2,27.515312686102043
base_chat_domain_latest,pretrained,12,no_growth,0.25,1.0,0.9,2,34.12489841098827
base_chat_domain_latest,pretrained,12,no_growth,0.5,0.0,0.9,2,21.762989152317935
base_chat_domain_latest,pretrained,12,no_growth,0.5,0.5,0.9,2,27.515312686102043
base_chat_domain_latest,pretrained,12,no_growth,0.5,1.0,0.9,2,34.12489841098827
base_chat_domain_latest,pretrained,12,no_growth,0.75,0.0,0.9,2,21.762989152317935
base_chat_domain_latest,pretrained,12,no_growth,0.75,0.5,0.9,2,27.515312686102043
base_chat_domain_latest,pretrained,12,no_growth,0.75,1.0,0.9,2,34.12489841098827
base_chat_domain_latest,pretrained,12,no_growth,0.5,0.5,0.85,2,22.460764091277603
base_chat_domain_latest,pretrained,12,no_growth,0.5,0.5,0.95,2,30.141743512214344
base_chat_domain_latest,pretrained,12,no_growth,0.5,0.5,0.9,1,21.487947239770577
base_chat_domain_latest,pretrained,12,no_growth,0.5,0.5,0.9,3,26.312298315606775
base_chat_domain_latest,pretrained,24,historical_growth,0.25,0.0,0.9,2,26.24493907825878
base_chat_domain_latest,pretrained,24,historical_growth,0.25,0.5,0.9,2,39.8557855107194
base_chat_domain_latest,pretrained,24,historical_growth,0.25,1.0,0.9,2,55.23873021373457
base_chat_domain_latest,pretrained,24,historical_growth,0.5,0.0,0.9,2,31.280870927150826
base_chat_domain_latest,pretrained,24,historical_growth,0.5,0.5,0.9,2,45.87881885584437
base_chat_domain_latest,pretrained,24,historical_growth,0.5,1.0,0.9,2,61.22017573966078
base_chat_domain_latest,pretrained,24,historical_growth,0.75,0.0,0.9,2,36.80095836880675
base_chat_domain_latest,pretrained,24,historical_growth,0.75,0.5,0.9,2,52.02473009412606
base_chat_domain_latest,pretrained,24,historical_growth,0.75,1.0,0.9,2,66.88154262177486
base_chat_domain_latest,pretrained,24,historical_growth,0.5,0.5,0.85,2,39.2789056331852
base_chat_domain_latest,pretrained,24,historical_growth,0.5,0.5,0.95,2,49.07144008141245
base_chat_domain_latest,pretrained,24,historical_growth,0.5,0.5,0.9,1,37.93402674767803
base_chat_domain_latest,pretrained,24,historical_growth,0.5,0.5,0.9,3,44.36432705846443
base_chat_domain_latest,pretrained,24,half_growth,0.25,0.0,0.9,2,23.93212672808262
base_chat_domain_latest,pretrained,24,half_growth,0.25,0.5,0.9,2,36.944337632965265
base_chat_domain_latest,pretrained,24,half_growth,0.25,1.0,0.9,2,52.1784522936013
base_chat_domain_latest,pretrained,24,half_growth,0.5,0.0,0.9,2,26.24493907825878
base_chat_domain_latest,pretrained,24,half_growth,0.5,0.5,0.9,2,39.8557855107194
base_chat_domain_latest,pretrained,24,half_growth,0.5,1.0,0.9,2,55.23873021373457
base_chat_domain_latest,pretrained,24,half_growth,0.75,0.0,0.9,2,28.696942106024306
base_chat_domain_latest,pretrained,24,half_growth,0.75,0.5,0.9,2,42.84078921550847
base_chat_domain_latest,pretrained,24,half_growth,0.75,1.0,0.9,2,58.25983070019488
base_chat_domain_latest,pretrained,24,half_growth,0.5,0.5,0.85,2,33.58464904452705
base_chat_domain_latest,pretrained,24,half_growth,0.5,0.5,0.95,2,42.96198638509072
base_chat_domain_latest,pretrained,24,half_growth,0.5,0.5,0.9,1,32.33092698435937
base_chat_domain_latest,pretrained,24,half_growth,0.5,0.5,0.9,3,38.39905196765372
base_chat_domain_latest,pretrained,24,quarter_growth,0.25,0.0,0.9,2,22.829421795941904
base_chat_domain_latest,pretrained,24,quarter_growth,0.25,0.5,0.9,2,35.5220568955711
base_chat_domain_latest,pretrained,24,quarter_growth,0.25,1.0,0.9,2,50.64069974231035
base_chat_domain_latest,pretrained,24,quarter_growth,0.5,0.0,0.9,2,23.93212672808262
base_chat_domain_latest,pretrained,24,quarter_growth,0.5,0.5,0.9,2,36.944337632965265
base_chat_domain_latest,pretrained,24,quarter_growth,0.5,1.0,0.9,2,52.1784522936013
base_chat_domain_latest,pretrained,24,quarter_growth,0.75,0.0,0.9,2,25.070790686228722
base_chat_domain_latest,pretrained,24,quarter_growth,0.75,0.5,0.9,2,38.38965966515807
base_chat_domain_latest,pretrained,24,quarter_growth,0.75,1.0,0.9,2,53.71208698459407
base_chat_domain_latest,pretrained,24,quarter_growth,0.5,0.5,0.85,2,30.895977847472015
base_chat_domain_latest,pretrained,24,quarter_growth,0.5,0.5,0.95,2,39.974443828724716
base_chat_domain_latest,pretrained,24,quarter_growth,0.5,0.5,0.9,1,29.69774442208867
base_chat_domain_latest,pretrained,24,quarter_growth,0.5,0.5,0.9,3,35.53115222486611
base_chat_domain_latest,pretrained,24,no_growth,0.25,0.0,0.9,2,21.762989152317935
base_chat_domain_latest,pretrained,24,no_growth,0.25,0.5,0.9,2,34.12489841098827
base_chat_domain_latest,pretrained,24,no_growth,0.25,1.0,0.9,2,49.101733994200224
base_chat_domain_latest,pretrained,24,no_growth,0.5,0.0,0.9,2,21.762989152317935
base_chat_domain_latest,pretrained,24,no_growth,0.5,0.5,0.9,2,34.12489841098827
base_chat_domain_latest,pretrained,24,no_growth,0.5,1.0,0.9,2,49.101733994200224
base_chat_domain_latest,pretrained,24,no_growth,0.75,0.0,0.9,2,21.762989152317935
base_chat_domain_latest,pretrained,24,no_growth,0.75,0.5,0.9,2,34.12489841098827
base_chat_domain_latest,pretrained,24,no_growth,0.75,1.0,0.9,2,49.101733994200224
base_chat_domain_latest,pretrained,24,no_growth,0.5,0.5,0.85,2,28.3307352158305
base_chat_domain_latest,pretrained,24,no_growth,0.5,0.5,0.95,2,37.059669023714946
base_chat_domain_latest,pretrained,24,no_growth,0.5,0.5,0.9,1,27.192840291336164
base_chat_domain_latest,pretrained,24,no_growth,0.5,0.5,0.9,3,32.763523748267176
expanded_latest,non_pretrained,12,historical_growth,0.25,0.0,0.9,2,45.19956656197217
expanded_latest,non_pretrained,12,historical_growth,0.25,0.5,0.9,2,54.153146043421664
expanded_latest,non_pretrained,12,historical_growth,0.25,1.0,0.9,2,62.84632067734228
expanded_latest,non_pretrained,12,historical_growth,0.5,0.0,0.9,2,49.80357081297087
expanded_latest,non_pretrained,12,historical_growth,0.5,0.5,0.9,2,58.69237924554645
