filter,type,window_months,n_start,n_end,frontier_start,frontier_end,observed_change,unexplained_change,accounting_non_scale_including_unexplained,accounting_scale_share,accounting_non_scale_share,logN_start,logN_end,t_start,t_end,scale_points,non_scale_points,total_model_points,signed_scale_share,signed_non_scale_share,absolute_scale_share,absolute_non_scale_share
expanded_latest,pretrained,2,108,52,25.217659450975418,18.047561772006,-7.1700976789694195,-1.3377420828236088,3.521864148560404,1.4911877503273585,-0.4911877503273585,1.8485216407506466,0.9352407547306836,0.3613963039014374,8.213552361396303,-10.691961827529823,4.859606231384013,-5.832355596145811,1.8332150108603429,-0.8332150108603428,0.6875166405744797,0.31248335942552025
expanded_latest,pretrained,3,122,70,23.92606682075278,20.22777884233591,-3.6982879784168716,0.860091871229745,5.410668190173039,2.4630197058070062,-1.4630197058070062,1.7589799820136856,0.9657659641826862,0.3942505133470226,7.885010266940451,-9.108956168589911,4.550576318943294,-4.558379849646617,1.9982880911725847,-0.9982880911725847,0.6668570960904762,0.3331429039095239
strict_yes,non_pretrained,1,33,67,29.69601385353796,41.2859905938006,11.589976740262639,16.43011724836294,25.909010685122993,-1.2354670130714924,2.235467013071492,1.8603212345755038,1.1692628640864462,0.3613963039014374,9.034907597535934,-14.319033944860355,9.478893436760053,-4.840140508100301,2.9583922038826116,-1.9583922038826118,0.601692479989632,0.3983075200103679
strict_yes,non_pretrained,2,47,157,29.61344303689947,40.76907977348015,11.155636736580682,17.37568044026589,25.210649843603967,-1.259902364957367,2.259902364957367,1.859072217035173,1.1692628640864462,0.8870636550308009,8.180698151950718,-14.055013107023287,7.83496940333808,-6.2200437036852065,2.2596325325971702,-1.2596325325971705,0.6420751181674317,0.3579248818325684
strict_yes,non_pretrained,3,63,202,33.10489608296548,40.62683063248255,7.52193454951707,14.888513486357265,22.52403885641975,-1.9944475996359021,2.994447599635902,1.8615284370286551,1.1692628640864462,1.1827515400410678,7.885010266940451,-15.00210430690268,7.635525370062485,-7.366578936840195,2.036509000382429,-1.0365090003824287,0.6627064989126497,0.33729350108735034
permissive_label,non_pretrained,1,187,223,25.305665642337647,41.887170211204506,16.58150456886686,-0.6333965811638116,11.263149251787524,0.32074021359105037,0.6792597864089496,0.9459115168192734,1.1692628640864462,0.8213552361396304,8.936344969199178,5.318355317079334,11.896545832951336,17.21490115003067,0.3089390563866153,0.6910609436133847,0.3089390563866153,0.6910609436133847
permissive_label,non_pretrained,2,284,459,27.82433366060709,41.56415440909723,13.73982074849014,11.71299483370695,21.84211101756668,-0.5896940300306972,1.5896940300306972,1.5364195471277338,1.1692628640864462,0.8213552361396304,8.31211498973306,-8.10229026907654,10.129116183859729,2.0268259147831884,-3.9975264821612715,4.9975264821612715,0.44441389039251117,0.5555861096074888
permissive_label,non_pretrained,3,392,657,28.299146763372782,41.370118732521455,13.070971969148673,13.329143392031508,22.025860812303897,-0.6850973947684524,1.6850973947684524,1.5799480489281268,1.1692628640864462,1.3634496919917864,7.885010266940451,-8.954888843155224,8.696717420272389,-0.25817142288283534,34.68582518995209,-33.68582518995209,0.5073129725145111,0.4926870274854889
permissive_label,pretrained,1,59,21,22.683534043245807,15.498419470905068,-7.185114572340739,-2.5736869309121726,1.4196742468158146,1.1975854709792497,-0.19758547097924972,1.6476997645707097,0.8400433306034939,0.3613963039014374,9.19917864476386,-8.604788819156553,3.993361177727987,-4.611427641428566,1.865970690259143,-0.865970690259143,0.6830200324082881,0.31697996759171193
permissive_label,pretrained,2,76,42,23.149144579709528,15.47126732608538,-7.677877253624148,-3.7006634989738654,-0.04423329998374559,0.994238863357334,0.005761136642665976,1.5364195471277338,0.8400433306034939,0.3613963039014374,8.229979466119097,-7.633643953640402,3.65643019899012,-3.9772137546502826,1.9193446529533162,-0.9193446529533162,0.6761376276578137,0.3238623723421863
permissive_label,pretrained,3,83,54,22.329281917986282,15.490800796897878,-6.838481121088405,-4.885645525188609,-1.360179232105347,0.8010992195458657,0.19890078045413428,1.5364195471277338,1.040827852905381,0.3613963039014374,7.885010266940451,-5.478301888983058,3.5254662930832623,-1.9528355958997956,2.80530624312942,-1.80530624312942,0.6084454617450863,0.39155453825491376
